station,valid,feel
FEW,2014-10-15 00:56,46.04
FEW,2014-10-15 01:56,40.50
FEW,2014-10-15 02:56,38.15
FEW,2014-10-15 03:56,39.56
FEW,2014-10-15 04:56,34.34
FEW,2014-10-15 05:56,30.38
FEW,2014-10-15 06:56,29.72
FEW,2014-10-15 07:56,40.64
FEW,2014-10-15 08:56,32.89
FEW,2014-10-15 09:56,40.74
FEW,2014-10-15 10:56,51.08
FEW,2014-10-15 11:56,39.92
FEW,2014-10-15 12:56,34.86
FEW,2014-10-15 13:56,37.72
FEW,2014-10-15 14:56,60.44
FEW,2014-10-15 15:56,65.30
FEW,2014-10-15 16:56,68.13
FEW,2014-10-15 17:56,68.90
FEW,2014-10-15 18:56,69.44
FEW,2014-10-15 19:56,68.09
FEW,2014-10-15 20:56,73.19
FEW,2014-10-15 21:56,70.27
FEW,2014-10-15 22:56,73.33
FEW,2014-10-15 23:56,68.54
FEW,2014-10-16 00:56,51.08
FEW,2014-10-16 01:56,52.34
FEW,2014-10-16 02:56,43.18
FEW,2014-10-16 03:56,44.75
FEW,2014-10-16 04:56,54.68
FEW,2014-10-16 05:56,53.06
FEW,2014-10-16 06:56,44.17
FEW,2014-10-16 07:56,57.20
FEW,2014-10-16 08:56,50.90
FEW,2014-10-16 09:56,54.32
FEW,2014-10-16 10:56,44.86
FEW,2014-10-16 11:56,52.34
FEW,2014-10-16 12:56,51.44
FEW,2014-10-16 13:56,44.55
FEW,2014-10-16 14:56,51.80
FEW,2014-10-16 15:56,55.76
FEW,2014-10-16 16:56,60.26
FEW,2014-10-16 17:56,63.32
FEW,2014-10-16 18:56,64.76
FEW,2014-10-16 19:56,69.44
FEW,2014-10-16 20:56,69.08
FEW,2014-10-16 21:56,63.86
FEW,2014-10-16 22:56,63.68
FEW,2014-10-16 23:56,55.40
FEW,2014-10-17 00:56,50.36
FEW,2014-10-17 01:56,43.71
FEW,2014-10-17 02:56,42.00
FEW,2014-10-17 03:56,40.87
FEW,2014-10-17 04:56,30.46
FEW,2014-10-17 05:56,30.46
FEW,2014-10-17 06:56,32.18
FEW,2014-10-17 07:56,26.79
FEW,2014-10-17 08:56,27.66
FEW,2014-10-17 09:56,23.64
FEW,2014-10-17 10:56,26.01
FEW,2014-10-17 11:56,23.22
FEW,2014-10-17 12:56,24.16
FEW,2014-10-17 13:56,24.78
FEW,2014-10-17 14:56,40.82
FEW,2014-10-17 15:56,45.26
FEW,2014-10-17 16:56,53.06
FEW,2014-10-17 17:56,54.86
FEW,2014-10-17 18:56,57.02
FEW,2014-10-17 19:56,58.28
FEW,2014-10-17 20:56,58.46
FEW,2014-10-17 21:56,59.18
FEW,2014-10-17 22:56,58.28
FEW,2014-10-17 23:56,53.96
FEW,2014-10-18 00:56,43.71
FEW,2014-10-18 01:56,39.59
FEW,2014-10-18 02:56,38.48
FEW,2014-10-18 03:56,34.88
FEW,2014-10-18 04:56,28.78
FEW,2014-10-18 05:56,29.17
FEW,2014-10-18 06:56,34.70
FEW,2014-10-18 07:56,26.16
FEW,2014-10-18 08:56,24.90
FEW,2014-10-18 09:56,29.12
