station,valid,feel
COS,2014-10-15 00:54,57.02
COS,2014-10-15 01:54,53.96
COS,2014-10-15 02:54,53.96
COS,2014-10-15 03:54,49.27
COS,2014-10-15 04:54,44.87
COS,2014-10-15 05:54,41.79
COS,2014-10-15 06:54,40.72
COS,2014-10-15 07:54,43.52
COS,2014-10-15 08:54,43.82
COS,2014-10-15 09:54,37.07
COS,2014-10-15 10:54,35.48
COS,2014-10-15 11:54,34.43
COS,2014-10-15 12:54,32.76
COS,2014-10-15 13:54,38.97
COS,2014-10-15 14:54,60.08
COS,2014-10-15 15:54,64.04
COS,2014-10-15 16:54,68.00
COS,2014-10-15 17:54,69.08
COS,2014-10-15 18:54,69.88
COS,2014-10-15 19:54,71.21
COS,2014-10-15 20:54,78.20
COS,2014-10-15 21:54,78.49
COS,2014-10-15 22:54,72.79
COS,2014-10-15 23:54,68.67
COS,2014-10-16 00:54,62.96
COS,2014-10-16 01:54,62.06
COS,2014-10-16 02:54,57.92
COS,2014-10-16 03:54,55.94
COS,2014-10-16 04:54,53.96
COS,2014-10-16 05:54,51.08
COS,2014-10-16 06:54,51.08
COS,2014-10-16 07:54,55.04
COS,2014-10-16 08:54,55.94
COS,2014-10-16 09:54,59.00
COS,2014-10-16 10:54,60.08
COS,2014-10-16 11:54,60.08
COS,2014-10-16 12:54,55.94
COS,2014-10-16 13:54,57.02
COS,2014-10-16 14:54,64.04
COS,2014-10-16 15:54,64.94
COS,2014-10-16 16:54,66.92
COS,2014-10-16 17:54,68.00
COS,2014-10-16 18:54,68.77
COS,2014-10-16 19:54,69.63
COS,2014-10-16 20:54,70.76
COS,2014-10-16 21:54,69.60
COS,2014-10-16 22:54,68.67
COS,2014-10-16 23:54,66.02
COS,2014-10-17 00:54,59.00
COS,2014-10-17 01:54,60.98
COS,2014-10-17 02:54,55.04
COS,2014-10-17 03:54,53.96
COS,2014-10-17 04:54,42.99
COS,2014-10-17 05:54,41.79
COS,2014-10-17 06:54,38.16
COS,2014-10-17 07:54,35.20
COS,2014-10-17 08:54,38.98
COS,2014-10-17 09:54,43.50
COS,2014-10-17 10:54,41.50
COS,2014-10-17 11:54,41.50
COS,2014-10-17 12:54,37.94
COS,2014-10-17 13:54,39.92
COS,2014-10-17 14:54,46.72
COS,2014-10-17 15:54,51.98
COS,2014-10-17 16:54,53.96
COS,2014-10-17 17:54,55.04
COS,2014-10-17 18:54,57.02
COS,2014-10-17 19:54,57.92
COS,2014-10-17 20:54,59.00
COS,2014-10-17 21:54,57.92
COS,2014-10-17 22:54,57.92
COS,2014-10-17 23:54,55.04
COS,2014-10-18 00:54,51.98
COS,2014-10-18 01:54,47.21
COS,2014-10-18 02:54,41.79
COS,2014-10-18 03:54,46.94
COS,2014-10-18 04:54,40.24
COS,2014-10-18 05:54,39.44
COS,2014-10-18 06:54,42.48
COS,2014-10-18 07:54,36.67
COS,2014-10-18 08:54,35.62
COS,2014-10-18 09:54,32.02
COS,2014-10-18 10:54,35.80
COS,2014-10-18 11:54,38.98
COS,2014-10-18 12:54,35.07
COS,2014-10-18 13:54,36.71
COS,2014-10-18 14:54,44.06
COS,2014-10-18 15:54,44.87
COS,2014-10-18 16:54,51.08
COS,2014-10-18 17:54,53.96
COS,2014-10-18 18:54,55.04
COS,2014-10-18 19:54,57.02
COS,2014-10-18 20:54,60.08
COS,2014-10-18 21:54,60.08
COS,2014-10-18 22:54,59.00
COS,2014-10-18 23:54,57.92
COS,2014-10-19 00:54,55.94
COS,2014-10-19 01:54,51.08
COS,2014-10-19 02:54,46.04
COS,2014-10-19 03:54,40.05
COS,2014-10-19 04:54,40.72
COS,2014-10-19 05:54,39.44
COS,2014-10-19 06:54,40.05
COS,2014-10-19 07:54,37.64
COS,2014-10-19 08:54,40.05
COS,2014-10-19 09:54,47.18
COS,2014-10-19 10:54,45.40
COS,2014-10-19 11:54,53.06
COS,2014-10-19 12:54,53.06
COS,2014-10-19 13:54,57.02
COS,2014-10-19 14:54,60.08
COS,2014-10-19 15:54,66.92
COS,2014-10-19 16:54,69.98
COS,2014-10-19 17:54,68.81
COS,2014-10-19 18:54,68.81
COS,2014-10-19 19:54,70.93
COS,2014-10-19 20:54,68.81
COS,2014-10-19 21:54,69.77
COS,2014-10-19 22:54,69.98
COS,2014-10-19 23:54,64.94
