station,valid,feel
FLG,2014-10-15 00:57,57.92
FLG,2014-10-15 01:57,51.08
FLG,2014-10-15 02:57,46.04
FLG,2014-10-15 03:57,42.08
FLG,2014-10-15 04:57,39.92
FLG,2014-10-15 05:57,37.04
FLG,2014-10-15 06:57,35.96
FLG,2014-10-15 07:57,35.06
FLG,2014-10-15 08:57,35.06
FLG,2014-10-15 09:57,33.98
FLG,2014-10-15 10:57,35.06
FLG,2014-10-15 11:57,37.04
FLG,2014-10-15 12:57,35.96
FLG,2014-10-15 13:57,35.96
FLG,2014-10-15 14:57,42.98
FLG,2014-10-15 15:57,48.92
FLG,2014-10-15 16:57,60.98
FLG,2014-10-15 17:57,64.04
FLG,2014-10-15 18:57,64.94
FLG,2014-10-15 19:57,64.94
FLG,2014-10-15 20:57,64.94
FLG,2014-10-15 21:57,66.02
FLG,2014-10-15 22:57,64.94
FLG,2014-10-15 23:57,62.06
FLG,2014-10-16 00:57,57.02
FLG,2014-10-16 01:57,51.98
FLG,2014-10-16 02:57,53.06
FLG,2014-10-16 03:57,46.94
FLG,2014-10-16 04:57,46.04
FLG,2014-10-16 05:57,46.94
FLG,2014-10-16 06:57,47.00
FLG,2014-10-16 07:57,44.96
FLG,2014-10-16 08:57,44.06
FLG,2014-10-16 09:57,44.06
FLG,2014-10-16 10:57,39.02
FLG,2014-10-16 11:57,37.04
FLG,2014-10-16 12:57,35.96
FLG,2014-10-16 13:57,37.04
FLG,2014-10-16 14:57,48.02
FLG,2014-10-16 15:57,55.94
FLG,2014-10-16 16:57,60.98
FLG,2014-10-16 17:57,62.96
FLG,2014-10-16 18:57,64.94
FLG,2014-10-16 19:57,66.02
FLG,2014-10-16 20:57,66.92
FLG,2014-10-16 21:57,66.92
FLG,2014-10-16 22:57,66.92
FLG,2014-10-16 23:57,62.96
FLG,2014-10-17 00:57,57.02
FLG,2014-10-17 01:57,51.08
FLG,2014-10-17 02:57,46.94
FLG,2014-10-17 03:57,44.96
FLG,2014-10-17 04:57,44.06
FLG,2014-10-17 05:57,42.98
FLG,2014-10-17 06:57,42.08
FLG,2014-10-17 07:57,41.00
FLG,2014-10-17 08:57,41.00
FLG,2014-10-17 09:57,39.92
FLG,2014-10-17 10:57,39.02
FLG,2014-10-17 11:57,37.94
FLG,2014-10-17 12:57,37.04
FLG,2014-10-17 13:57,39.02
FLG,2014-10-17 14:57,42.98
FLG,2014-10-17 15:57,44.96
FLG,2014-10-17 16:57,51.08
FLG,2014-10-17 17:57,57.02
FLG,2014-10-17 18:57,59.00
FLG,2014-10-17 19:57,60.98
FLG,2014-10-17 20:57,60.98
FLG,2014-10-17 21:57,59.00
FLG,2014-10-17 22:57,57.92
FLG,2014-10-17 23:57,57.02
FLG,2014-10-18 00:57,53.06
FLG,2014-10-18 01:57,50.00
FLG,2014-10-18 02:57,48.02
FLG,2014-10-18 03:57,48.02
FLG,2014-10-18 04:57,48.02
FLG,2014-10-18 05:57,48.92
FLG,2014-10-18 06:57,46.94
FLG,2014-10-18 07:57,46.04
FLG,2014-10-18 08:57,44.96
FLG,2014-10-18 09:57,44.96
FLG,2014-10-18 10:57,44.96
FLG,2014-10-18 11:57,42.08
FLG,2014-10-18 12:57,42.08
FLG,2014-10-18 13:57,39.92
FLG,2014-10-18 14:57,44.96
FLG,2014-10-18 15:57,51.98
FLG,2014-10-18 16:57,60.98
FLG,2014-10-18 17:57,62.06
FLG,2014-10-18 18:57,64.04
FLG,2014-10-18 19:57,64.04
FLG,2014-10-18 20:57,66.02
FLG,2014-10-18 21:57,64.94
FLG,2014-10-18 22:57,62.96
FLG,2014-10-18 23:57,62.96
FLG,2014-10-19 00:57,57.02
FLG,2014-10-19 01:57,53.96
FLG,2014-10-19 02:57,51.08
FLG,2014-10-19 03:57,48.02
FLG,2014-10-19 04:57,44.06
FLG,2014-10-19 05:57,44.06
FLG,2014-10-19 06:57,41.00
FLG,2014-10-19 07:57,39.02
FLG,2014-10-19 08:57,37.94
FLG,2014-10-19 09:57,39.02
FLG,2014-10-19 10:57,42.08
FLG,2014-10-19 11:57,44.96
FLG,2014-10-19 12:57,51.98
FLG,2014-10-19 13:57,51.98
FLG,2014-10-19 14:57,53.06
FLG,2014-10-19 15:57,51.98
FLG,2014-10-19 16:57,51.98
FLG,2014-10-19 17:57,55.04
FLG,2014-10-19 18:57,62.06
FLG,2014-10-19 19:57,64.04
FLG,2014-10-19 20:57,64.04
FLG,2014-10-19 21:57,62.96
FLG,2014-10-19 22:57,62.06
FLG,2014-10-19 23:57,62.06
FLG,2014-10-20 00:57,53.96
FLG,2014-10-20 01:57,48.92
FLG,2014-10-20 02:57,44.96
FLG,2014-10-20 03:57,42.08
FLG,2014-10-20 04:57,39.92
FLG,2014-10-20 05:57,39.92
FLG,2014-10-20 06:57,37.94
FLG,2014-10-20 07:57,37.04
FLG,2014-10-20 08:57,35.96
FLG,2014-10-20 09:57,33.98
FLG,2014-10-20 10:57,35.06
FLG,2014-10-20 11:57,33.98
FLG,2014-10-20 12:57,33.98
FLG,2014-10-20 13:57,33.98
FLG,2014-10-20 14:57,44.06
FLG,2014-10-20 15:57,53.96
FLG,2014-10-20 16:57,57.02
FLG,2014-10-20 17:57,59.00
