ICAO,90th Percentile AQI
KYKN,
KY50,
KXNO,
KWWD,
KWVL,"46.0"
KVPS,"48.0"
KVIS,"144.0"
KVBT,"60.666666666666664"
KVAD,"60.333333333333336"
KUDG,"57.0"
KUCP,"49.333333333333336"
KTVF,
KTTS,"55.0"
KTIK,"73.33333333333333"
KTDR,"58.333333333333336"
KTBN,
KSVN,"59.0"
KSUE,
KSSC,
KSRC,
KSQI,
KSOP,
KSMP,"66.66666666666667"
KSMN,"72.33333333333333"
KSLG,"60.666666666666664"
KSKX,"41.0"
KSGU,"69.33333333333333"
KSGT,"64.66666666666667"
KSGJ,"64.66666666666667"
KSGH,"67.33333333333333"
KSFZ,"67.0"
KSFM,"58.0"
KSDY,"52.666666666666664"
KRYM,"55.333333333333336"
KRUT,"60.0"
KRKD,"46.0"
KRCA,"62.0"
KPWT,"42.333333333333336"
KPWG,"54.333333333333336"
KPVU,"88.33333333333333"
KPVG,"56.666666666666664"
KPVC,"47.333333333333336"
KPTV,"144.0"
KPTN,
KPRX,
KPQI,"54.666666666666664"
KPOB,"61.0"
KPIB,
KP60,"59.0"
KOZR,
KOWB,"65.66666666666667"
KOTH,
KOTG,
KOLU,
KOKK,"60.666666666666664"
KOCH,
KOAJ,
KNTU,"56.666666666666664"
KNMM,"49.0"
KNLC,"118.0"
KNJK,"105.66666666666667"
KNID,"139.33333333333334"
KNFL,"63.0"
KNFE,"56.666666666666664"
KNCA,
KNBC,
KMYR,"42.333333333333336"
KMXF,"66.0"
KMVN,"62.0"
KMTW,"60.333333333333336"
KMSV,
KMRF,
KMQY,"67.33333333333333"
KMNM,
KMML,"52.0"
KMKY,"56.0"
KMKT,
KMEH,"64.0"
KMCF,"66.66666666666667"
KMBL,"55.333333333333336"
KM19,"61.0"
KLZU,"84.66666666666667"
KLTS,
KLSF,"66.0"
KLRF,"64.66666666666667"
KLRD,"66.33333333333333"
KLPC,"70.0"
KLHW,
KLGD,"60.333333333333336"
KLEW,"56.0"
KLCI,"51.333333333333336"
KLBL,
KKLS,"53.333333333333336"
KJHW,"56.333333333333336"
KJAC,"59.0"
KIWD,"35.333333333333336"
KITH,"46.666666666666664"
KISM,"63.666666666666664"
KILE,"56.0"
KIAB,"62.0"
KHYS,
KHYI,"66.0"
KHST,"69.33333333333333"
KHOP,"60.333333333333336"
KHND,"99.33333333333333"
KHNB,"60.666666666666664"
KHEZ,
KHEF,"80.0"
KHDN,"29.0"
KGXY,"79.0"
KGVQ,
KGUS,
KGUC,"54.333333333333336"
KGTU,"66.0"
KGTR,
KGPZ,
KGNA,"35.333333333333336"
KGDV,"50.0"
KGBD,
KGAI,"80.0"
KGAD,"66.66666666666667"
KFOD,
KFNL,"90.33333333333333"
KFLP,
KFKL,
KFCI,"64.0"
KFBG,"61.0"
KFAM,
KEWK,"62.0"
KEUL,"85.33333333333333"
KESC,
KENV,"100.66666666666667"
KEND,
KELZ,"50.333333333333336"
KEKY,"75.33333333333333"
KEHR,"69.0"
KEGI,"48.0"
KEGE,
KEEN,"56.666666666666664"
KEAR,
KDYR,"54.333333333333336"
KDWU,"62.666666666666664"
KDVL,
KDLF,
KDIJ,"59.0"
KCWI,"70.33333333333333"
KCVO,"53.666666666666664"
KCVN,
KCOF,"55.0"
KCOE,"61.0"
KCOD,"58.666666666666664"
KCIU,"55.333333333333336"
KCGZ,"121.33333333333333"
KCBM,
KBVX,
KBTP,"89.0"
