station,valid,feel
LEB,2015-10-15 00:53,44.06
LEB,2015-10-15 01:53,42.08
LEB,2015-10-15 02:53,44.96
LEB,2015-10-15 03:53,43.50
LEB,2015-10-15 04:53,39.92
LEB,2015-10-15 05:53,34.45
LEB,2015-10-15 06:53,35.96
LEB,2015-10-15 07:53,33.98
LEB,2015-10-15 08:53,33.98
LEB,2015-10-15 09:53,33.08
LEB,2015-10-15 10:53,35.06
LEB,2015-10-15 11:53,35.06
LEB,2015-10-15 12:53,35.96
LEB,2015-10-15 13:53,39.92
LEB,2015-10-15 14:53,48.92
LEB,2015-10-15 15:53,53.96
LEB,2015-10-15 16:53,57.02
LEB,2015-10-15 17:53,60.08
LEB,2015-10-15 18:53,62.06
LEB,2015-10-15 19:53,62.06
LEB,2015-10-15 20:53,60.08
LEB,2015-10-15 21:53,57.02
LEB,2015-10-15 22:53,42.52
LEB,2015-10-15 23:53,44.74
LEB,2015-10-16 00:53,42.99
LEB,2015-10-16 01:53,38.51
LEB,2015-10-16 02:53,43.85
LEB,2015-10-16 03:53,45.90
LEB,2015-10-16 04:53,51.08
LEB,2015-10-16 05:53,45.40
LEB,2015-10-16 06:53,46.29
LEB,2015-10-16 07:53,47.21
LEB,2015-10-16 08:53,46.29
LEB,2015-10-16 09:53,47.21
LEB,2015-10-16 10:53,46.72
LEB,2015-10-16 11:53,47.77
LEB,2015-10-16 12:53,46.13
LEB,2015-10-16 13:53,48.92
LEB,2015-10-16 14:53,47.21
LEB,2015-10-16 15:53,53.06
LEB,2015-10-16 16:53,53.96
LEB,2015-10-16 17:53,57.92
LEB,2015-10-16 18:53,53.96
LEB,2015-10-16 19:53,55.94
LEB,2015-10-16 20:53,57.02
LEB,2015-10-16 21:53,53.06
LEB,2015-10-16 22:53,44.74
LEB,2015-10-16 23:53,39.02
LEB,2015-10-17 00:53,37.94
LEB,2015-10-17 01:53,34.36
LEB,2015-10-17 02:53,35.06
LEB,2015-10-17 03:53,32.04
LEB,2015-10-17 04:53,35.06
LEB,2015-10-17 05:53,35.06
LEB,2015-10-17 06:53,37.04
LEB,2015-10-17 07:53,39.92
LEB,2015-10-17 08:53,37.64
LEB,2015-10-17 09:53,36.05
LEB,2015-10-17 10:53,35.62
LEB,2015-10-17 11:53,37.64
LEB,2015-10-17 12:53,40.72
LEB,2015-10-17 13:53,39.22
LEB,2015-10-17 14:53,41.70
LEB,2015-10-17 15:53,40.21
LEB,2015-10-17 16:53,42.39
LEB,2015-10-17 17:53,39.22
LEB,2015-10-17 18:53,42.09
LEB,2015-10-17 19:53,36.71
LEB,2015-10-17 20:53,38.97
LEB,2015-10-17 21:53,39.02
LEB,2015-10-17 22:53,33.98
LEB,2015-10-17 23:53,35.96
LEB,2015-10-18 00:53,37.04
LEB,2015-10-18 01:53,31.60
LEB,2015-10-18 02:53,31.10
LEB,2015-10-18 03:53,27.68
