station,valid,feel
NYC,2014-10-15 00:51,69.98
NYC,2014-10-15 01:51,69.98
NYC,2014-10-15 02:51,69.98
NYC,2014-10-15 03:51,69.08
NYC,2014-10-15 04:51,69.08
NYC,2014-10-15 05:51,69.08
NYC,2014-10-15 06:51,69.08
NYC,2014-10-15 07:51,69.08
NYC,2014-10-15 08:51,69.08
NYC,2014-10-15 09:51,69.08
NYC,2014-10-15 10:51,69.08
NYC,2014-10-15 11:51,69.98
NYC,2014-10-15 12:51,71.06
NYC,2014-10-15 13:51,73.04
NYC,2014-10-15 14:51,73.04
NYC,2014-10-15 15:51,75.02
NYC,2014-10-15 16:51,75.92
NYC,2014-10-15 17:51,77.00
NYC,2014-10-15 18:51,75.92
NYC,2014-10-15 19:51,75.02
NYC,2014-10-15 20:51,73.94
NYC,2014-10-15 21:51,71.96
NYC,2014-10-15 22:51,71.06
NYC,2014-10-15 23:51,71.06
NYC,2014-10-16 00:51,69.98
NYC,2014-10-16 01:51,69.98
NYC,2014-10-16 02:51,69.08
NYC,2014-10-16 03:51,69.08
NYC,2014-10-16 04:51,69.98
NYC,2014-10-16 05:51,69.98
NYC,2014-10-16 06:51,69.08
NYC,2014-10-16 08:51,69.08
NYC,2014-10-16 09:51,69.08
NYC,2014-10-16 10:51,68.00
NYC,2014-10-16 11:51,68.00
NYC,2014-10-16 12:51,68.00
NYC,2014-10-16 13:51,68.00
NYC,2014-10-16 14:51,66.02
NYC,2014-10-16 15:51,64.94
NYC,2014-10-16 16:51,66.92
NYC,2014-10-16 17:51,69.08
NYC,2014-10-16 18:51,71.06
NYC,2014-10-16 19:51,69.98
NYC,2014-10-16 20:51,69.08
NYC,2014-10-16 21:51,68.00
NYC,2014-10-16 22:51,66.92
NYC,2014-10-16 23:51,66.92
NYC,2014-10-17 00:51,66.02
NYC,2014-10-17 01:51,64.94
NYC,2014-10-17 02:51,64.04
NYC,2014-10-17 03:51,60.98
NYC,2014-10-17 04:51,62.06
NYC,2014-10-17 05:51,62.06
NYC,2014-10-17 06:51,60.98
NYC,2014-10-17 07:51,60.98
NYC,2014-10-17 08:51,60.98
NYC,2014-10-17 09:51,60.98
NYC,2014-10-17 10:51,60.08
NYC,2014-10-17 11:51,60.08
NYC,2014-10-17 12:51,60.08
NYC,2014-10-17 13:51,62.06
NYC,2014-10-17 14:51,64.04
NYC,2014-10-17 15:51,66.92
NYC,2014-10-17 16:51,69.08
NYC,2014-10-17 17:51,69.98
NYC,2014-10-17 18:51,69.98
NYC,2014-10-17 19:51,71.06
NYC,2014-10-17 20:51,69.98
NYC,2014-10-17 21:51,69.08
NYC,2014-10-17 22:51,68.00
NYC,2014-10-17 23:51,66.92
NYC,2014-10-18 00:51,66.92
NYC,2014-10-18 01:51,64.94
NYC,2014-10-18 02:51,62.96
NYC,2014-10-18 03:51,64.04
NYC,2014-10-18 04:51,62.96
NYC,2014-10-18 05:51,62.96
NYC,2014-10-18 06:51,62.06
NYC,2014-10-18 07:51,62.96
NYC,2014-10-18 08:51,62.06
NYC,2014-10-18 09:51,60.98
NYC,2014-10-18 10:51,60.08
NYC,2014-10-18 11:51,60.98
NYC,2014-10-18 12:51,62.06
NYC,2014-10-18 13:51,62.96
NYC,2014-10-18 14:51,64.04
NYC,2014-10-18 15:51,68.00
NYC,2014-10-18 16:51,66.92
NYC,2014-10-18 17:51,69.98
NYC,2014-10-18 18:51,66.92
NYC,2014-10-18 19:51,66.92
NYC,2014-10-18 20:51,64.94
NYC,2014-10-18 21:51,62.06
NYC,2014-10-18 22:51,62.06
NYC,2014-10-18 23:51,60.98
NYC,2014-10-19 00:51,60.08
NYC,2014-10-19 01:51,59.00
NYC,2014-10-19 02:51,57.02
NYC,2014-10-19 03:51,57.02
NYC,2014-10-19 04:51,55.94
NYC,2014-10-19 05:51,55.94
NYC,2014-10-19 06:51,55.04
NYC,2014-10-19 07:51,55.04
NYC,2014-10-19 08:51,53.96
NYC,2014-10-19 09:51,53.96
NYC,2014-10-19 10:51,51.98
NYC,2014-10-19 11:51,51.98
NYC,2014-10-19 12:51,51.08
NYC,2014-10-19 13:51,51.98
NYC,2014-10-19 14:51,51.98
NYC,2014-10-19 15:51,53.06
NYC,2014-10-19 16:51,53.06
NYC,2014-10-19 17:51,53.06
NYC,2014-10-19 18:51,51.98
NYC,2014-10-19 19:51,51.08
NYC,2014-10-19 20:51,51.08
NYC,2014-10-19 21:51,46.29
NYC,2014-10-19 22:51,M
NYC,2014-10-19 23:51,46.94
NYC,2014-10-20 00:51,42.44
NYC,2014-10-20 01:51,43.07
NYC,2014-10-20 02:51,42.55
NYC,2014-10-20 03:51,40.72
NYC,2014-10-20 04:51,39.48
NYC,2014-10-20 05:51,40.24
NYC,2014-10-20 06:51,40.21
NYC,2014-10-20 07:51,41.24
NYC,2014-10-20 08:51,40.24
NYC,2014-10-20 09:51,42.08
NYC,2014-10-20 10:51,41.24
NYC,2014-10-20 11:51,40.72
NYC,2014-10-20 12:51,44.14
NYC,2014-10-20 13:51,48.02
NYC,2014-10-20 14:51,51.08
NYC,2014-10-20 15:51,51.98
NYC,2014-10-20 16:51,55.94
NYC,2014-10-20 17:51,57.02
NYC,2014-10-20 18:51,59.00
NYC,2014-10-20 19:51,59.00
NYC,2014-10-20 20:51,59.00
NYC,2014-10-20 21:51,57.92
NYC,2014-10-20 22:51,57.02
NYC,2014-10-20 23:51,57.02
NYC,2014-10-21 00:51,55.94
NYC,2014-10-21 01:51,57.92
NYC,2014-10-21 02:51,57.92
NYC,2014-10-21 03:51,57.92
NYC,2014-10-21 04:51,59.00
NYC,2014-10-21 05:51,57.92
NYC,2014-10-21 06:51,57.92
NYC,2014-10-21 07:51,57.92
NYC,2014-10-21 08:51,57.02
NYC,2014-10-21 09:51,55.94
NYC,2014-10-21 10:51,55.04
NYC,2014-10-21 11:51,55.94
NYC,2014-10-21 12:51,57.92
NYC,2014-10-21 13:51,60.98
NYC,2014-10-21 14:51,64.04
NYC,2014-10-21 15:51,64.04
NYC,2014-10-21 16:51,64.04
NYC,2014-10-21 17:51,64.94
NYC,2014-10-21 18:51,66.02
NYC,2014-10-21 19:51,64.94
NYC,2014-10-21 20:51,64.04
NYC,2014-10-21 21:51,62.96
NYC,2014-10-21 22:51,62.96
NYC,2014-10-21 23:51,62.06
NYC,2014-10-22 00:51,59.00
NYC,2014-10-22 01:51,57.02
NYC,2014-10-22 02:51,55.94
NYC,2014-10-22 03:51,55.94
NYC,2014-10-22 04:51,55.04
