station,valid,feel
SLC,2015-10-15 00:53,70.02
SLC,2015-10-15 01:53,66.92
SLC,2015-10-15 02:53,66.02
SLC,2015-10-15 03:53,62.96
SLC,2015-10-15 04:53,62.96
SLC,2015-10-15 05:53,60.08
SLC,2015-10-15 06:53,59.00
SLC,2015-10-15 07:53,57.02
SLC,2015-10-15 08:53,55.04
SLC,2015-10-15 09:53,53.96
SLC,2015-10-15 10:53,51.98
SLC,2015-10-15 11:53,53.96
SLC,2015-10-15 12:53,55.04
SLC,2015-10-15 13:53,53.06
SLC,2015-10-15 14:53,59.00
SLC,2015-10-15 15:53,64.04
SLC,2015-10-15 16:53,68.00
SLC,2015-10-15 17:53,69.06
SLC,2015-10-15 18:53,73.27
SLC,2015-10-15 19:53,76.61
SLC,2015-10-15 20:53,76.46
SLC,2015-10-15 21:53,78.65
SLC,2015-10-15 22:53,78.89
SLC,2015-10-15 23:53,75.75
SLC,2015-10-16 00:53,69.78
SLC,2015-10-16 01:53,66.02
SLC,2015-10-16 02:53,66.02
SLC,2015-10-16 03:53,62.96
SLC,2015-10-16 04:53,60.08
SLC,2015-10-16 05:53,59.00
SLC,2015-10-16 06:53,57.02
SLC,2015-10-16 07:53,55.04
SLC,2015-10-16 08:53,55.04
SLC,2015-10-16 09:53,55.94
SLC,2015-10-16 10:53,53.96
SLC,2015-10-16 11:53,51.98
SLC,2015-10-16 12:53,51.08
SLC,2015-10-16 13:53,55.04
SLC,2015-10-16 14:53,62.96
SLC,2015-10-16 15:53,64.04
SLC,2015-10-16 16:53,69.98
SLC,2015-10-16 17:53,72.17
SLC,2015-10-16 18:53,74.01
SLC,2015-10-16 19:53,78.59
SLC,2015-10-16 20:53,77.50
SLC,2015-10-16 21:53,78.55
SLC,2015-10-16 22:53,78.99
SLC,2015-10-16 23:53,70.58
SLC,2015-10-17 00:53,69.98
SLC,2015-10-17 01:53,66.92
SLC,2015-10-17 02:53,66.02
SLC,2015-10-17 03:53,62.06
SLC,2015-10-17 04:53,62.06
SLC,2015-10-17 05:53,62.96
SLC,2015-10-17 06:53,62.96
SLC,2015-10-17 07:53,62.96
SLC,2015-10-17 08:53,62.06
SLC,2015-10-17 09:53,62.96
SLC,2015-10-17 10:53,64.94
SLC,2015-10-17 11:53,66.02
SLC,2015-10-17 12:53,64.94
SLC,2015-10-17 13:53,62.96
SLC,2015-10-17 14:53,64.94
