ICAO,aairtd
PAAD,0.0
PAAK,0.0
PAAP,0.0
PAAQ,0.0
PABA,0.0
PABE,0.0
PABI,0.0
PABL,0.0
PABN,0.0
PABR,0.0
PABT,0.0
PABV,0.0
PACD,0.0
PACE,0.0
PACM,0.0
PACV,147.0
UNKNOWN,0.0
PACZ,0.0
PADE,0.0
PADG,0.0
PADK,0.0
PADL,0.0
PADM,0.0
PADQ,0.0
PADU,79.0
PAEC,0.0
PAED,0.0
PAEG,0.0
PAEH,0.0
PAEI,0.0
PAEL,0.0
PAEM,0.0
PAEN,0.0
PAER,0.0
PAFA,0.0
PAFE,0.0
PAFK,0.0
PAFL,0.0
PAFM,0.0
PAFR,0.0
PAFS,0.0
PAGA,0.0
PAGB,0.0
PAGK,0.0
PAGL,0.0
PAGM,6.0
PAGN,0.0
PAGS,0.0
PAHC,0.0
PAHL,129.0
PAHN,0.0
PAHO,172.0
PAHP,0.0
PAHS,0.0
PAHV,0.0
PAHY,180.5
PAHZ,0.0
PAIG,0.0
PAII,0.0
PAIK,0.0
PAIL,0.0
PAIM,0.0
PAIN,0.0
PAJC,0.0
PAJN,0.0
PAJZ,0.0
PAKF,0.0
PAKH,0.0
PAKI,0.0
PAKK,0.0
PAKN,0.0
PAKP,0.0
PAKT,188.0
PAKU,0.0
PAKV,0.0
PAKW,189.0
PALG,0.0
PALH,0.0
PALJ,0.0
PALP,0.0
PALR,0.0
PALU,0.0
PALV,0.0
PAMB,0.0
PAMC,0.0
PAMD,0.0
PAMH,0.0
PAML,0.0
PAMM,169.16666666666666
PAMO,0.0
PAMR,0.0
PAMX,0.0
PAMY,0.0
PANA,0.0
PANC,0.0
PANI,0.0
PANN,0.0
PANT,190.83333333333334
UNKNOWN,0.0
PANV,0.0
PANW,0.0
PAOH,0.0
PAOM,0.0
PAOR,0.0
PAOT,0.0
PAOU,0.0
PAPC,0.0
UNKNOWN,0.0
PAPG,138.5
PAPH,0.0
PAPM,0.0
PAPN,0.0
PAPO,0.0
PAPR,0.0
PAPT,0.0
PAQH,0.0
PAQT,0.0
PARC,0.0
PARD,0.0
PARL,0.0
PARS,0.0
PARY,0.0
PASA,0.0
PASC,0.0
PASD,0.0
PASM,0.0
PASN,0.0
PATO,0.0
PATQ,0.0
PATW,0.0
PAUT,0.0
PAVA,0.0
PAVC,0.0
PAVL,0.0
PAWN,0.0
PAXK,0.0
PAZK,0.0
UNKNOWN,0.0
PFCL,0.0
PFEL,0.0
UNKNOWN,0.0
PFKT,0.0
PFKW,0.0
PFNO,0.0
PFNU,0.0
PFYU,0.0
UNKNOWN,0.0
PPIT,0.0
PPIZ,0.0
PPNU,0.0
PADG,0.0
PAFK,0.0
PALP,0.0
UNKNOWN,0.0
UNKNOWN,0.0
PADK,0.0
