station,valid,feel
PAFK,1997-06-13 16:49,53.60
PAFK,1997-06-13 19:49,57.20
PAFK,1997-06-14 23:49,60.80
PAFK,1997-06-26 16:49,62.60
PAFK,1997-09-04 19:49,51.80
PAFK,1997-09-05 21:49,59.00
PAFK,1997-09-07 00:49,59.00
PAFK,1997-10-01 18:49,24.57
PAFK,1997-10-01 19:49,30.75
PAFK,1997-10-01 21:49,41.03
PAFK,1997-10-01 22:49,45.15
PAFK,1997-10-02 00:49,51.80
PAFK,1997-10-02 19:49,27.42
PAFK,1997-10-02 21:49,41.03
PAFK,1997-10-03 00:49,41.03
PAFK,1997-10-03 21:49,37.08
PAFK,1997-10-03 23:49,40.03
PAFK,1997-10-04 17:49,24.29
PAFK,1997-10-04 19:49,24.29
PAFK,1997-10-04 20:49,26.58
PAFK,1997-10-05 17:49,20.78
PAFK,1997-10-06 00:49,23.11
PAFK,1997-10-06 18:49,20.39
PAFK,1997-10-06 22:49,24.26
PAFK,1997-10-07 00:49,21.28
PAFK,1997-10-07 01:49,20.71
PAFK,1997-10-07 16:49,14.28
PAFK,1997-10-07 17:49,20.46
PAFK,1997-10-07 20:49,23.22
PAFK,1997-10-08 01:49,31.62
PAFK,1997-10-08 20:49,26.40
PAFK,1997-10-09 21:49,29.74
PAFK,1997-10-09 22:49,25.80
PAFK,1997-10-10 16:49,24.57
PAFK,1997-10-11 00:49,27.70
PAFK,1997-10-11 21:49,28.53
PAFK,1997-10-11 22:49,28.53
PAFK,1997-10-12 00:49,29.17
PAFK,1997-10-12 01:49,32.81
PAFK,1997-10-12 20:49,12.71
PAFK,1997-10-12 22:49,19.03
PAFK,1997-10-13 00:49,26.33
PAFK,1997-10-13 20:49,1.94
PAFK,1997-10-14 20:49,2.88
PAFK,1997-10-14 23:49,5.02
PAFK,1997-10-15 00:49,7.16
PAFK,1997-10-16 16:49,-8.45
PAFK,1997-10-16 19:49,10.40
PAFK,1997-10-17 18:49,8.11
PAFK,1997-10-17 19:49,6.40
PAFK,1997-10-17 20:49,5.02
PAFK,1997-10-17 22:49,6.02
PAFK,1997-10-18 16:49,-14.62
PAFK,1997-10-18 17:49,-14.62
PAFK,1997-10-18 20:49,7.17
PAFK,1997-10-18 22:49,13.57
PAFK,1997-10-19 01:49,7.23
PAFK,1997-10-19 17:49,-4.11
PAFK,1997-10-19 18:49,-6.99
PAFK,1997-10-19 20:49,-4.82
PAFK,1997-10-19 21:49,2.20
PAFK,1997-10-19 22:49,4.30
PAFK,1997-10-20 16:49,14.00
PAFK,1997-10-20 19:49,15.80
PAFK,1997-10-20 20:49,17.60
PAFK,1997-10-21 01:49,9.29
PAFK,1997-10-21 20:49,12.23
PAFK,1997-10-21 21:49,10.60
PAFK,1997-10-22 00:49,14.28
PAFK,1997-10-22 17:49,1.40
PAFK,1997-10-22 18:49,5.00
PAFK,1997-10-22 23:49,16.34
PAFK,1997-10-23 17:49,-2.18
PAFK,1997-10-23 22:49,1.94
PAFK,1997-10-23 23:49,10.40
PAFK,1997-10-24 16:49,-11.20
PAFK,1997-10-24 20:49,-8.35
PAFK,1997-10-24 22:49,0.09
