station,valid,feel
PALP,2005-02-24 17:45,-44.75
PALP,2005-02-24 18:45,-42.49
PALP,2005-02-25 17:45,-37.98
PALP,2005-02-26 00:45,-32.98
PALP,2005-02-26 17:45,-37.56
PALP,2005-02-26 21:45,-35.72
PALP,2005-02-27 00:45,-33.54
PALP,2005-02-27 02:45,-36.92
PALP,2005-02-28 16:45,-49.02
PALP,2005-03-01 00:45,4.00
PALP,2005-03-01 01:45,-43.80
PALP,2005-03-01 21:46,-46.84
PALP,2005-03-02 01:45,-42.41
PALP,2005-03-02 03:46,-51.27
PALP,2005-03-02 17:45,-57.06
PALP,2005-03-02 19:45,-53.49
PALP,2005-03-02 20:46,-49.06
PALP,2005-03-03 01:45,-51.31
PALP,2005-03-03 17:46,-56.03
PALP,2005-03-04 16:45,-51.31
PALP,2005-03-04 20:45,-51.34
PALP,2005-03-04 21:46,-51.34
PALP,2005-03-05 17:45,-49.02
PALP,2005-03-05 23:45,-35.27
PALP,2005-03-06 01:46,-36.08
PALP,2005-03-06 18:45,-31.21
PALP,2005-03-07 01:45,-29.16
PALP,2005-03-07 02:45,-28.40
PALP,2005-03-07 03:46,-28.40
PALP,2005-03-07 20:46,-35.64
PALP,2005-03-07 22:46,-41.04
PALP,2005-03-08 12:46,-51.52
PALP,2005-03-08 14:46,-49.26
PALP,2005-03-08 17:46,-44.56
PALP,2005-03-08 18:46,-49.59
PALP,2005-03-08 19:46,-47.80
PALP,2005-03-08 22:46,-41.26
PALP,2005-03-09 01:46,-38.24
PALP,2005-03-09 02:46,-39.75
PALP,2005-03-10 00:46,-32.47
PALP,2005-03-10 05:46,-36.22
PALP,2005-03-10 06:46,-42.81
PALP,2005-03-10 19:46,-39.08
PALP,2005-03-11 14:46,-26.50
PALP,2005-03-11 16:46,-30.55
PALP,2005-03-11 19:46,-30.01
PALP,2005-03-11 20:46,-29.44
PALP,2005-03-12 00:46,-25.79
PALP,2005-03-12 01:46,-27.22
PALP,2005-03-12 02:46,-25.27
PALP,2005-03-12 13:46,-17.63
PALP,2005-03-12 14:46,-15.40
PALP,2005-03-12 15:46,-12.52
PALP,2005-03-12 17:46,-14.54
PALP,2005-03-12 19:46,-3.53
PALP,2005-03-12 20:46,8.60
PALP,2005-03-13 00:46,8.82
PALP,2005-03-13 12:46,-13.15
PALP,2005-03-13 14:46,-10.72
PALP,2005-03-13 21:46,13.03
PALP,2005-03-14 02:46,11.68
PALP,2005-03-14 16:46,-6.29
PALP,2005-03-14 18:46,1.40
PALP,2005-03-14 20:46,-11.32
PALP,2005-03-14 22:46,-12.52
PALP,2005-03-14 23:46,-15.40
PALP,2005-03-15 01:46,-18.89
PALP,2005-03-15 16:46,-26.29
PALP,2005-03-15 18:46,-25.79
PALP,2005-03-16 14:46,-28.68
PALP,2005-03-16 20:45,-21.22
PALP,2005-03-16 21:46,-20.60
PALP,2005-03-17 02:45,-22.37
PALP,2005-03-17 12:46,-14.52
PALP,2005-03-17 13:45,-16.72
PALP,2005-03-17 16:46,-12.47
PALP,2005-03-17 17:45,-12.47
PALP,2005-03-17 19:45,1.40
PALP,2005-03-17 21:45,-4.24
PALP,2005-03-17 22:46,-2.18
PALP,2005-03-18 14:45,-20.23
PALP,2005-03-18 16:45,-19.99
PALP,2005-03-18 17:45,-19.99
PALP,2005-03-18 18:45,-15.66
PALP,2005-03-18 19:46,-12.08
PALP,2005-03-19 12:45,-28.40
PALP,2005-03-19 14:45,-35.27
PALP,2005-03-19 16:46,-35.72
PALP,2005-03-19 17:45,-37.98
PALP,2005-03-19 20:45,-29.10
PALP,2005-03-20 00:45,-25.73
PALP,2005-03-20 13:46,-20.63
PALP,2005-03-20 14:45,-22.16
PALP,2005-03-20 16:45,-19.99
PALP,2005-03-20 17:45,-17.83
PALP,2005-03-20 21:45,-13.58
PALP,2005-03-21 00:45,-13.15
PALP,2005-03-21 03:45,-16.58
PALP,2005-03-21 13:45,-33.78
PALP,2005-03-21 19:45,-28.85
PALP,2005-03-21 21:45,M
PALP,2005-03-21 22:46,-25.27
PALP,2005-03-22 19:45,-19.11
PALP,2005-03-22 22:45,-16.72
