station,valid,feel,p01m
04W,2009-12-14 18:34,-1.17,0.00
04W,2009-12-14 19:34,2.59,0.00
04W,2009-12-14 20:34,2.29,0.00
04W,2009-12-14 21:34,0.16,0.00
04W,2009-12-14 22:34,-1.57,0.00
04W,2009-12-14 23:34,2.40,0.00
04W,2009-12-15 00:34,-0.35,0.00
04W,2009-12-15 01:34,-1.61,0.00
04W,2009-12-15 02:34,3.00,0.00
04W,2009-12-15 03:34,-0.20,0.00
04W,2009-12-15 04:34,0.30,0.00
04W,2009-12-15 05:34,0.10,0.00
04W,2009-12-15 06:34,-9.83,0.00
04W,2009-12-15 07:34,-9.95,0.00
04W,2009-12-15 08:34,-11.01,0.00
04W,2009-12-15 09:34,-11.01,0.00
04W,2009-12-15 10:34,-15.67,0.00
04W,2009-12-15 11:34,-21.47,0.00
04W,2009-12-15 12:34,-8.90,0.00
04W,2009-12-15 13:34,-20.92,0.00
04W,2009-12-15 14:34,-20.63,0.00
04W,2009-12-15 15:34,-18.79,0.00
04W,2009-12-15 16:34,-13.13,0.00
04W,2009-12-15 17:34,-13.77,0.00
04W,2009-12-15 18:34,-12.16,0.00
04W,2009-12-15 19:34,-9.26,0.00
04W,2009-12-15 20:34,-8.88,0.00
04W,2009-12-15 21:34,-3.29,0.00
04W,2009-12-15 22:34,-8.88,0.00
04W,2009-12-15 23:34,-8.35,0.00
04W,2009-12-16 00:34,-11.47,0.00
04W,2009-12-16 01:34,-7.78,0.00
04W,2009-12-16 02:34,-12.65,0.00
04W,2009-12-16 03:34,-11.01,0.00
04W,2009-12-16 04:34,-10.42,0.00
04W,2009-12-16 05:34,-12.75,0.00
04W,2009-12-16 06:34,-3.80,0.00
04W,2009-12-16 07:34,-8.35,0.00
04W,2009-12-16 08:34,-7.09,0.00
04W,2009-12-16 09:34,-9.47,0.00
04W,2009-12-16 10:34,2.30,0.00
04W,2009-12-16 11:34,-4.69,0.00
04W,2009-12-16 12:34,-6.80,0.00
04W,2009-12-16 13:34,-6.44,0.00
04W,2009-12-16 14:34,-8.31,0.00
04W,2009-12-16 15:34,-5.20,0.00
04W,2009-12-16 16:34,-0.33,0.00
04W,2009-12-16 17:34,4.30,0.00
04W,2009-12-17 15:34,10.14,0.00
04W,2009-12-17 16:34,11.66,0.00
04W,2009-12-17 17:34,13.76,0.00
04W,2009-12-17 18:34,22.10,0.00
04W,2009-12-17 19:34,23.70,0.00
04W,2009-12-17 20:34,24.10,0.00
04W,2009-12-17 21:34,24.80,0.00
04W,2009-12-17 22:34,21.90,0.00
04W,2009-12-17 23:34,19.40,0.00
04W,2009-12-18 00:34,14.20,0.00
04W,2009-12-18 01:34,12.60,0.00
04W,2009-12-18 02:34,11.50,0.00
04W,2009-12-18 03:34,9.50,0.00
04W,2009-12-18 04:34,6.40,0.00
04W,2009-12-18 05:34,6.30,0.00
04W,2009-12-18 08:34,3.60,0.00
04W,2009-12-18 09:34,2.50,0.00
04W,2009-12-18 10:34,1.60,0.00
04W,2009-12-18 11:34,1.90,0.00
04W,2009-12-18 12:34,1.40,0.00
04W,2009-12-18 13:34,-6.29,0.00
04W,2009-12-18 14:34,3.00,0.00
04W,2009-12-18 15:34,10.20,0.00
04W,2009-12-18 16:34,16.30,0.00
04W,2009-12-18 17:34,19.20,0.00
04W,2009-12-18 18:34,24.80,0.00
04W,2009-12-18 19:34,23.54,0.00
04W,2009-12-18 20:34,18.81,0.00
04W,2009-12-18 21:34,20.65,0.00
04W,2009-12-18 22:34,15.76,0.00
04W,2009-12-18 23:34,14.91,0.00
04W,2009-12-19 00:34,13.56,0.00
04W,2009-12-19 01:34,11.18,0.00
04W,2009-12-19 02:34,13.32,0.00
04W,2009-12-19 03:34,13.61,0.00
04W,2009-12-19 04:34,10.58,0.00
04W,2009-12-19 05:34,10.56,0.00
04W,2009-12-19 06:34,12.28,0.00
04W,2009-12-19 07:34,10.08,0.00
04W,2009-12-19 08:34,11.61,0.00
04W,2009-12-19 09:34,12.52,0.00
04W,2009-12-19 10:34,12.76,0.00
04W,2009-12-19 11:34,10.81,0.00
04W,2009-12-19 12:34,9.46,0.00
04W,2009-12-19 13:34,10.60,0.00
04W,2009-12-19 14:34,9.27,0.00
04W,2009-12-19 15:34,8.79,0.00
04W,2009-12-19 16:34,14.28,0.00
04W,2009-12-19 17:34,16.91,0.00
04W,2009-12-19 18:34,22.30,0.00
04W,2009-12-19 19:34,23.40,0.00
04W,2009-12-19 20:34,24.60,0.00
04W,2009-12-19 21:34,23.40,0.00
04W,2009-12-19 22:34,20.80,0.00
04W,2009-12-19 23:34,20.30,0.00
04W,2009-12-20 00:34,21.00,0.00
04W,2009-12-20 01:34,20.70,0.00
04W,2009-12-20 02:34,19.90,0.00
04W,2009-12-20 03:34,20.10,0.00
04W,2009-12-20 04:34,19.90,0.00
04W,2009-12-20 05:34,14.51,0.00
04W,2009-12-20 06:34,12.71,0.00
04W,2009-12-20 07:34,14.06,0.00
04W,2009-12-20 08:34,19.20,0.00
04W,2009-12-20 09:34,12.71,0.00
04W,2009-12-20 10:34,14.28,0.00
04W,2009-12-20 11:34,12.24,0.00
04W,2009-12-20 12:34,12.24,0.00
04W,2009-12-20 13:34,14.28,0.00
04W,2009-12-20 14:34,18.00,0.00
04W,2009-12-20 15:34,20.30,0.00
04W,2009-12-20 16:34,22.60,0.00
04W,2009-12-20 17:34,18.78,0.00
04W,2009-12-20 18:34,21.26,0.00
04W,2009-12-20 19:34,20.06,0.00
04W,2009-12-20 20:34,18.68,0.00
04W,2009-12-20 21:34,17.34,0.00
04W,2009-12-20 22:34,18.78,0.00
04W,2009-12-20 23:34,20.00,0.00
04W,2009-12-21 00:34,19.20,0.00
04W,2009-12-21 01:34,16.18,0.00
04W,2009-12-21 02:34,16.91,0.00
04W,2009-12-21 03:34,14.69,0.00
04W,2009-12-21 04:34,14.45,0.00
04W,2009-12-21 05:34,13.56,0.00
04W,2009-12-21 06:34,14.09,0.00
04W,2009-12-21 07:34,13.61,0.00
04W,2009-12-21 08:34,13.00,0.00
04W,2009-12-21 09:34,12.76,0.00
04W,2009-12-21 10:34,14.04,0.00
04W,2009-12-21 11:34,15.39,0.00
04W,2009-12-21 12:34,22.50,0.00
04W,2009-12-21 13:34,23.70,0.00
04W,2009-12-21 14:34,23.90,0.00
04W,2009-12-21 15:34,17.37,0.00
