station,valid,feel,p01m
05U,2012-02-09 16:35,30.20,0.00
05U,2012-02-09 16:55,27.42,0.00
05U,2012-02-09 17:35,37.40,0.00
05U,2012-02-09 17:55,41.00,0.00
05U,2012-02-09 18:35,46.40,0.00
05U,2012-02-09 18:55,45.15,0.00
05U,2012-02-09 19:35,48.20,0.00
05U,2012-02-09 19:55,50.00,0.00
05U,2012-02-09 20:35,51.80,0.00
05U,2012-02-09 20:55,53.60,0.00
05U,2012-02-09 21:35,55.40,0.00
05U,2012-02-09 21:55,55.40,0.00
05U,2012-02-09 22:35,55.40,0.00
05U,2012-02-09 22:55,55.40,0.00
05U,2012-02-09 23:35,55.40,0.00
05U,2012-02-09 23:55,53.60,0.00
05U,2012-02-10 00:35,51.80,0.00
05U,2012-02-10 00:55,47.77,0.00
05U,2012-02-10 01:35,34.20,0.00
05U,2012-02-10 01:55,33.73,0.00
05U,2012-02-10 02:35,32.80,0.00
05U,2012-02-10 02:55,26.40,0.00
05U,2012-02-10 03:35,28.40,0.00
05U,2012-02-10 03:55,26.60,0.00
05U,2012-02-10 04:35,22.52,0.00
05U,2012-02-10 04:55,22.52,0.00
05U,2012-02-10 05:35,24.57,0.00
05U,2012-02-10 05:55,26.60,0.00
05U,2012-02-10 06:35,22.52,0.00
05U,2012-02-10 06:55,23.22,0.00
05U,2012-02-10 07:35,20.39,0.00
05U,2012-02-10 07:55,22.12,0.00
05U,2012-02-10 08:35,21.11,0.00
05U,2012-02-10 08:55,17.84,0.00
05U,2012-02-10 09:35,16.86,0.00
05U,2012-02-10 09:55,16.86,0.00
05U,2012-02-10 10:35,19.01,0.00
05U,2012-02-10 10:55,16.91,0.00
05U,2012-02-10 11:35,12.71,0.00
05U,2012-02-10 11:55,13.57,0.00
05U,2012-02-10 12:35,14.69,0.00
05U,2012-02-10 12:55,13.57,0.00
05U,2012-02-10 13:35,11.61,0.00
05U,2012-02-10 13:55,10.81,0.00
05U,2012-02-10 14:35,14.69,0.00
05U,2012-02-10 14:55,13.81,0.00
05U,2012-02-10 15:35,23.00,0.00
05U,2012-02-10 15:55,26.60,0.00
05U,2012-02-10 16:35,31.62,0.00
05U,2012-02-10 16:55,34.86,0.00
05U,2012-02-10 17:35,42.80,0.00
05U,2012-02-10 17:55,44.60,0.00
05U,2012-02-10 18:35,48.20,0.00
05U,2012-02-10 18:55,50.00,0.00
05U,2012-02-10 19:35,53.60,0.00
05U,2012-02-10 19:55,55.40,0.00
05U,2012-02-10 20:35,57.20,0.00
05U,2012-02-10 20:55,57.20,0.00
05U,2012-02-10 21:35,59.00,0.00
05U,2012-02-10 21:55,59.00,0.00
05U,2012-02-10 22:35,59.00,0.00
05U,2012-02-10 22:55,59.00,0.00
05U,2012-02-10 23:35,59.00,0.00
05U,2012-02-10 23:55,59.00,0.00
05U,2012-02-11 00:35,57.20,0.00
05U,2012-02-11 00:55,53.60,0.00
05U,2012-02-11 01:35,42.87,0.00
05U,2012-02-11 01:55,40.71,0.00
05U,2012-02-11 02:35,34.95,0.00
05U,2012-02-11 02:55,31.36,0.00
05U,2012-02-11 03:35,33.73,0.00
05U,2012-02-11 03:55,24.78,0.00
05U,2012-02-11 04:35,24.57,0.00
05U,2012-02-11 04:55,28.40,0.00
05U,2012-02-11 05:35,22.12,0.00
05U,2012-02-11 05:55,26.60,0.00
