station,valid,feel,p01m
06C,2018-08-10 16:55,81.58,0.00
06C,2018-08-10 17:55,81.94,0.00
06C,2018-08-10 18:55,82.23,0.00
06C,2018-08-10 19:55,81.60,0.00
06C,2018-08-10 20:55,81.34,0.00
06C,2018-08-10 21:55,81.04,0.00
06C,2018-08-10 22:55,78.40,0.00
06C,2018-08-10 23:55,77.00,0.00
06C,2018-08-11 00:55,75.00,0.00
06C,2018-08-11 01:55,71.10,0.00
06C,2018-08-11 02:55,68.50,0.00
06C,2018-08-11 03:55,66.60,0.00
06C,2018-08-11 04:55,64.90,0.00
06C,2018-08-11 05:55,65.10,0.00
06C,2018-08-11 06:55,63.90,0.00
06C,2018-08-11 07:55,62.80,0.00
06C,2018-08-11 08:55,63.50,0.00
06C,2018-08-11 09:55,62.20,0.00
06C,2018-08-11 10:55,61.70,0.00
06C,2018-08-11 11:55,63.50,0.00
06C,2018-08-11 12:55,69.30,0.00
06C,2018-08-11 13:55,74.70,0.00
06C,2018-08-11 14:55,78.30,0.00
06C,2018-08-11 15:55,79.90,0.00
06C,2018-08-11 16:55,82.56,0.00
06C,2018-08-11 17:55,83.91,0.00
06C,2018-08-11 18:55,83.70,0.00
06C,2018-08-11 19:55,87.00,0.00
06C,2018-08-11 20:55,85.06,0.00
06C,2018-08-11 21:55,83.91,0.00
06C,2018-08-11 22:55,82.92,0.00
06C,2018-08-11 23:55,81.29,0.00
06C,2018-08-12 00:55,77.20,0.00
06C,2018-08-12 01:55,70.70,0.00
06C,2018-08-12 02:55,69.40,0.00
06C,2018-08-12 03:55,68.20,0.00
06C,2018-08-12 04:55,67.10,0.00
06C,2018-08-12 05:55,66.60,0.00
06C,2018-08-12 06:55,65.70,0.00
06C,2018-08-12 07:55,65.50,0.00
06C,2018-08-12 08:55,65.30,0.00
06C,2018-08-12 09:55,64.90,0.00
06C,2018-08-12 10:55,64.60,0.00
06C,2018-08-12 11:55,66.70,0.00
06C,2018-08-12 12:55,71.60,0.00
06C,2018-08-12 13:55,77.00,0.00
06C,2018-08-12 14:55,80.26,0.00
06C,2018-08-12 15:55,82.08,0.00
06C,2018-08-12 16:55,83.08,0.00
06C,2018-08-12 17:55,84.28,0.00
06C,2018-08-12 18:55,84.23,0.00
06C,2018-08-12 19:55,84.19,0.00
06C,2018-08-12 20:55,84.51,0.00
06C,2018-08-12 21:55,83.47,0.00
06C,2018-08-12 22:55,82.31,0.00
06C,2018-08-12 23:55,80.48,0.00
06C,2018-08-13 00:55,77.20,0.00
06C,2018-08-13 01:55,70.90,0.00
06C,2018-08-13 02:55,66.20,0.00
06C,2018-08-13 03:55,67.30,0.00
06C,2018-08-13 04:55,65.10,0.00
06C,2018-08-13 05:55,63.90,0.00
06C,2018-08-13 06:55,63.10,0.00
06C,2018-08-13 07:55,62.20,0.00
06C,2018-08-13 08:55,62.20,0.00
06C,2018-08-13 09:55,61.50,0.00
06C,2018-08-13 10:55,61.00,0.00
06C,2018-08-13 11:55,62.60,0.00
