station,valid,feel
PAAP,1993-01-01 01:00,29.84
PAAP,1993-01-01 02:00,M
PAAP,1993-01-01 16:00,25.53
PAAP,1993-01-01 21:00,32.90
PAAP,1993-01-02 02:00,28.75
PAAP,1993-01-02 16:00,32.02
PAAP,1993-01-02 17:00,M
PAAP,1993-01-02 18:00,31.05
PAAP,1993-01-02 19:00,30.45
PAAP,1993-01-02 20:00,30.17
PAAP,1993-01-03 02:00,32.68
PAAP,1993-01-03 16:00,22.19
PAAP,1993-01-03 17:00,19.74
PAAP,1993-01-03 18:00,18.48
PAAP,1993-01-03 20:00,14.68
PAAP,1993-01-03 21:00,14.68
PAAP,1993-01-03 22:00,14.09
PAAP,1993-01-03 23:00,13.38
PAAP,1993-01-04 00:00,M
PAAP,1993-01-04 01:00,12.55
PAAP,1993-01-04 03:00,10.27
PAAP,1993-01-04 16:00,12.77
PAAP,1993-01-04 17:00,15.59
PAAP,1993-01-04 18:00,16.26
PAAP,1993-01-04 22:00,21.45
PAAP,1993-01-05 17:00,25.11
PAAP,1993-01-05 18:00,30.92
PAAP,1993-01-05 19:00,30.92
PAAP,1993-01-06 00:00,26.16
PAAP,1993-01-06 18:00,32.90
PAAP,1993-01-07 02:00,31.55
PAAP,1993-01-07 17:00,31.10
PAAP,1993-01-07 19:00,30.30
PAAP,1993-01-07 20:00,29.06
PAAP,1993-01-08 02:00,28.16
PAAP,1993-01-08 17:00,26.58
PAAP,1993-01-09 02:00,26.61
PAAP,1993-01-09 23:00,32.90
PAAP,1993-01-10 02:00,32.00
PAAP,1993-01-10 19:00,22.67
PAAP,1993-01-10 23:00,26.27
PAAP,1993-01-11 02:00,24.51
PAAP,1993-01-11 16:00,24.11
PAAP,1993-01-11 18:00,24.52
PAAP,1993-01-11 19:00,25.67
PAAP,1993-01-11 21:00,27.93
PAAP,1993-01-12 00:00,24.87
PAAP,1993-01-12 01:00,24.52
PAAP,1993-01-12 16:00,23.83
PAAP,1993-01-12 17:00,24.90
PAAP,1993-01-12 18:00,23.83
PAAP,1993-01-12 19:00,23.46
PAAP,1993-01-12 22:00,23.15
PAAP,1993-01-13 21:00,M
PAAP,1993-01-14 20:00,32.90
PAAP,1993-01-15 17:00,31.55
PAAP,1993-01-15 19:00,33.45
PAAP,1993-01-15 22:00,32.02
PAAP,1993-01-15 23:00,M
PAAP,1993-01-16 02:00,29.82
PAAP,1993-01-17 02:00,M
PAAP,1993-01-17 17:00,25.91
PAAP,1993-01-18 02:00,25.26
PAAP,1993-01-19 20:00,M
PAAP,1993-01-20 02:00,M
PAAP,1993-01-20 18:00,28.44
PAAP,1993-01-20 19:00,26.75
PAAP,1993-01-20 23:00,30.10
PAAP,1993-01-21 01:00,28.75
PAAP,1993-01-21 16:00,21.16
PAAP,1993-01-21 18:00,21.95
PAAP,1993-01-21 19:00,20.93
PAAP,1993-01-21 20:00,21.95
PAAP,1993-01-21 21:00,21.77
PAAP,1993-01-21 22:00,22.96
PAAP,1993-01-21 23:00,22.96
PAAP,1993-01-22 00:00,19.78
PAAP,1993-01-22 02:00,20.42
PAAP,1993-01-22 21:00,22.47
PAAP,1993-01-22 22:00,25.45
PAAP,1993-01-22 23:00,25.26
PAAP,1993-01-23 01:00,24.40
PAAP,1993-01-23 02:00,24.40
PAAP,1993-01-24 19:00,19.25
PAAP,1993-01-24 20:00,17.98
PAAP,1993-01-24 21:00,19.74
PAAP,1993-01-24 22:00,19.25
PAAP,1993-01-25 00:00,17.65
PAAP,1993-01-25 01:00,18.11
PAAP,1993-01-25 02:00,14.77
PAAP,1993-01-25 16:00,22.76
PAAP,1993-01-25 17:00,22.76
PAAP,1993-01-25 18:00,22.93
PAAP,1993-01-25 19:00,18.80
PAAP,1993-01-25 20:00,22.78
PAAP,1993-01-25 21:00,M
PAAP,1993-01-25 22:00,25.11
PAAP,1993-01-25 23:00,25.11
PAAP,1993-01-26 00:00,24.23
PAAP,1993-01-26 01:00,32.00
PAAP,1993-01-26 02:00,27.42
PAAP,1993-01-26 16:00,33.98
PAAP,1993-01-26 17:00,33.98
PAAP,1993-01-26 18:00,34.88
PAAP,1993-01-26 19:00,34.88
PAAP,1993-01-26 21:00,31.10
PAAP,1993-01-26 22:00,28.29
PAAP,1993-01-26 23:00,26.55
PAAP,1993-01-27 00:00,26.55
PAAP,1993-01-27 02:00,22.32
PAAP,1993-01-27 16:00,16.35
PAAP,1993-01-27 17:00,17.41
PAAP,1993-01-27 18:00,17.58
PAAP,1993-01-27 19:00,17.12
PAAP,1993-01-27 20:00,18.14
PAAP,1993-01-27 21:00,18.35
PAAP,1993-01-27 22:00,23.00
PAAP,1993-01-27 23:00,23.15
PAAP,1993-01-28 00:00,24.10
PAAP,1993-01-28 01:00,22.72
PAAP,1993-01-28 02:00,19.03
PAAP,1993-01-28 17:00,25.67
PAAP,1993-01-28 18:00,35.96
PAAP,1993-01-28 19:00,34.88
PAAP,1993-01-28 20:00,27.04
PAAP,1993-01-28 21:00,33.92
PAAP,1993-01-29 16:00,34.42
PAAP,1993-01-29 17:00,34.42
PAAP,1993-01-29 18:00,34.42
PAAP,1993-01-29 19:00,35.39
PAAP,1993-01-29 20:00,35.39
PAAP,1993-01-29 21:00,36.19
PAAP,1993-01-29 22:00,32.57
PAAP,1993-01-29 23:00,32.57
