station,valid,feel
PABN,1993-01-01 02:00,-5.37
PABN,1993-01-01 04:00,-6.95
PABN,1993-01-01 19:00,7.88
PABN,1993-01-01 21:00,M
PABN,1993-01-02 04:00,M
PABN,1993-01-02 16:00,6.09
PABN,1993-01-02 19:00,7.37
PABN,1993-01-02 22:00,0.40
PABN,1993-01-03 04:00,-9.76
PABN,1993-01-03 16:00,-28.70
PABN,1993-01-03 17:00,-16.06
PABN,1993-01-03 19:00,-18.04
PABN,1993-01-03 20:00,-29.61
PABN,1993-01-03 22:00,-29.97
PABN,1993-01-04 00:00,-14.08
PABN,1993-01-04 02:00,-28.33
PABN,1993-01-04 04:00,M
PABN,1993-01-04 19:00,-2.22
PABN,1993-01-05 02:00,-31.26
PABN,1993-01-05 04:00,-25.20
PABN,1993-01-05 18:00,-9.30
PABN,1993-01-05 19:00,3.92
PABN,1993-01-05 20:00,-13.60
PABN,1993-01-06 02:00,5.00
PABN,1993-01-06 15:00,-20.76
PABN,1993-01-06 16:00,-17.21
PABN,1993-01-06 20:00,1.52
PABN,1993-01-07 00:00,M
PABN,1993-01-07 02:00,9.26
PABN,1993-01-07 04:00,6.82
PABN,1993-01-07 15:00,-8.29
PABN,1993-01-07 16:00,-6.95
PABN,1993-01-07 19:00,2.84
PABN,1993-01-07 20:00,7.88
PABN,1993-01-07 22:00,-0.97
PABN,1993-01-08 02:00,M
PABN,1993-01-08 04:00,11.84
PABN,1993-01-08 16:00,-0.04
PABN,1993-01-08 17:00,-6.63
PABN,1993-01-08 18:00,-13.60
PABN,1993-01-09 02:00,-6.95
PABN,1993-01-09 04:00,-12.24
PABN,1993-01-09 17:00,11.84
PABN,1993-01-09 20:00,6.82
PABN,1993-01-09 22:00,6.49
PABN,1993-01-10 00:00,4.13
PABN,1993-01-10 02:00,7.45
PABN,1993-01-10 04:00,11.84
PABN,1993-01-10 15:00,9.86
PABN,1993-01-10 16:00,M
PABN,1993-01-10 19:00,2.45
PABN,1993-01-10 20:00,M
PABN,1993-01-10 22:00,-4.60
PABN,1993-01-11 04:00,-5.08
PABN,1993-01-11 19:00,-6.16
PABN,1993-01-11 22:00,-5.08
PABN,1993-01-12 00:00,-5.08
PABN,1993-01-12 04:00,-4.00
PABN,1993-01-12 15:00,-0.04
PABN,1993-01-12 20:00,-15.44
PABN,1993-01-12 22:00,-11.66
PABN,1993-01-13 00:00,-16.36
PABN,1993-01-13 04:00,M
PABN,1993-01-13 19:00,M
PABN,1993-01-14 00:00,M
PABN,1993-01-14 04:00,-0.96
PABN,1993-01-14 16:00,-17.21
PABN,1993-01-14 18:00,-5.92
PABN,1993-01-14 20:00,15.29
PABN,1993-01-14 22:00,M
PABN,1993-01-15 02:00,17.96
PABN,1993-01-15 15:00,-6.95
PABN,1993-01-15 16:00,1.94
PABN,1993-01-15 18:00,-15.44
PABN,1993-01-15 20:00,-9.99
PABN,1993-01-15 22:00,-9.30
PABN,1993-01-16 04:00,-14.01
PABN,1993-01-16 15:00,1.94
PABN,1993-01-17 00:00,-4.62
PABN,1993-01-17 04:00,3.88
PABN,1993-01-17 15:00,M
PABN,1993-01-17 16:00,M
PABN,1993-01-18 03:00,21.92
PABN,1993-01-18 04:00,14.42
PABN,1993-01-18 19:00,M
PABN,1993-01-18 22:00,M
PABN,1993-01-19 04:00,-1.13
PABN,1993-01-19 15:00,-15.44
PABN,1993-01-19 16:00,-16.74
PABN,1993-01-19 17:00,-15.29
PABN,1993-01-19 18:00,-19.10
PABN,1993-01-20 00:00,-28.86
PABN,1993-01-20 02:00,-32.33
PABN,1993-01-20 04:00,-36.17
PABN,1993-01-20 15:00,-42.27
PABN,1993-01-20 16:00,-42.27
PABN,1993-01-20 17:00,-46.66
PABN,1993-01-20 19:00,-42.27
PABN,1993-01-20 20:00,-42.27
PABN,1993-01-20 22:00,-36.17
PABN,1993-01-21 00:00,-41.14
PABN,1993-01-21 04:00,-39.78
PABN,1993-01-21 15:00,-42.41
PABN,1993-01-21 16:00,-44.75
PABN,1993-01-21 18:00,M
PABN,1993-01-21 20:00,-43.62
PABN,1993-01-22 15:00,-43.72
PABN,1993-01-22 16:00,-48.50
PABN,1993-01-22 17:00,-52.42
PABN,1993-01-22 22:00,M
PABN,1993-01-23 00:00,M
PABN,1993-01-23 02:00,M
PABN,1993-01-23 04:00,-52.38
PABN,1993-01-23 16:00,-49.72
PABN,1993-01-23 18:00,-34.06
PABN,1993-01-23 20:00,M
PABN,1993-01-24 00:00,-45.10
PABN,1993-01-24 04:00,M
PABN,1993-01-24 15:00,-52.06
PABN,1993-01-24 22:00,M
PABN,1993-01-25 00:00,-47.41
PABN,1993-01-25 02:00,M
PABN,1993-01-25 17:00,M
PABN,1993-01-26 04:00,-30.10
PABN,1993-01-26 17:00,M
PABN,1993-01-26 19:00,M
PABN,1993-01-26 22:00,-24.16
PABN,1993-01-27 00:00,-41.37
PABN,1993-01-27 17:00,-37.12
PABN,1993-01-27 19:00,M
PABN,1993-01-27 20:00,-33.33
PABN,1993-01-27 22:00,M
PABN,1993-01-28 00:00,M
PABN,1993-01-28 03:00,-33.33
PABN,1993-01-28 04:00,-35.38
PABN,1993-01-28 18:00,M
PABN,1993-01-28 22:00,M
PABN,1993-01-29 01:00,-28.50
PABN,1993-01-29 04:00,-27.77
PABN,1993-01-29 20:00,-14.62
PABN,1993-01-30 02:00,-17.83
PABN,1993-01-30 05:00,-20.23
PABN,1993-01-30 18:00,-19.13
PABN,1993-01-31 17:00,-25.20
PABN,1993-02-01 00:00,-29.85
PABN,1993-02-01 19:00,-47.51
PABN,1993-02-02 00:00,-52.03
PABN,1993-02-02 04:00,M
PABN,1993-02-02 20:00,M
PABN,1993-02-02 22:00,-33.16
PABN,1993-02-03 00:00,M
PABN,1993-02-03 17:00,-32.08
PABN,1993-02-03 20:00,-54.91
PABN,1993-02-03 22:00,M
PABN,1993-02-04 02:00,M
PABN,1993-02-04 04:00,M
PABN,1993-02-04 17:00,M
PABN,1993-02-04 19:00,M
PABN,1993-02-04 20:00,M
PABN,1993-02-04 22:00,-49.94
PABN,1993-02-05 04:00,-52.38
PABN,1993-02-05 15:00,-39.51
PABN,1993-02-05 18:00,M
PABN,1993-02-05 20:00,-39.78
PABN,1993-02-06 00:00,-32.35
PABN,1993-02-06 17:00,-27.37
PABN,1993-02-06 22:00,-20.13
PABN,1993-02-07 04:00,6.82
PABN,1993-02-07 15:00,M
PABN,1993-02-07 19:00,-12.94
PABN,1993-02-07 21:00,M
PABN,1993-02-08 04:00,-5.08
PABN,1993-02-08 18:00,M
PABN,1993-02-08 19:00,-6.95
PABN,1993-02-08 23:00,M
PABN,1993-02-09 02:00,-6.95
PABN,1993-02-09 05:00,-8.29
PABN,1993-02-09 17:00,-14.01
PABN,1993-02-09 20:00,-6.99
PABN,1993-02-09 21:00,M
PABN,1993-02-09 22:00,-2.25
PABN,1993-02-10 00:00,M
PABN,1993-02-10 04:00,-0.04
PABN,1993-02-10 16:00,M
PABN,1993-02-10 20:00,7.88
PABN,1993-02-10 22:00,11.84
PABN,1993-02-11 00:00,14.00
PABN,1993-02-11 03:00,-3.06
PABN,1993-02-11 05:00,5.00
PABN,1993-02-11 15:00,M
PABN,1993-02-11 17:00,M
PABN,1993-02-11 18:00,17.96
PABN,1993-02-11 19:00,23.90
PABN,1993-02-11 22:00,33.98
PABN,1993-02-12 00:00,29.00
PABN,1993-02-12 04:00,19.13
PABN,1993-02-12 16:00,11.84
PABN,1993-02-12 17:00,5.02
PABN,1993-02-12 19:00,17.96
PABN,1993-02-12 22:00,33.98
PABN,1993-02-13 04:00,M
PABN,1993-02-13 18:00,M
PABN,1993-02-13 20:00,19.94
PABN,1993-02-13 23:00,23.90
PABN,1993-02-14 02:00,10.94
PABN,1993-02-14 04:00,0.10
PABN,1993-02-14 15:00,2.45
PABN,1993-02-14 16:00,1.25
PABN,1993-02-14 20:00,3.85
PABN,1993-02-15 02:00,5.49
PABN,1993-02-15 04:00,M
PABN,1993-02-17 04:00,4.38
PABN,1993-02-17 16:00,15.98
PABN,1993-02-17 18:00,17.96
PABN,1993-02-17 20:00,M
PABN,1993-02-18 00:00,13.39
PABN,1993-02-18 02:00,6.24
PABN,1993-02-18 04:00,1.25
PABN,1993-02-18 15:00,-3.52
PABN,1993-02-18 17:00,M
PABN,1993-02-18 18:00,M
PABN,1993-02-18 19:00,12.92
PABN,1993-02-18 22:00,21.92
PABN,1993-02-19 02:00,5.90
PABN,1993-02-19 07:00,M
PABN,1993-02-19 19:00,-2.31
PABN,1993-02-19 20:00,M
PABN,1993-02-19 22:00,4.13
PABN,1993-02-20 02:00,12.81
PABN,1993-02-20 04:00,M
PABN,1993-02-20 17:00,11.84
PABN,1993-02-20 19:00,17.96
PABN,1993-02-21 00:00,17.96
PABN,1993-02-21 02:00,14.00
PABN,1993-02-21 04:00,9.86
PABN,1993-02-21 19:00,14.00
PABN,1993-02-21 20:00,15.98
PABN,1993-02-22 00:00,5.36
PABN,1993-02-22 04:00,-2.31
PABN,1993-02-22 17:00,9.86
PABN,1993-02-22 20:00,3.88
PABN,1993-02-23 00:00,8.71
PABN,1993-02-23 02:00,7.37
PABN,1993-02-23 04:00,9.86
PABN,1993-02-23 18:00,14.00
PABN,1993-02-23 19:00,11.01
PABN,1993-02-24 00:00,21.48
PABN,1993-02-24 04:00,11.01
PABN,1993-02-24 16:00,7.88
PABN,1993-02-24 19:00,12.07
PABN,1993-02-24 22:00,25.88
PABN,1993-02-25 02:00,M
PABN,1993-02-25 16:00,3.92
PABN,1993-02-25 17:00,-5.67
PABN,1993-02-25 18:00,M
PABN,1993-02-25 20:00,14.90
PABN,1993-02-25 22:00,21.92
PABN,1993-02-26 00:00,16.78
PABN,1993-02-26 02:00,9.72
PABN,1993-02-26 04:00,1.94
PABN,1993-02-26 15:00,3.85
PABN,1993-02-26 18:00,9.72
PABN,1993-02-26 20:00,13.39
PABN,1993-02-26 22:00,M
PABN,1993-02-27 00:00,15.77
PABN,1993-02-27 04:00,7.37
PABN,1993-02-27 16:00,M
PABN,1993-02-27 17:00,23.90
PABN,1993-02-27 22:00,29.73
PABN,1993-02-28 00:00,29.84
PABN,1993-02-28 02:00,19.94
PABN,1993-02-28 15:00,9.86
PABN,1993-02-28 16:00,1.57
PABN,1993-02-28 17:00,11.84
PABN,1993-02-28 19:00,19.94
PABN,1993-02-28 20:00,21.92
PABN,1993-03-01 00:00,25.88
PABN,1993-03-01 02:00,12.07
PABN,1993-03-01 04:00,M
PABN,1993-03-01 19:00,M
PABN,1993-03-01 22:00,27.86
PABN,1993-03-02 02:00,21.92
PABN,1993-03-02 04:00,M
PABN,1993-03-02 16:00,-5.90
PABN,1993-03-02 19:00,5.02
PABN,1993-03-02 22:00,M
PABN,1993-03-03 00:00,24.90
