station,valid,feel
PACE,2008-08-06 15:47,44.60
PACE,2008-08-07 19:47,46.40
PACE,2008-08-13 21:47,62.60
PACE,2008-08-14 19:47,55.40
PACE,2008-08-15 17:47,57.20
PACE,2008-08-15 19:47,60.80
PACE,2008-08-16 15:47,48.20
PACE,2008-08-16 21:47,64.40
PACE,2008-08-20 15:47,31.62
PACE,2008-08-21 15:47,33.80
PACE,2008-08-26 21:47,62.60
PACE,2008-09-01 15:47,30.20
PACE,2008-09-02 15:47,33.80
PACE,2008-09-06 15:47,39.20
PACE,2008-09-07 21:47,55.40
PACE,2008-09-07 23:47,55.40
PACE,2008-09-08 17:47,46.40
PACE,2008-09-10 19:47,34.95
PACE,2008-09-10 21:47,34.95
PACE,2008-09-12 15:47,42.80
PACE,2008-09-16 15:47,32.00
PACE,2008-09-22 21:47,47.21
PACE,2008-09-23 19:47,35.83
PACE,2008-09-24 17:47,33.80
PACE,2008-09-25 01:47,41.00
PACE,2008-09-26 01:47,32.80
PACE,2008-09-28 01:47,33.80
PACE,2008-09-28 23:47,23.36
PACE,2008-09-29 19:47,27.42
PACE,2008-09-29 21:47,33.80
PACE,2008-09-30 15:47,21.20
PACE,2008-10-01 23:47,33.73
PACE,2008-10-02 21:47,30.75
PACE,2008-10-04 01:47,32.00
PACE,2008-10-06 17:47,23.00
PACE,2008-10-09 21:47,16.86
PACE,2008-10-09 23:47,26.60
PACE,2008-10-10 01:47,24.80
PACE,2008-10-11 15:47,16.34
PACE,2008-10-11 19:47,33.73
PACE,2008-10-12 15:47,26.60
PACE,2008-10-12 17:47,28.40
PACE,2008-10-12 23:47,22.12
PACE,2008-10-13 01:47,21.11
PACE,2008-10-17 17:47,-0.40
PACE,2008-10-19 19:47,1.40
PACE,2008-10-20 15:47,8.60
PACE,2008-10-20 17:47,8.60
PACE,2008-10-20 21:47,12.20
PACE,2008-10-21 17:47,10.40
PACE,2008-10-22 15:47,6.05
PACE,2008-10-22 19:47,-0.28
PACE,2008-10-23 01:47,6.40
PACE,2008-10-24 15:47,5.00
PACE,2008-10-24 21:47,-1.55
PACE,2008-10-24 23:47,-2.49
PACE,2008-10-25 01:47,-6.93
PACE,2008-10-25 15:47,-3.74
PACE,2008-10-26 17:47,-7.60
PACE,2008-10-26 23:47,-0.40
PACE,2008-10-27 21:47,-4.00
PACE,2008-10-31 19:47,-5.80
PACE,2008-11-01 19:47,-12.47
PACE,2008-11-01 21:47,-4.00
PACE,2008-11-01 23:47,-2.20
PACE,2008-11-02 01:47,-2.20
PACE,2008-11-04 22:47,14.00
PACE,2008-11-05 02:47,12.20
PACE,2008-11-08 16:47,-2.20
PACE,2008-11-08 20:47,-0.40
PACE,2008-11-09 22:47,-0.40
PACE,2008-11-10 02:47,-2.20
PACE,2008-11-10 16:47,-13.00
PACE,2008-11-10 22:47,M
PACE,2008-11-11 16:47,-13.00
PACE,2008-11-11 18:47,-13.00
PACE,2008-11-17 16:47,-2.20
PACE,2008-11-17 20:47,-0.40
PACE,2008-11-20 02:47,-13.00
PACE,2008-11-20 18:47,-9.40
PACE,2008-11-24 02:47,-9.40
PACE,2008-11-25 00:47,-5.80
PACE,2008-11-25 20:47,-10.41
PACE,2008-11-26 18:47,1.40
PACE,2008-11-27 18:47,3.20
PACE,2008-12-01 20:47,-12.08
PACE,2008-12-02 00:47,-23.03
PACE,2008-12-04 22:47,-4.00
PACE,2008-12-07 18:47,-29.10
PACE,2008-12-07 22:47,-30.99
PACE,2008-12-10 20:47,-14.80
PACE,2008-12-11 16:47,-7.60
PACE,2008-12-16 02:47,13.94
PACE,2008-12-16 16:47,-0.28
PACE,2008-12-19 16:47,1.40
PACE,2009-01-01 18:47,M
PACE,2009-01-01 22:47,M
PACE,2009-01-02 20:47,M
PACE,2009-01-05 00:47,M
PACE,2009-01-13 18:47,-25.60
PACE,2009-01-13 22:47,-26.87
PACE,2009-01-14 00:47,-16.60
PACE,2009-01-14 16:47,-5.80
PACE,2009-01-14 22:47,-2.20
PACE,2009-01-19 18:47,16.91
PACE,2009-01-21 02:47,-6.21
PACE,2009-01-21 22:47,-7.60
PACE,2009-01-22 20:47,-32.80
PACE,2009-01-25 18:47,-2.20
PACE,2009-01-27 18:47,-2.20
PACE,2009-01-27 20:47,-6.29
PACE,2009-01-28 00:47,-2.65
PACE,2009-01-28 20:47,-25.60
PACE,2009-01-29 22:47,-25.60
PACE,2009-01-31 22:47,-13.00
PACE,2009-02-03 16:47,-23.80
PACE,2009-02-05 16:47,-18.40
PACE,2009-02-05 22:47,-11.20
PACE,2009-02-06 18:47,-22.00
PACE,2009-02-08 16:47,-4.00
PACE,2009-02-08 22:47,M
PACE,2009-02-09 00:47,-0.40
PACE,2009-02-09 18:47,-4.00
PACE,2009-02-14 02:47,3.20
PACE,2009-02-14 22:47,14.00
PACE,2009-02-15 00:47,12.20
PACE,2009-02-15 22:47,12.20
PACE,2009-02-16 00:47,12.20
PACE,2009-02-16 20:47,8.11
PACE,2009-02-17 02:47,6.80
PACE,2009-02-17 22:47,10.60
PACE,2009-02-18 00:47,17.60
PACE,2009-02-19 22:47,27.48
PACE,2009-02-22 16:47,-7.60
PACE,2009-02-23 00:47,10.40
PACE,2009-02-23 02:47,6.80
PACE,2009-02-23 16:47,3.20
PACE,2009-02-26 02:47,15.80
PACE,2009-02-28 02:47,3.20
