station,valid,feel
PADM,2005-12-01 12:56,-2.11
PADM,2005-12-01 13:56,-3.84
PADM,2005-12-01 14:56,-3.13
PADM,2005-12-01 15:56,-1.99
PADM,2006-10-30 05:56,29.04
PADM,2006-10-30 06:56,27.98
PADM,2006-10-30 08:56,30.35
PADM,2006-10-31 07:56,27.66
PADM,2006-10-31 08:56,31.10
PADM,2006-10-31 11:56,30.00
PADM,2006-10-31 12:56,26.40
PADM,2006-11-01 08:56,29.10
PADM,2006-11-01 11:56,18.40
PADM,2006-11-01 12:56,23.00
PADM,2006-11-02 11:56,34.00
PADM,2006-11-02 12:56,32.90
PADM,2006-11-03 11:56,28.00
PADM,2006-11-03 12:56,28.00
PADM,2006-11-04 11:56,29.10
PADM,2006-11-04 12:56,26.40
PADM,2006-11-05 12:56,11.20
PADM,2006-11-06 11:56,-0.97
PADM,2006-11-06 12:56,9.10
PADM,2006-11-07 11:56,14.38
PADM,2006-11-07 12:56,18.19
PADM,2006-11-08 11:56,5.35
PADM,2006-11-08 12:56,4.07
PADM,2006-11-10 04:56,-10.25
PADM,2006-11-11 11:56,1.73
PADM,2006-11-11 12:56,7.20
PADM,2006-11-12 11:56,20.54
PADM,2006-11-12 12:56,17.85
PADM,2006-11-13 21:56,-4.10
PADM,2006-11-14 07:56,8.10
PADM,2006-11-14 11:56,14.43
PADM,2006-11-14 12:56,15.77
PADM,2006-11-14 18:56,16.64
PADM,2006-11-15 15:56,0.10
PADM,2006-11-15 23:56,-14.35
PADM,2006-11-16 11:56,-16.15
PADM,2006-11-16 12:56,-17.45
PADM,2006-11-28 23:56,27.69
PADM,2006-11-29 11:56,27.22
PADM,2006-11-29 12:56,27.94
PADM,2006-11-29 17:56,18.19
PADM,2006-11-30 07:56,9.51
PADM,2006-11-30 08:56,10.97
PADM,2006-11-30 11:56,14.86
PADM,2006-11-30 12:56,15.11
PADM,2006-12-01 07:56,16.27
PADM,2006-12-01 08:56,15.06
PADM,2006-12-01 12:56,15.06
PADM,2006-12-02 11:56,9.47
PADM,2006-12-02 12:56,11.30
PADM,2006-12-02 20:56,5.76
PADM,2006-12-03 11:56,-0.62
PADM,2006-12-03 12:56,-1.13
PADM,2006-12-07 11:56,14.85
PADM,2006-12-07 12:56,16.79
PADM,2006-12-08 12:56,5.27
PADM,2006-12-08 20:56,8.28
PADM,2006-12-10 20:56,12.32
PADM,2006-12-12 00:56,6.40
PADM,2006-12-12 11:56,-4.11
PADM,2006-12-12 12:56,-7.32
PADM,2006-12-12 20:56,-4.35
PADM,2006-12-13 14:56,-8.90
PADM,2006-12-14 11:56,-14.09
PADM,2006-12-14 12:56,-15.18
PADM,2006-12-15 12:56,-17.90
PADM,2006-12-16 11:56,-15.95
PADM,2006-12-16 12:56,-13.64
PADM,2006-12-17 00:56,-4.60
