station,valid,feel
PAEC,1993-01-01 15:00,21.92
PAEC,1993-01-01 16:00,19.94
PAEC,1993-01-01 17:00,18.86
PAEC,1993-01-02 21:00,-0.88
PAEC,1993-01-03 01:00,-3.16
PAEC,1993-01-03 05:00,7.88
PAEC,1993-01-03 07:00,-4.62
PAEC,1993-01-03 15:00,-13.18
PAEC,1993-01-03 16:00,-14.25
PAEC,1993-01-03 21:00,-17.67
PAEC,1993-01-03 23:00,-15.52
PAEC,1993-01-04 01:00,-17.21
PAEC,1993-01-04 05:00,-14.38
PAEC,1993-01-04 07:00,-11.86
PAEC,1993-01-04 16:00,8.96
PAEC,1993-01-04 17:00,-0.97
PAEC,1993-01-04 21:00,1.38
PAEC,1993-01-04 23:00,2.45
PAEC,1993-01-05 05:00,14.90
PAEC,1993-01-05 07:00,16.88
PAEC,1993-01-05 15:00,17.08
PAEC,1993-01-05 16:00,18.06
PAEC,1993-01-05 17:00,15.71
PAEC,1993-01-05 21:00,M
PAEC,1993-01-05 23:00,24.98
PAEC,1993-01-06 01:00,23.90
PAEC,1993-01-06 05:00,23.90
PAEC,1993-01-06 07:00,23.00
PAEC,1993-01-06 16:00,19.13
PAEC,1993-01-07 05:00,25.88
PAEC,1993-01-07 07:00,24.98
PAEC,1993-01-07 15:00,20.41
PAEC,1993-01-07 16:00,20.27
PAEC,1993-01-07 17:00,26.96
PAEC,1993-01-07 23:00,15.71
PAEC,1993-01-08 01:00,9.70
PAEC,1993-01-08 05:00,9.72
PAEC,1993-01-08 16:00,14.42
PAEC,1993-01-08 17:00,20.84
PAEC,1993-01-09 15:00,24.98
PAEC,1993-01-09 16:00,24.98
PAEC,1993-01-10 01:00,14.90
PAEC,1993-01-10 05:00,1.38
PAEC,1993-01-10 07:00,0.17
PAEC,1993-01-10 15:00,M
PAEC,1993-01-10 17:00,-7.28
PAEC,1993-01-10 21:00,-4.80
PAEC,1993-01-11 01:00,-4.27
PAEC,1993-01-11 05:00,-7.60
PAEC,1993-01-11 07:00,-5.72
PAEC,1993-01-11 16:00,-2.22
PAEC,1993-01-11 17:00,-5.72
PAEC,1993-01-11 21:00,-7.60
PAEC,1993-01-11 23:00,-7.28
PAEC,1993-01-12 05:00,-9.15
PAEC,1993-01-12 07:00,-2.22
PAEC,1993-01-12 15:00,-5.60
PAEC,1993-01-12 16:00,-7.28
PAEC,1993-01-12 17:00,-6.71
PAEC,1993-01-12 21:00,-8.41
PAEC,1993-01-12 23:00,-4.62
PAEC,1993-01-13 01:00,-4.60
PAEC,1993-01-13 05:00,-2.22
PAEC,1993-01-13 07:00,-1.13
PAEC,1993-01-13 16:00,9.86
PAEC,1993-01-13 17:00,10.94
PAEC,1993-01-13 21:00,8.76
PAEC,1993-01-14 01:00,10.04
PAEC,1993-01-14 05:00,14.14
PAEC,1993-01-14 07:00,14.78
PAEC,1993-01-14 16:00,21.92
PAEC,1993-01-14 17:00,20.84
PAEC,1993-01-14 21:00,6.24
PAEC,1993-01-14 23:00,8.44
PAEC,1993-01-15 05:00,6.09
PAEC,1993-01-15 07:00,5.14
PAEC,1993-01-15 15:00,8.96
PAEC,1993-01-15 16:00,8.96
PAEC,1993-01-15 17:00,6.98
PAEC,1993-01-16 05:00,-3.44
PAEC,1993-01-16 07:00,-4.02
PAEC,1993-01-16 15:00,-3.16
PAEC,1993-01-16 16:00,-3.30
PAEC,1993-01-16 21:00,14.00
PAEC,1993-01-17 01:00,14.90
PAEC,1993-01-17 05:00,16.88
PAEC,1993-01-17 07:00,8.44
PAEC,1993-01-17 21:00,21.92
PAEC,1993-01-17 23:00,15.77
PAEC,1993-01-18 01:00,14.14
PAEC,1993-01-18 17:00,16.78
PAEC,1993-01-18 23:00,19.94
PAEC,1993-01-19 01:00,8.97
PAEC,1993-01-19 05:00,13.03
PAEC,1993-01-19 07:00,7.80
PAEC,1993-01-19 08:00,7.80
PAEC,1993-01-19 15:00,-7.38
PAEC,1993-01-19 17:00,-14.61
PAEC,1993-01-19 21:00,-16.18
PAEC,1993-01-19 23:00,-16.42
PAEC,1993-01-20 01:00,-20.79
PAEC,1993-01-20 05:00,-26.98
PAEC,1993-01-20 16:00,-26.05
PAEC,1993-01-20 17:00,-29.06
PAEC,1993-01-20 21:00,-32.22
PAEC,1993-01-20 23:00,M
PAEC,1993-01-21 01:00,-31.67
PAEC,1993-01-21 05:00,-31.26
PAEC,1993-01-21 07:00,-33.82
PAEC,1993-01-21 17:00,-33.26
PAEC,1993-01-22 07:00,-33.82
PAEC,1993-01-22 16:00,-33.55
PAEC,1993-01-22 17:00,-32.33
PAEC,1993-01-23 01:00,-33.55
PAEC,1993-01-23 05:00,-34.93
PAEC,1993-01-23 07:00,-31.32
PAEC,1993-01-23 16:00,-33.13
PAEC,1993-01-23 17:00,-33.55
PAEC,1993-01-23 21:00,-29.09
PAEC,1993-01-23 23:00,-22.59
PAEC,1993-01-24 01:00,-26.01
PAEC,1993-01-24 07:00,-30.23
PAEC,1993-01-24 16:00,-32.75
PAEC,1993-01-24 17:00,M
PAEC,1993-01-24 21:00,-29.98
PAEC,1993-01-24 23:00,-26.01
PAEC,1993-01-25 00:00,M
PAEC,1993-01-25 01:00,-27.37
PAEC,1993-01-25 05:00,-30.23
PAEC,1993-01-25 07:00,-31.32
PAEC,1993-01-25 15:00,-32.44
PAEC,1993-01-25 16:00,-34.82
PAEC,1993-01-25 17:00,-34.82
PAEC,1993-01-25 21:00,-36.17
PAEC,1993-01-25 23:00,-30.76
PAEC,1993-01-26 01:00,-29.86
PAEC,1993-01-26 05:00,-23.53
PAEC,1993-01-26 07:00,-20.23
PAEC,1993-01-26 16:00,-17.21
PAEC,1993-01-26 17:00,-18.02
PAEC,1993-01-26 21:00,-13.74
PAEC,1993-01-27 01:00,-7.60
PAEC,1993-01-27 07:00,-2.21
PAEC,1993-01-27 15:00,1.52
PAEC,1993-01-27 16:00,0.61
PAEC,1993-01-27 17:00,-1.55
PAEC,1993-01-27 21:00,3.05
PAEC,1993-01-27 23:00,4.71
PAEC,1993-01-28 01:00,6.35
PAEC,1993-01-28 07:00,7.93
PAEC,1993-01-28 21:00,12.57
PAEC,1993-01-29 01:00,14.67
PAEC,1993-01-29 07:00,20.54
PAEC,1993-01-29 15:00,10.37
PAEC,1993-01-29 16:00,9.26
PAEC,1993-01-29 17:00,5.49
PAEC,1993-01-30 07:00,0.21
PAEC,1993-01-30 15:00,9.86
PAEC,1993-01-30 17:00,9.86
PAEC,1993-01-30 21:00,5.00
PAEC,1993-01-30 23:00,5.90
PAEC,1993-01-31 01:00,5.00
PAEC,1993-01-31 05:00,-5.67
PAEC,1993-01-31 07:00,-8.24
PAEC,1993-01-31 16:00,-8.13
PAEC,1993-01-31 17:00,-10.89
PAEC,1993-01-31 21:00,-25.89
PAEC,1993-01-31 23:00,-26.63
PAEC,1993-02-01 01:00,-31.03
PAEC,1993-02-01 05:00,-38.00
PAEC,1993-02-01 07:00,-36.28
PAEC,1993-02-01 15:00,-24.70
