station,valid,feel
PAEL,1993-01-01 03:00,17.65
PAEL,1993-01-01 04:00,M
PAEL,1993-01-01 18:00,30.92
PAEL,1993-01-01 19:00,30.92
PAEL,1993-01-01 20:00,30.92
PAEL,1993-01-01 21:00,30.92
PAEL,1993-01-01 22:00,30.92
PAEL,1993-01-01 23:00,32.00
PAEL,1993-01-02 03:00,33.98
PAEL,1993-01-02 04:00,34.88
PAEL,1993-01-02 05:00,26.58
PAEL,1993-01-02 17:00,31.98
PAEL,1993-01-02 18:00,30.78
PAEL,1993-01-02 19:00,29.00
PAEL,1993-01-02 20:00,31.98
PAEL,1993-01-02 21:00,27.19
PAEL,1993-01-02 22:00,25.45
PAEL,1993-01-02 23:00,27.46
PAEL,1993-01-03 03:00,21.95
PAEL,1993-01-03 04:00,24.10
PAEL,1993-01-03 05:00,23.35
PAEL,1993-01-03 16:00,17.98
PAEL,1993-01-03 17:00,17.98
PAEL,1993-01-03 18:00,15.07
PAEL,1993-01-03 19:00,13.33
PAEL,1993-01-03 20:00,12.21
PAEL,1993-01-03 21:00,13.64
PAEL,1993-01-03 22:00,14.30
PAEL,1993-01-03 23:00,14.25
PAEL,1993-01-04 03:00,16.65
PAEL,1993-01-04 05:00,17.25
PAEL,1993-01-04 16:00,23.90
PAEL,1993-01-04 17:00,23.00
PAEL,1993-01-04 18:00,23.00
PAEL,1993-01-04 19:00,16.91
PAEL,1993-01-04 22:00,24.98
PAEL,1993-01-04 23:00,M
PAEL,1993-01-05 05:00,19.01
PAEL,1993-01-05 16:00,21.84
PAEL,1993-01-05 18:00,18.11
PAEL,1993-01-05 19:00,19.25
PAEL,1993-01-05 20:00,29.84
PAEL,1993-01-05 21:00,22.78
PAEL,1993-01-05 22:00,18.80
PAEL,1993-01-05 23:00,20.63
PAEL,1993-01-06 03:00,17.65
PAEL,1993-01-06 04:00,17.22
PAEL,1993-01-06 05:00,18.11
PAEL,1993-01-06 16:00,24.23
PAEL,1993-01-06 17:00,29.84
