station,valid,feel
PAFR,1993-01-01 00:00,20.83
PAFR,1993-01-01 01:00,21.05
PAFR,1993-01-01 02:00,25.88
PAFR,1993-01-01 03:00,20.34
PAFR,1993-01-01 04:00,22.93
PAFR,1993-01-01 05:00,21.48
PAFR,1993-01-01 06:00,21.53
PAFR,1993-01-01 07:00,17.96
PAFR,1993-01-01 08:00,19.94
PAFR,1993-01-01 09:00,20.84
PAFR,1993-01-01 11:00,16.88
PAFR,1993-01-01 12:00,13.39
PAFR,1993-01-01 13:00,18.06
PAFR,1993-01-01 14:00,19.22
PAFR,1993-01-01 15:00,15.77
PAFR,1993-01-01 16:00,14.69
PAFR,1993-01-01 17:00,16.22
PAFR,1993-01-01 18:00,16.78
PAFR,1993-01-01 19:00,15.71
PAFR,1993-01-01 20:00,15.77
PAFR,1993-01-01 21:00,20.66
PAFR,1993-01-01 22:00,24.98
PAFR,1993-01-01 23:00,20.66
PAFR,1993-01-02 00:00,20.66
PAFR,1993-01-02 01:00,24.98
PAFR,1993-01-02 02:00,19.22
PAFR,1993-01-02 03:00,20.27
PAFR,1993-01-02 04:00,15.77
PAFR,1993-01-02 05:00,19.22
PAFR,1993-01-02 06:00,17.32
PAFR,1993-01-02 07:00,19.46
PAFR,1993-01-02 08:00,20.27
PAFR,1993-01-02 09:00,25.88
PAFR,1993-01-02 10:00,21.05
PAFR,1993-01-02 11:00,21.48
PAFR,1993-01-02 12:00,16.78
PAFR,1993-01-02 13:00,18.06
PAFR,1993-01-02 14:00,19.43
PAFR,1993-01-02 15:00,15.65
PAFR,1993-01-02 16:00,16.78
PAFR,1993-01-02 17:00,16.57
PAFR,1993-01-02 18:00,18.16
PAFR,1993-01-02 19:00,17.17
PAFR,1993-01-02 20:00,20.84
PAFR,1993-01-02 21:00,10.08
PAFR,1993-01-02 22:00,11.18
PAFR,1993-01-02 23:00,12.09
PAFR,1993-01-03 00:00,12.09
PAFR,1993-01-03 01:00,11.01
PAFR,1993-01-03 02:00,10.08
PAFR,1993-01-03 03:00,8.76
PAFR,1993-01-03 04:00,4.61
PAFR,1993-01-03 05:00,4.94
PAFR,1993-01-03 06:00,-4.11
PAFR,1993-01-03 07:00,-11.97
PAFR,1993-01-03 08:00,-9.30
PAFR,1993-01-03 09:00,-9.17
PAFR,1993-01-03 10:00,-7.94
PAFR,1993-01-03 11:00,-12.31
PAFR,1993-01-03 12:00,-15.59
PAFR,1993-01-03 13:00,-15.88
PAFR,1993-01-03 14:00,-15.96
PAFR,1993-01-03 15:00,-17.20
PAFR,1993-01-03 16:00,-15.88
PAFR,1993-01-03 17:00,-10.20
PAFR,1993-01-03 18:00,-20.43
PAFR,1993-01-03 19:00,-19.46
PAFR,1993-01-03 20:00,-25.20
PAFR,1993-01-03 21:00,-19.99
PAFR,1993-01-03 22:00,M
PAFR,1993-01-03 23:00,-16.68
PAFR,1993-01-04 00:00,-5.37
PAFR,1993-01-04 01:00,-6.95
PAFR,1993-01-04 02:00,-10.67
PAFR,1993-01-04 03:00,-6.63
PAFR,1993-01-04 04:00,1.94
PAFR,1993-01-04 05:00,-12.31
PAFR,1993-01-04 06:00,-4.00
PAFR,1993-01-04 07:00,-9.17
PAFR,1993-01-04 08:00,-8.94
PAFR,1993-01-04 09:00,-6.63
PAFR,1993-01-04 10:00,-7.94
PAFR,1993-01-04 11:00,-6.91
PAFR,1993-01-04 12:00,-8.29
PAFR,1993-01-04 13:00,5.90
PAFR,1993-01-04 14:00,8.96
PAFR,1993-01-04 15:00,0.10
PAFR,1993-01-04 16:00,0.52
PAFR,1993-01-04 17:00,2.83
PAFR,1993-01-04 18:00,11.84
PAFR,1993-01-04 19:00,1.38
PAFR,1993-01-04 20:00,6.88
PAFR,1993-01-04 21:00,3.74
PAFR,1993-01-04 22:00,14.00
PAFR,1993-01-04 23:00,10.37
PAFR,1993-01-05 00:00,10.37
PAFR,1993-01-05 01:00,9.14
PAFR,1993-01-05 02:00,14.90
PAFR,1993-01-05 03:00,11.84
PAFR,1993-01-05 04:00,-1.83
PAFR,1993-01-05 05:00,11.84
PAFR,1993-01-05 06:00,1.57
PAFR,1993-01-05 07:00,2.45
PAFR,1993-01-05 08:00,11.84
PAFR,1993-01-05 09:00,2.83
PAFR,1993-01-05 10:00,9.14
PAFR,1993-01-05 11:00,14.90
PAFR,1993-01-05 12:00,14.90
PAFR,1993-01-05 13:00,19.43
PAFR,1993-01-05 14:00,14.42
PAFR,1993-01-05 15:00,14.91
PAFR,1993-01-05 16:00,25.88
PAFR,1993-01-05 17:00,27.93
PAFR,1993-01-05 18:00,17.96
PAFR,1993-01-05 19:00,13.03
PAFR,1993-01-05 20:00,23.00
PAFR,1993-01-05 21:00,23.90
PAFR,1993-01-05 22:00,20.27
PAFR,1993-01-05 23:00,26.96
PAFR,1993-01-06 00:00,22.93
PAFR,1993-01-06 01:00,19.13
PAFR,1993-01-06 02:00,21.53
PAFR,1993-01-06 03:00,25.11
PAFR,1993-01-06 04:00,22.59
PAFR,1993-01-06 05:00,20.41
PAFR,1993-01-06 06:00,19.01
PAFR,1993-01-06 07:00,23.96
PAFR,1993-01-06 08:00,20.41
PAFR,1993-01-06 09:00,19.73
PAFR,1993-01-06 10:00,15.29
PAFR,1993-01-06 11:00,21.48
PAFR,1993-01-06 12:00,26.22
PAFR,1993-01-06 13:00,15.59
PAFR,1993-01-06 14:00,23.85
PAFR,1993-01-06 15:00,29.98
PAFR,1993-01-06 16:00,29.56
PAFR,1993-01-06 17:00,31.11
PAFR,1993-01-06 18:00,31.55
PAFR,1993-01-06 19:00,32.54
PAFR,1993-01-06 20:00,28.82
PAFR,1993-01-06 21:00,25.09
PAFR,1993-01-06 22:00,26.64
PAFR,1993-01-06 23:00,24.96
PAFR,1993-01-07 00:00,23.25
PAFR,1993-01-07 01:00,24.87
PAFR,1993-01-07 02:00,25.67
PAFR,1993-01-07 03:00,27.09
PAFR,1993-01-07 04:00,26.58
PAFR,1993-01-07 05:00,25.98
PAFR,1993-01-07 06:00,24.10
PAFR,1993-01-07 07:00,25.22
PAFR,1993-01-07 08:00,23.46
PAFR,1993-01-07 09:00,19.13
PAFR,1993-01-07 10:00,21.92
PAFR,1993-01-07 11:00,15.65
PAFR,1993-01-07 12:00,13.14
PAFR,1993-01-07 13:00,8.44
PAFR,1993-01-07 14:00,19.94
PAFR,1993-01-07 15:00,18.86
PAFR,1993-01-07 16:00,9.76
PAFR,1993-01-07 17:00,8.62
PAFR,1993-01-07 18:00,12.64
PAFR,1993-01-07 19:00,11.40
PAFR,1993-01-07 20:00,8.71
PAFR,1993-01-07 21:00,9.76
PAFR,1993-01-07 22:00,11.70
PAFR,1993-01-07 23:00,11.70
PAFR,1993-01-08 00:00,13.39
PAFR,1993-01-08 01:00,14.90
PAFR,1993-01-08 02:00,10.37
PAFR,1993-01-08 03:00,14.90
PAFR,1993-01-08 04:00,11.02
PAFR,1993-01-08 05:00,8.71
PAFR,1993-01-08 06:00,5.64
PAFR,1993-01-08 07:00,2.45
PAFR,1993-01-08 08:00,4.94
PAFR,1993-01-08 09:00,12.92
PAFR,1993-01-08 10:00,1.52
PAFR,1993-01-08 11:00,9.86
PAFR,1993-01-08 12:00,3.88
PAFR,1993-01-08 13:00,3.74
PAFR,1993-01-08 14:00,9.76
PAFR,1993-01-08 15:00,6.35
PAFR,1993-01-08 16:00,11.40
PAFR,1993-01-08 17:00,6.09
PAFR,1993-01-08 18:00,8.62
PAFR,1993-01-08 19:00,19.94
PAFR,1993-01-08 20:00,20.84
PAFR,1993-01-08 21:00,29.82
PAFR,1993-01-08 22:00,22.76
PAFR,1993-01-08 23:00,31.11
PAFR,1993-01-09 00:00,30.42
PAFR,1993-01-09 01:00,19.46
PAFR,1993-01-09 02:00,23.85
PAFR,1993-01-09 03:00,26.16
PAFR,1993-01-09 04:00,33.45
PAFR,1993-01-09 05:00,27.86
PAFR,1993-01-09 06:00,33.77
