station,valid,feel
PAGB,1993-01-06 16:00,M
PAGB,1993-01-06 18:00,M
PAGB,1993-01-06 19:00,M
PAGB,1993-01-06 20:00,M
PAGB,1993-01-06 21:00,M
PAGB,1993-01-13 18:00,M
PAGB,1993-01-13 19:00,M
PAGB,1993-01-13 20:00,M
PAGB,1993-01-13 21:00,M
PAGB,1993-01-13 22:00,M
PAGB,1993-01-20 17:00,M
PAGB,1993-01-20 18:00,M
PAGB,1993-01-20 19:00,M
PAGB,1993-01-20 20:00,M
PAGB,1993-01-27 16:00,M
PAGB,1993-01-27 17:00,M
PAGB,1993-01-27 18:00,M
PAGB,1993-02-03 16:00,M
PAGB,1993-02-03 17:00,M
PAGB,1993-02-03 19:00,M
PAGB,1993-02-03 21:00,M
PAGB,1993-02-10 17:00,M
PAGB,1993-02-10 18:00,M
PAGB,1993-02-10 19:00,M
PAGB,1993-02-10 20:00,M
PAGB,1993-02-17 16:00,M
PAGB,1993-02-17 17:00,M
PAGB,1993-02-17 18:00,M
PAGB,1993-02-17 19:00,M
PAGB,1993-02-17 20:00,M
PAGB,1993-02-17 21:00,M
PAGB,1993-02-24 17:00,M
PAGB,1993-02-24 18:00,M
PAGB,1993-02-24 20:00,M
PAGB,1993-02-24 21:00,M
PAGB,1993-03-03 17:00,M
PAGB,1993-03-03 18:00,M
PAGB,1993-03-03 19:00,M
PAGB,1993-03-03 20:00,M
PAGB,1993-03-04 17:00,M
PAGB,1993-03-04 18:00,M
PAGB,1993-03-10 16:00,M
PAGB,1993-03-10 17:00,M
PAGB,1993-03-10 19:00,M
PAGB,1993-03-10 20:00,M
PAGB,1993-03-17 16:00,M
PAGB,1993-03-17 17:00,M
PAGB,1993-03-17 19:00,M
PAGB,1993-03-17 21:00,M
PAGB,1993-03-18 17:00,M
PAGB,1993-03-22 16:00,M
PAGB,1993-03-24 17:00,M
PAGB,1993-03-24 18:00,M
PAGB,1993-03-24 19:00,M
PAGB,1993-03-31 16:00,M
PAGB,1993-03-31 17:00,M
PAGB,1993-03-31 18:00,M
PAGB,1993-03-31 19:00,M
PAGB,1993-03-31 21:00,20.42
PAGB,1993-04-01 16:00,M
PAGB,1993-04-01 17:00,M
PAGB,1993-04-01 18:00,M
PAGB,1993-04-01 19:00,M
PAGB,1993-04-07 15:00,M
PAGB,1993-04-07 16:00,M
PAGB,1993-04-07 18:00,M
PAGB,1993-04-07 19:00,M
PAGB,1993-04-14 16:00,M
PAGB,1993-04-14 17:00,M
PAGB,1993-04-14 18:00,M
PAGB,1993-04-14 19:00,M
PAGB,1993-04-21 15:00,M
PAGB,1993-04-21 16:00,M
PAGB,1993-04-21 18:00,M
PAGB,1993-04-28 14:00,M
PAGB,1993-04-28 15:00,M
