station,valid,feel
PAHS,1994-01-03 02:00,-10.48
PAHS,1994-01-08 18:00,-23.53
PAHS,1994-01-17 00:00,-13.06
PAHS,1994-01-19 17:00,-3.06
PAHS,1994-01-21 09:00,-14.41
PAHS,1994-01-24 12:00,-1.80
PAHS,1994-01-24 13:00,-5.90
PAHS,1994-01-24 14:00,-5.67
PAHS,1994-01-24 15:00,-5.67
PAHS,1994-01-24 16:00,-9.30
PAHS,1994-01-24 17:00,-13.18
PAHS,1994-01-24 18:00,-16.36
PAHS,1994-01-24 19:00,-6.16
PAHS,1994-01-24 20:00,-14.62
PAHS,1994-01-24 21:00,-11.44
PAHS,1994-01-24 22:00,-5.08
PAHS,1994-01-24 23:00,-2.02
PAHS,1994-01-25 00:00,-3.10
PAHS,1994-01-25 01:00,-2.02
PAHS,1994-01-25 02:00,-1.12
PAHS,1994-01-25 03:00,-0.04
PAHS,1994-01-25 04:00,-7.94
PAHS,1994-01-25 05:00,-6.63
PAHS,1994-01-25 06:00,-3.41
PAHS,1994-01-25 07:00,-3.41
PAHS,1994-01-25 08:00,-3.41
PAHS,1994-01-25 09:00,-5.37
PAHS,1994-01-25 10:00,-2.18
PAHS,1994-01-25 11:00,-2.18
PAHS,1994-01-25 12:00,-4.11
PAHS,1994-01-25 13:00,-4.11
PAHS,1994-01-25 14:00,-5.67
PAHS,1994-01-25 15:00,-5.37
PAHS,1994-01-25 16:00,-2.18
PAHS,1994-01-25 17:00,-2.18
PAHS,1994-01-25 18:00,-3.06
PAHS,1994-01-25 19:00,-1.80
PAHS,1994-01-25 21:00,-0.75
PAHS,1994-01-25 22:00,2.35
PAHS,1994-01-25 23:00,0.52
PAHS,1994-01-26 00:00,2.35
PAHS,1994-01-26 01:00,0.52
PAHS,1994-01-26 02:00,1.12
PAHS,1994-01-26 03:00,-2.25
PAHS,1994-01-26 04:00,-1.80
PAHS,1994-01-26 05:00,-1.80
PAHS,1994-01-26 06:00,-4.60
PAHS,1994-01-26 07:00,-4.60
PAHS,1994-01-26 08:00,-1.15
PAHS,1994-01-26 09:00,-1.15
PAHS,1994-01-26 10:00,-2.18
PAHS,1994-01-26 11:00,5.00
PAHS,1994-01-26 13:00,-7.94
PAHS,1994-01-26 14:00,-0.04
PAHS,1994-01-26 15:00,20.84
PAHS,1994-01-26 16:00,M
PAHS,1994-01-26 17:00,1.94
PAHS,1994-01-26 18:00,-7.68
PAHS,1994-01-26 19:00,-3.41
PAHS,1994-01-26 20:00,-8.94
PAHS,1994-01-26 21:00,-0.04
PAHS,1994-01-26 22:00,-0.04
PAHS,1994-01-26 23:00,-2.02
PAHS,1994-01-27 00:00,-2.02
PAHS,1994-01-27 01:00,-3.10
PAHS,1994-01-27 02:00,-12.47
PAHS,1994-01-27 03:00,-14.62
PAHS,1994-01-27 04:00,-13.70
PAHS,1994-01-27 05:00,-15.96
PAHS,1994-01-27 06:00,-7.06
PAHS,1994-01-27 07:00,-22.34
PAHS,1994-01-27 08:00,-10.12
PAHS,1994-01-27 09:00,-10.12
PAHS,1994-01-27 10:00,-11.02
PAHS,1994-01-27 11:00,-11.02
PAHS,1994-01-27 12:00,-19.46
PAHS,1994-01-27 13:00,-13.70
PAHS,1994-01-27 14:00,-15.88
PAHS,1994-01-27 15:00,-13.70
PAHS,1994-01-27 16:00,-15.88
PAHS,1994-01-27 17:00,-13.70
PAHS,1994-01-27 18:00,-17.64
PAHS,1994-01-27 19:00,-14.62
PAHS,1994-01-27 20:00,-15.88
PAHS,1994-01-27 21:00,-15.88
PAHS,1994-01-27 22:00,-14.62
PAHS,1994-01-27 23:00,-12.47
PAHS,1994-01-28 00:00,-11.44
PAHS,1994-01-28 01:00,-14.36
PAHS,1994-01-28 02:00,-12.94
PAHS,1994-01-28 03:00,-11.66
PAHS,1994-01-28 04:00,-11.66
PAHS,1994-01-28 05:00,-9.99
PAHS,1994-01-28 06:00,-10.20
PAHS,1994-01-28 07:00,-16.36
PAHS,1994-01-28 08:00,-12.47
PAHS,1994-01-28 09:00,-14.01
PAHS,1994-01-28 10:00,-12.94
PAHS,1994-01-28 11:00,0.86
PAHS,1994-01-28 12:00,1.94
PAHS,1994-01-28 13:00,2.84
PAHS,1994-01-28 14:00,2.84
PAHS,1994-01-28 15:00,2.84
PAHS,1994-01-28 16:00,2.84
PAHS,1994-01-28 17:00,3.92
PAHS,1994-01-28 18:00,5.00
PAHS,1994-01-28 19:00,5.90
PAHS,1994-01-28 20:00,8.96
PAHS,1994-01-28 21:00,12.92
PAHS,1994-01-28 22:00,12.08
PAHS,1994-01-28 23:00,14.90
PAHS,1994-01-29 00:00,20.84
PAHS,1994-01-29 01:00,19.94
PAHS,1994-01-29 02:00,18.86
PAHS,1994-01-29 03:00,18.86
PAHS,1994-01-29 04:00,20.84
PAHS,1994-01-29 05:00,15.65
PAHS,1994-01-29 06:00,21.92
PAHS,1994-01-29 07:00,20.84
PAHS,1994-01-29 08:00,19.43
PAHS,1994-01-29 09:00,23.90
PAHS,1994-01-29 10:00,19.43
PAHS,1994-01-29 11:00,15.65
PAHS,1994-01-29 12:00,17.17
PAHS,1994-01-29 13:00,14.39
PAHS,1994-01-29 14:00,13.03
PAHS,1994-01-29 15:00,13.44
PAHS,1994-01-29 16:00,12.32
PAHS,1994-01-29 17:00,13.44
PAHS,1994-01-29 18:00,12.57
PAHS,1994-01-29 19:00,14.21
PAHS,1994-01-29 20:00,14.21
PAHS,1994-01-29 21:00,13.73
PAHS,1994-01-29 22:00,14.16
PAHS,1994-01-29 23:00,13.60
PAHS,1994-01-30 00:00,14.16
PAHS,1994-01-30 01:00,15.47
PAHS,1994-01-30 02:00,18.16
PAHS,1994-01-30 03:00,19.13
PAHS,1994-01-30 04:00,22.93
PAHS,1994-01-30 05:00,26.96
PAHS,1994-01-30 06:00,26.96
PAHS,1994-01-30 07:00,23.85
PAHS,1994-01-30 08:00,22.59
PAHS,1994-01-30 09:00,26.96
PAHS,1994-01-30 10:00,20.66
PAHS,1994-01-30 11:00,21.92
PAHS,1994-01-30 12:00,21.92
PAHS,1994-01-30 13:00,21.92
PAHS,1994-01-30 14:00,21.92
PAHS,1994-01-30 15:00,21.92
PAHS,1994-01-30 16:00,19.13
PAHS,1994-01-30 17:00,19.13
PAHS,1994-01-30 18:00,19.46
PAHS,1994-01-30 19:00,19.46
PAHS,1994-01-30 20:00,19.73
PAHS,1994-01-30 21:00,18.37
PAHS,1994-01-30 22:00,20.26
PAHS,1994-01-30 23:00,20.26
PAHS,1994-01-31 00:00,19.74
PAHS,1994-01-31 01:00,21.10
PAHS,1994-01-31 02:00,19.74
PAHS,1994-01-31 03:00,22.17
PAHS,1994-01-31 04:00,21.10
PAHS,1994-01-31 05:00,21.61
PAHS,1994-01-31 06:00,21.61
PAHS,1994-01-31 07:00,22.47
PAHS,1994-01-31 08:00,22.47
PAHS,1994-01-31 09:00,22.47
PAHS,1994-01-31 10:00,23.51
PAHS,1994-01-31 11:00,22.47
PAHS,1994-01-31 12:00,23.51
PAHS,1994-01-31 13:00,22.17
PAHS,1994-01-31 14:00,19.25
PAHS,1994-01-31 15:00,19.74
PAHS,1994-01-31 16:00,19.25
PAHS,1994-02-02 19:00,20.83
PAHS,1994-02-02 20:00,30.70
PAHS,1994-02-02 21:00,30.70
PAHS,1994-02-02 22:00,30.42
PAHS,1994-02-02 23:00,28.82
PAHS,1994-02-03 00:00,27.08
PAHS,1994-02-03 01:00,27.43
PAHS,1994-02-03 02:00,26.64
PAHS,1994-02-03 03:00,26.64
PAHS,1994-02-03 04:00,25.22
PAHS,1994-02-03 05:00,24.23
PAHS,1994-02-03 06:00,22.76
PAHS,1994-02-03 07:00,26.96
PAHS,1994-02-03 08:00,18.40
PAHS,1994-02-03 09:00,15.71
PAHS,1994-02-03 10:00,9.76
PAHS,1994-02-03 11:00,12.64
PAHS,1994-02-03 12:00,7.45
PAHS,1994-02-03 13:00,9.76
PAHS,1994-02-03 14:00,6.09
PAHS,1994-02-03 15:00,7.37
PAHS,1994-02-03 16:00,7.32
PAHS,1994-02-03 17:00,13.39
PAHS,1994-02-03 18:00,14.14
PAHS,1994-02-03 19:00,14.78
PAHS,1994-02-03 20:00,18.64
PAHS,1994-02-03 21:00,15.90
PAHS,1994-02-03 22:00,15.29
PAHS,1994-02-03 23:00,19.13
PAHS,1994-02-04 00:00,20.27
PAHS,1994-02-04 01:00,20.27
PAHS,1994-02-04 02:00,26.96
PAHS,1994-02-04 03:00,21.69
PAHS,1994-02-04 04:00,19.13
PAHS,1994-02-04 05:00,26.96
PAHS,1994-02-04 06:00,26.96
PAHS,1994-02-04 07:00,20.54
PAHS,1994-02-04 08:00,19.13
PAHS,1994-02-04 09:00,17.08
PAHS,1994-02-04 10:00,16.91
