station,valid,feel
PAHV,1993-01-01 00:00,17.96
PAHV,1993-01-01 03:00,14.14
PAHV,1993-01-01 05:00,4.13
PAHV,1993-01-01 08:00,0.40
PAHV,1993-01-01 15:00,M
PAHV,1993-01-01 19:00,7.71
PAHV,1993-01-01 21:00,11.69
PAHV,1993-01-01 23:00,11.68
PAHV,1993-01-02 01:00,10.51
PAHV,1993-01-02 03:00,15.47
PAHV,1993-01-02 05:00,13.07
PAHV,1993-01-02 07:00,M
PAHV,1993-01-02 13:00,4.13
PAHV,1993-01-02 17:00,-0.91
PAHV,1993-01-02 19:00,-4.80
PAHV,1993-01-02 21:00,2.83
PAHV,1993-01-02 23:00,1.57
PAHV,1993-01-03 01:00,-3.52
PAHV,1993-01-03 03:00,-9.15
PAHV,1993-01-03 05:00,3.92
PAHV,1993-01-03 07:00,-1.12
PAHV,1993-01-03 17:00,-16.26
PAHV,1993-01-03 19:00,-4.00
PAHV,1993-01-03 21:00,-15.11
PAHV,1993-01-03 23:00,-6.18
PAHV,1993-01-04 01:00,-13.06
PAHV,1993-01-04 03:00,-11.66
PAHV,1993-01-04 05:00,-3.96
PAHV,1993-01-04 07:00,2.45
PAHV,1993-01-04 15:00,9.53
PAHV,1993-01-04 16:00,11.83
PAHV,1993-01-04 17:00,9.53
PAHV,1993-01-04 19:00,10.99
PAHV,1993-01-04 21:00,10.38
PAHV,1993-01-04 23:00,8.75
PAHV,1993-01-05 01:00,9.11
PAHV,1993-01-05 03:00,10.51
PAHV,1993-01-05 05:00,11.69
PAHV,1993-01-05 07:00,12.85
PAHV,1993-01-05 14:00,24.52
PAHV,1993-01-05 16:00,25.67
PAHV,1993-01-05 17:00,26.58
PAHV,1993-01-05 19:00,20.63
PAHV,1993-01-05 21:00,20.63
PAHV,1993-01-05 22:00,22.00
PAHV,1993-01-06 01:00,22.97
PAHV,1993-01-06 03:00,20.26
PAHV,1993-01-06 05:00,16.73
PAHV,1993-01-06 07:00,20.78
PAHV,1993-01-06 17:00,21.61
PAHV,1993-01-06 19:00,20.63
