station,valid,feel
PAIK,2008-08-22 19:56,2.84
PAIK,2008-11-20 00:01,-0.94
PAIK,2008-11-20 01:01,-5.08
PAIK,2008-11-20 02:01,-7.06
PAIK,2008-11-20 03:01,-7.96
PAIK,2008-11-20 04:01,-19.13
PAIK,2008-11-20 05:01,-9.94
PAIK,2008-11-20 06:01,-9.94
PAIK,2008-11-20 07:01,-27.44
PAIK,2008-11-20 08:01,-29.97
PAIK,2008-11-20 12:01,-16.96
PAIK,2008-11-20 13:01,-29.55
PAIK,2008-11-20 15:01,-23.98
PAIK,2008-11-20 18:01,-39.73
PAIK,2008-11-20 19:01,-22.00
PAIK,2008-11-20 20:01,-37.95
PAIK,2008-11-20 22:01,-28.70
PAIK,2008-11-20 23:01,-30.78
PAIK,2008-11-21 00:01,-20.92
PAIK,2008-11-21 01:01,-33.04
PAIK,2008-11-21 02:01,-37.74
PAIK,2008-11-21 03:01,-22.00
PAIK,2008-11-21 04:01,-23.98
PAIK,2008-11-21 05:01,-25.96
PAIK,2008-11-21 06:01,-27.04
PAIK,2008-11-21 07:01,-27.04
PAIK,2008-11-21 08:01,-27.04
PAIK,2008-11-21 09:01,-29.02
PAIK,2008-11-21 10:01,M
PAIK,2008-11-21 11:01,-49.72
PAIK,2008-11-21 12:01,-23.98
PAIK,2008-11-21 13:01,-45.58
PAIK,2008-11-21 14:01,-27.94
PAIK,2008-11-21 15:01,-27.04
PAIK,2008-11-21 16:01,-29.02
PAIK,2008-11-21 17:01,-25.96
PAIK,2008-11-21 18:01,-25.96
PAIK,2008-11-21 19:01,-25.96
PAIK,2008-11-21 20:01,-25.96
PAIK,2008-11-21 22:01,-18.94
PAIK,2008-11-21 23:01,-14.98
PAIK,2008-11-22 00:01,-16.06
PAIK,2008-11-22 01:01,-16.96
PAIK,2008-11-22 02:01,-27.44
PAIK,2008-11-22 03:01,-14.08
PAIK,2008-11-22 04:01,-21.52
PAIK,2008-11-22 05:01,-13.00
PAIK,2008-11-22 06:01,-16.96
PAIK,2008-11-22 07:01,-16.06
PAIK,2008-11-22 08:01,-16.96
PAIK,2008-11-22 09:01,-13.00
PAIK,2008-11-22 10:01,-11.92
PAIK,2008-11-22 11:01,-14.98
PAIK,2008-11-22 12:01,-22.59
PAIK,2008-11-22 13:01,-4.00
PAIK,2008-11-22 14:01,-21.56
PAIK,2008-11-22 15:01,-9.04
PAIK,2008-11-22 17:01,-5.08
PAIK,2008-11-22 18:01,-5.98
PAIK,2008-11-22 19:01,-5.08
PAIK,2008-11-22 20:01,-7.96
PAIK,2008-11-22 21:01,-16.36
PAIK,2008-11-22 22:01,-12.31
PAIK,2008-11-22 23:01,-14.62
PAIK,2008-11-23 01:01,-18.19
PAIK,2008-11-23 02:01,-5.08
PAIK,2008-11-23 03:01,-17.83
PAIK,2008-11-23 04:01,-15.96
PAIK,2008-11-23 05:01,-11.23
PAIK,2008-11-23 07:01,-4.00
PAIK,2008-11-23 08:01,-16.36
PAIK,2008-11-23 10:01,-13.36
PAIK,2008-11-23 22:01,-12.31
PAIK,2008-11-23 23:01,-12.31
PAIK,2008-11-24 01:01,-17.83
PAIK,2008-11-24 02:01,-13.70
PAIK,2008-11-24 04:01,-5.08
PAIK,2008-11-24 05:01,-13.70
PAIK,2008-11-24 07:01,-16.99
PAIK,2008-11-24 08:01,-18.23
PAIK,2008-11-24 09:01,-11.92
PAIK,2008-11-24 10:01,-11.92
PAIK,2008-11-24 11:01,-13.00
PAIK,2008-11-24 13:01,-9.94
PAIK,2008-11-24 14:01,-19.24
PAIK,2008-11-24 15:01,-7.06
PAIK,2008-11-24 16:01,-5.08
PAIK,2008-11-24 17:01,-4.00
PAIK,2008-11-24 19:01,-0.94
PAIK,2008-11-24 20:01,-0.94
PAIK,2008-11-24 21:01,-2.92
PAIK,2008-11-24 22:01,-0.94
PAIK,2008-11-25 02:01,-2.02
PAIK,2008-11-25 04:01,3.02
PAIK,2008-11-25 05:01,-4.39
PAIK,2008-11-25 06:01,-4.60
PAIK,2008-11-25 07:01,-4.40
PAIK,2008-11-25 08:01,-2.22
PAIK,2008-11-25 11:01,2.83
PAIK,2008-11-25 17:01,7.37
PAIK,2008-11-25 19:01,-7.05
PAIK,2008-11-25 20:01,-4.60
PAIK,2008-11-25 21:01,-4.60
PAIK,2008-11-25 22:01,-3.32
PAIK,2008-11-25 23:01,-2.18
PAIK,2008-11-26 01:01,3.02
PAIK,2008-11-26 02:01,-6.95
PAIK,2008-11-26 03:01,-6.70
PAIK,2008-11-26 04:01,-7.68
PAIK,2008-11-26 05:01,-8.73
PAIK,2008-11-26 06:01,-10.20
PAIK,2008-11-26 07:01,-12.31
PAIK,2008-11-26 08:01,-15.08
PAIK,2008-11-26 09:01,-17.79
PAIK,2008-11-26 10:01,-14.01
PAIK,2008-11-26 11:01,-18.02
PAIK,2008-11-26 13:01,-14.28
PAIK,2008-11-26 14:01,-11.76
PAIK,2008-11-26 15:01,-14.02
PAIK,2008-11-26 16:01,-12.92
PAIK,2008-11-26 17:01,-10.67
PAIK,2008-11-26 19:01,-13.06
PAIK,2008-11-26 20:01,-14.02
PAIK,2008-11-26 21:01,-13.86
PAIK,2008-11-26 22:01,-11.59
PAIK,2008-11-27 00:01,-14.02
PAIK,2008-11-27 01:01,-13.86
PAIK,2008-11-27 05:01,-12.96
PAIK,2008-11-27 06:01,-10.67
PAIK,2008-11-27 07:01,-12.92
PAIK,2008-11-27 10:01,-12.24
PAIK,2008-11-27 11:01,-14.41
PAIK,2008-11-27 16:01,-8.13
PAIK,2008-11-27 17:01,-8.13
PAIK,2008-12-01 19:01,-26.39
PAIK,2008-12-01 20:01,-23.87
PAIK,2008-12-01 21:01,-21.52
PAIK,2008-12-01 22:01,-20.49
PAIK,2008-12-01 23:01,-28.88
PAIK,2008-12-02 01:01,-29.40
PAIK,2008-12-02 02:01,-31.05
PAIK,2008-12-02 03:01,-30.07
PAIK,2008-12-02 04:01,-31.32
PAIK,2008-12-02 05:01,-25.13
PAIK,2008-12-02 07:01,-28.76
PAIK,2008-12-02 08:01,-25.76
PAIK,2008-12-02 09:01,-25.76
PAIK,2008-12-02 10:01,-26.28
PAIK,2008-12-02 14:01,-21.06
PAIK,2008-12-02 15:01,-26.17
PAIK,2008-12-02 16:01,-19.99
PAIK,2008-12-02 17:01,-19.99
PAIK,2008-12-02 19:01,-20.42
PAIK,2008-12-02 20:01,-21.56
PAIK,2008-12-02 21:01,-13.70
PAIK,2008-12-04 01:01,-39.97
PAIK,2008-12-04 02:01,-37.53
PAIK,2008-12-04 03:01,-32.35
PAIK,2008-12-04 04:01,-33.80
PAIK,2008-12-04 05:01,-14.98
PAIK,2008-12-04 06:01,-27.44
PAIK,2008-12-04 07:01,-26.39
PAIK,2008-12-04 08:01,-21.51
PAIK,2008-12-04 09:01,-19.13
PAIK,2008-12-04 10:01,-16.69
PAIK,2008-12-04 11:01,-15.44
PAIK,2008-12-04 12:01,-15.44
PAIK,2008-12-04 13:01,-14.28
PAIK,2008-12-04 14:01,-0.04
PAIK,2008-12-04 15:01,1.04
PAIK,2008-12-04 18:01,-6.99
PAIK,2008-12-04 19:01,-5.69
PAIK,2008-12-04 20:01,-6.82
PAIK,2008-12-04 21:01,-4.60
PAIK,2008-12-04 22:01,-0.97
PAIK,2008-12-04 23:01,-3.30
PAIK,2008-12-05 01:01,-0.97
PAIK,2008-12-05 02:01,-2.22
PAIK,2008-12-05 10:01,-0.92
PAIK,2008-12-05 11:01,-0.92
PAIK,2008-12-05 13:01,-2.22
PAIK,2008-12-05 20:01,-10.89
PAIK,2008-12-05 21:01,-11.65
PAIK,2008-12-05 22:01,-10.89
PAIK,2008-12-05 23:01,-10.06
PAIK,2008-12-06 00:01,-13.02
PAIK,2008-12-06 01:01,-12.24
PAIK,2008-12-06 02:01,-13.74
PAIK,2008-12-06 03:01,-12.24
PAIK,2008-12-06 04:01,-12.52
PAIK,2008-12-06 05:01,-11.59
PAIK,2008-12-06 06:01,-14.16
PAIK,2008-12-06 07:01,-12.52
PAIK,2008-12-06 14:01,-14.02
PAIK,2008-12-06 15:01,-10.37
PAIK,2008-12-06 16:01,-13.06
PAIK,2008-12-06 17:01,-2.92
PAIK,2008-12-06 18:01,-17.79
PAIK,2008-12-06 19:01,-0.94
PAIK,2008-12-06 20:01,-12.72
PAIK,2008-12-06 21:01,-14.62
PAIK,2008-12-06 22:01,-2.92
PAIK,2008-12-06 23:01,-4.00
PAIK,2008-12-07 03:01,-12.47
PAIK,2008-12-07 04:01,-4.00
PAIK,2008-12-07 05:01,-2.02
PAIK,2008-12-07 06:01,-7.96
PAIK,2008-12-07 07:01,-7.06
PAIK,2008-12-07 08:01,-5.98
PAIK,2008-12-07 09:01,-14.73
PAIK,2008-12-07 10:01,-13.70
PAIK,2008-12-07 11:01,-19.99
PAIK,2008-12-07 17:01,-33.80
PAIK,2008-12-07 18:01,-16.06
PAIK,2008-12-07 19:01,-28.70
PAIK,2008-12-07 20:01,-31.05
PAIK,2008-12-07 21:01,-33.80
PAIK,2008-12-07 22:01,-16.96
PAIK,2008-12-07 23:01,-31.32
PAIK,2008-12-08 00:01,-20.50
PAIK,2008-12-08 01:01,-21.52
PAIK,2008-12-08 02:01,-11.02
PAIK,2008-12-08 03:01,-22.82
PAIK,2008-12-08 04:01,-21.52
PAIK,2008-12-08 05:01,-16.93
PAIK,2008-12-08 06:01,-20.21
PAIK,2008-12-08 07:01,-19.10
PAIK,2008-12-08 08:01,-17.64
PAIK,2008-12-08 09:01,-19.13
PAIK,2008-12-08 10:01,-17.64
PAIK,2008-12-08 11:01,-14.01
PAIK,2008-12-08 12:01,-17.21
PAIK,2008-12-08 13:01,-2.02
PAIK,2008-12-08 14:01,-0.94
PAIK,2008-12-08 15:01,-12.52
PAIK,2008-12-08 16:01,-9.84
PAIK,2008-12-08 17:01,-12.25
PAIK,2008-12-08 19:01,-10.79
PAIK,2008-12-08 20:01,-9.54
PAIK,2008-12-08 21:01,-8.72
PAIK,2008-12-08 22:01,-5.13
PAIK,2008-12-08 23:01,-4.39
PAIK,2008-12-09 00:01,-9.10
PAIK,2008-12-09 01:01,-9.15
PAIK,2008-12-09 02:01,0.09
PAIK,2008-12-09 03:01,-11.40
PAIK,2008-12-09 04:01,-18.34
PAIK,2008-12-09 05:01,-17.44
PAIK,2008-12-09 06:01,-13.37
PAIK,2008-12-09 07:01,-0.04
PAIK,2008-12-09 08:01,-4.15
PAIK,2008-12-09 09:01,-11.66
PAIK,2008-12-09 10:01,-13.06
PAIK,2008-12-09 11:01,-14.14
PAIK,2008-12-09 12:01,-8.73
PAIK,2008-12-09 13:01,1.04
PAIK,2008-12-09 14:01,-9.15
PAIK,2008-12-09 15:01,-9.54
PAIK,2008-12-09 16:01,-17.44
PAIK,2008-12-09 17:01,-5.68
PAIK,2008-12-09 18:01,1.04
PAIK,2008-12-09 19:01,-8.29
PAIK,2008-12-09 20:01,-14.14
PAIK,2008-12-09 21:01,-5.08
PAIK,2008-12-09 22:01,-11.86
PAIK,2008-12-09 23:01,-0.94
PAIK,2008-12-10 00:01,-15.88
PAIK,2008-12-10 01:01,-17.83
PAIK,2008-12-10 02:01,-11.76
PAIK,2008-12-10 03:01,-4.11
PAIK,2008-12-10 04:01,-6.82
PAIK,2008-12-10 05:01,-9.54
PAIK,2008-12-10 06:01,-8.47
PAIK,2008-12-10 07:01,-7.79
PAIK,2008-12-10 08:01,-8.54
PAIK,2008-12-10 11:01,-4.57
PAIK,2008-12-10 14:01,-2.94
PAIK,2008-12-10 16:01,-7.95
PAIK,2008-12-10 19:01,-5.38
PAIK,2008-12-10 20:01,-8.41
PAIK,2008-12-10 21:01,-10.49
PAIK,2008-12-10 23:01,-7.60
PAIK,2008-12-11 01:01,-8.72
PAIK,2008-12-11 02:01,-9.54
PAIK,2008-12-11 03:01,-10.29
PAIK,2008-12-11 05:01,-6.71
PAIK,2008-12-11 10:01,-8.13
PAIK,2008-12-11 11:01,-10.48
PAIK,2008-12-11 12:01,-9.45
PAIK,2008-12-11 13:01,-11.86
PAIK,2008-12-11 14:01,-10.55
PAIK,2008-12-11 15:01,-5.67
PAIK,2008-12-11 16:01,-13.02
PAIK,2008-12-11 17:01,-2.18
PAIK,2008-12-11 20:01,6.98
PAIK,2008-12-11 21:01,0.09
PAIK,2008-12-11 22:01,-3.30
PAIK,2008-12-11 23:01,-0.54
PAIK,2008-12-12 01:01,-4.40
PAIK,2008-12-12 02:01,-4.40
PAIK,2008-12-12 03:01,-3.30
PAIK,2008-12-12 05:01,-0.54
PAIK,2008-12-12 07:01,8.06
PAIK,2008-12-12 08:01,8.06
PAIK,2008-12-12 09:01,-4.39
PAIK,2008-12-12 10:01,-8.72
PAIK,2008-12-12 11:01,-7.82
PAIK,2008-12-12 13:01,-10.48
PAIK,2008-12-12 14:01,-11.59
PAIK,2008-12-12 15:01,-14.16
PAIK,2008-12-12 16:01,-15.03
PAIK,2008-12-12 17:01,-15.03
PAIK,2008-12-12 19:01,-15.79
PAIK,2008-12-13 00:01,-11.66
PAIK,2008-12-13 01:01,-10.26
PAIK,2008-12-13 04:01,-5.13
PAIK,2008-12-13 23:01,-1.65
PAIK,2008-12-14 00:01,-0.21
PAIK,2008-12-14 01:01,-3.04
PAIK,2008-12-14 02:01,-2.56
PAIK,2008-12-14 03:01,0.47
PAIK,2008-12-14 04:01,2.88
PAIK,2008-12-14 05:01,3.27
PAIK,2008-12-14 06:01,3.27
PAIK,2008-12-14 07:01,2.47
PAIK,2008-12-14 08:01,1.75
PAIK,2008-12-14 10:01,2.47
PAIK,2008-12-14 11:01,2.47
PAIK,2008-12-14 13:01,-4.59
PAIK,2008-12-14 14:01,-0.96
PAIK,2008-12-14 15:01,-0.96
PAIK,2008-12-14 16:01,-0.96
PAIK,2008-12-14 17:01,2.84
PAIK,2008-12-14 18:01,0.47
PAIK,2008-12-14 19:01,1.08
PAIK,2008-12-14 20:01,1.75
PAIK,2008-12-14 21:01,-2.09
PAIK,2008-12-14 22:01,-1.34
PAIK,2008-12-14 23:01,-1.64
PAIK,2008-12-15 00:01,0.01
PAIK,2008-12-15 01:01,4.23
PAIK,2008-12-15 02:01,0.95
PAIK,2008-12-15 03:01,2.99
PAIK,2008-12-15 04:01,3.58
PAIK,2008-12-15 05:01,2.58
PAIK,2008-12-15 07:01,3.10
PAIK,2008-12-15 08:01,2.69
PAIK,2008-12-15 13:01,11.00
PAIK,2008-12-15 14:01,14.60
PAIK,2008-12-15 16:01,13.04
PAIK,2008-12-15 17:01,11.92
PAIK,2008-12-15 18:01,12.57
PAIK,2008-12-15 19:01,12.46
PAIK,2008-12-15 22:01,4.28
PAIK,2008-12-15 23:01,3.58
PAIK,2008-12-16 01:01,-3.43
PAIK,2008-12-16 03:01,-2.22
PAIK,2008-12-16 04:01,-5.92
PAIK,2008-12-16 05:01,-5.69
PAIK,2008-12-16 06:01,-5.37
PAIK,2008-12-16 07:01,-6.70
PAIK,2008-12-16 08:01,-10.37
PAIK,2008-12-16 09:01,-7.68
PAIK,2008-12-16 10:01,-5.68
PAIK,2008-12-16 11:01,-0.04
PAIK,2008-12-16 12:01,-12.72
PAIK,2008-12-16 13:01,-13.06
PAIK,2008-12-16 14:01,-13.36
PAIK,2008-12-16 15:01,-14.62
PAIK,2008-12-16 16:01,-28.88
PAIK,2008-12-16 19:01,-14.28
PAIK,2008-12-16 22:01,-11.59
PAIK,2008-12-16 23:01,-10.48
PAIK,2008-12-17 00:01,-9.30
PAIK,2008-12-17 01:01,-10.37
PAIK,2008-12-17 02:01,-4.44
PAIK,2008-12-17 03:01,-2.18
PAIK,2008-12-17 04:01,-3.41
PAIK,2008-12-17 05:01,-2.18
PAIK,2008-12-17 06:01,-2.18
PAIK,2008-12-17 07:01,-4.39
PAIK,2008-12-17 08:01,-3.44
PAIK,2008-12-17 09:01,-4.57
PAIK,2008-12-17 10:01,0.42
PAIK,2008-12-17 11:01,-0.97
PAIK,2008-12-17 12:01,-3.43
PAIK,2008-12-17 13:01,-2.04
PAIK,2008-12-17 14:01,2.43
PAIK,2008-12-17 15:01,0.61
PAIK,2008-12-17 16:01,2.84
PAIK,2008-12-17 17:01,8.11
PAIK,2008-12-17 18:01,2.88
PAIK,2008-12-17 19:01,5.71
PAIK,2008-12-17 20:01,7.84
PAIK,2008-12-17 21:01,9.20
PAIK,2008-12-17 22:01,7.01
PAIK,2008-12-18 00:01,6.55
PAIK,2008-12-18 01:01,6.55
PAIK,2008-12-18 02:01,5.15
PAIK,2008-12-18 04:01,13.36
PAIK,2008-12-18 05:01,8.03
PAIK,2008-12-18 06:01,7.50
PAIK,2008-12-18 07:01,9.20
PAIK,2008-12-18 08:01,12.31
PAIK,2008-12-18 10:01,8.03
PAIK,2008-12-18 14:01,11.09
PAIK,2008-12-18 17:01,10.04
PAIK,2008-12-18 19:01,13.04
PAIK,2008-12-18 20:01,10.04
PAIK,2008-12-18 21:01,13.81
PAIK,2008-12-18 22:01,12.32
PAIK,2008-12-19 00:01,13.04
PAIK,2008-12-19 01:01,13.04
PAIK,2008-12-19 02:01,11.92
PAIK,2008-12-19 03:01,13.04
PAIK,2008-12-19 05:01,12.46
PAIK,2008-12-19 06:01,14.36
PAIK,2008-12-19 07:01,18.06
PAIK,2008-12-19 08:01,14.36
PAIK,2008-12-19 11:01,13.67
PAIK,2008-12-19 12:01,17.08
PAIK,2008-12-19 13:01,14.78
PAIK,2008-12-19 14:01,15.13
PAIK,2008-12-19 16:01,17.08
PAIK,2008-12-19 17:01,15.99
PAIK,2008-12-19 19:01,19.63
PAIK,2008-12-19 20:01,18.17
PAIK,2008-12-19 21:01,18.17
PAIK,2008-12-19 22:01,24.08
PAIK,2008-12-19 23:01,24.08
PAIK,2008-12-20 01:01,21.02
PAIK,2008-12-20 02:01,21.92
PAIK,2008-12-20 03:01,21.02
PAIK,2008-12-20 04:01,21.92
PAIK,2008-12-20 06:01,12.29
PAIK,2008-12-20 07:01,9.35
