station,valid,feel
PAKF,1993-01-01 01:00,-3.51
PAKF,1993-01-01 03:00,-5.41
PAKF,1993-01-01 04:00,-4.80
PAKF,1993-01-01 05:00,-0.96
PAKF,1993-01-01 06:00,-0.21
PAKF,1993-01-01 07:00,3.85
PAKF,1993-01-01 08:00,2.25
PAKF,1993-01-01 09:00,1.04
PAKF,1993-01-01 10:00,3.29
PAKF,1993-01-01 11:00,3.06
PAKF,1993-01-01 13:00,4.13
PAKF,1993-01-01 14:00,3.58
PAKF,1993-01-01 15:00,5.36
PAKF,1993-01-01 16:00,3.59
PAKF,1993-01-01 17:00,14.00
PAKF,1993-01-01 18:00,14.90
PAKF,1993-01-01 19:00,5.49
PAKF,1993-01-01 20:00,7.45
PAKF,1993-01-01 21:00,0.40
PAKF,1993-01-01 22:00,-4.80
PAKF,1993-01-01 23:00,-8.70
PAKF,1993-01-02 00:00,-8.94
PAKF,1993-01-02 01:00,-13.60
PAKF,1993-01-02 02:00,-15.35
PAKF,1993-01-02 03:00,-16.68
PAKF,1993-01-02 04:00,-16.69
PAKF,1993-01-02 05:00,-15.44
PAKF,1993-01-02 06:00,-17.67
PAKF,1993-01-02 08:00,-15.59
PAKF,1993-01-02 09:00,-18.02
PAKF,1993-01-02 10:00,-13.18
PAKF,1993-01-02 11:00,-12.92
PAKF,1993-01-02 12:00,-8.24
PAKF,1993-01-02 13:00,-9.15
PAKF,1993-01-02 14:00,-9.33
PAKF,1993-01-02 15:00,-7.95
PAKF,1993-01-02 16:00,-8.54
PAKF,1993-01-02 17:00,-9.61
PAKF,1993-01-02 18:00,-11.52
PAKF,1993-01-02 19:00,-12.19
PAKF,1993-01-02 20:00,-15.03
PAKF,1993-01-02 21:00,-18.13
PAKF,1993-01-02 22:00,-25.32
PAKF,1993-01-02 23:00,-31.03
PAKF,1993-01-03 00:00,-33.64
PAKF,1993-01-03 01:00,-34.83
PAKF,1993-01-03 02:00,-33.69
PAKF,1993-01-03 03:00,-35.10
PAKF,1993-01-03 04:00,-34.29
PAKF,1993-01-03 05:00,-33.55
PAKF,1993-01-03 06:00,-30.76
PAKF,1993-01-03 07:00,-25.94
PAKF,1993-01-03 08:00,-23.32
PAKF,1993-01-03 09:00,-22.75
PAKF,1993-01-03 10:00,-20.31
PAKF,1993-01-03 11:00,-23.88
PAKF,1993-01-03 13:00,-22.75
PAKF,1993-01-03 15:00,-23.85
PAKF,1993-01-03 16:00,-25.89
