station,valid,feel
PAKU,1993-01-01 00:00,-2.97
PAKU,1993-01-01 01:00,-3.18
PAKU,1993-01-01 02:00,-1.87
PAKU,1993-01-01 03:00,-3.96
PAKU,1993-01-01 07:00,2.88
PAKU,1993-01-01 08:00,3.05
PAKU,1993-01-01 15:00,2.76
PAKU,1993-01-01 16:00,4.72
PAKU,1993-01-01 17:00,3.59
PAKU,1993-01-01 18:00,2.88
PAKU,1993-01-01 19:00,1.67
PAKU,1993-01-01 20:00,0.27
PAKU,1993-01-01 23:00,-4.80
PAKU,1993-01-02 00:00,-6.48
PAKU,1993-01-02 01:00,-7.03
PAKU,1993-01-02 03:00,-13.18
PAKU,1993-01-02 15:00,-3.30
PAKU,1993-01-02 16:00,-7.32
PAKU,1993-01-02 18:00,-10.49
PAKU,1993-01-02 19:00,-14.12
PAKU,1993-01-02 20:00,-15.62
PAKU,1993-01-02 23:00,-28.69
PAKU,1993-01-03 00:00,-29.86
PAKU,1993-01-03 01:00,-31.26
PAKU,1993-01-03 03:00,-33.09
PAKU,1993-01-03 15:00,-18.33
PAKU,1993-01-03 16:00,-20.86
PAKU,1993-01-04 02:00,-13.02
PAKU,1993-01-04 03:00,-10.06
PAKU,1993-01-04 15:00,-1.15
PAKU,1993-01-04 16:00,0.09
PAKU,1993-01-04 17:00,7.88
PAKU,1993-01-04 19:00,-2.25
PAKU,1993-01-04 20:00,4.61
PAKU,1993-01-04 21:00,9.86
PAKU,1993-01-04 22:00,7.88
PAKU,1993-01-05 01:00,5.00
PAKU,1993-01-05 03:00,-6.99
PAKU,1993-01-05 15:00,-16.37
PAKU,1993-01-05 16:00,-16.37
PAKU,1993-01-05 17:00,-15.53
PAKU,1993-01-05 18:00,-13.65
PAKU,1993-01-05 19:00,-13.19
PAKU,1993-01-05 20:00,-11.52
PAKU,1993-01-05 21:00,-12.70
PAKU,1993-01-05 22:00,-9.93
PAKU,1993-01-06 00:00,-7.32
PAKU,1993-01-06 01:00,-3.30
PAKU,1993-01-06 03:00,10.79
PAKU,1993-01-06 16:00,1.12
PAKU,1993-01-06 17:00,1.12
PAKU,1993-01-06 18:00,2.35
PAKU,1993-01-06 20:00,5.64
PAKU,1993-01-06 21:00,6.24
PAKU,1993-01-06 23:00,8.44
PAKU,1993-01-07 00:00,10.79
PAKU,1993-01-07 01:00,14.90
PAKU,1993-01-07 02:00,13.07
PAKU,1993-01-07 03:00,13.73
PAKU,1993-01-07 15:00,5.86
PAKU,1993-01-07 16:00,4.38
PAKU,1993-01-07 18:00,3.05
PAKU,1993-01-07 19:00,4.94
PAKU,1993-01-07 20:00,6.40
PAKU,1993-01-07 21:00,3.85
PAKU,1993-01-08 00:00,2.84
PAKU,1993-01-08 01:00,12.49
PAKU,1993-01-08 02:00,10.08
PAKU,1993-01-08 03:00,13.39
PAKU,1993-01-08 15:00,19.46
PAKU,1993-01-08 16:00,18.16
PAKU,1993-01-08 18:00,17.78
PAKU,1993-01-08 19:00,14.91
PAKU,1993-01-08 20:00,16.78
PAKU,1993-01-08 21:00,17.08
PAKU,1993-01-08 22:00,12.23
PAKU,1993-01-08 23:00,11.69
PAKU,1993-01-09 01:00,10.04
PAKU,1993-01-09 02:00,11.69
PAKU,1993-01-09 15:00,6.31
PAKU,1993-01-09 16:00,2.45
PAKU,1993-01-10 03:00,-15.62
PAKU,1993-01-10 15:00,-11.44
PAKU,1993-01-10 16:00,-11.44
PAKU,1993-01-10 20:00,-4.60
PAKU,1993-01-10 21:00,-5.90
PAKU,1993-01-11 01:00,-4.27
PAKU,1993-01-11 02:00,-3.44
PAKU,1993-01-11 03:00,-3.16
PAKU,1993-01-11 15:00,6.11
PAKU,1993-01-11 17:00,7.54
PAKU,1993-01-11 18:00,9.46
PAKU,1993-01-11 19:00,8.73
PAKU,1993-01-11 20:00,6.22
PAKU,1993-01-11 21:00,6.85
PAKU,1993-01-11 22:00,6.85
PAKU,1993-01-11 23:00,8.73
PAKU,1993-01-12 00:00,10.15
PAKU,1993-01-12 01:00,9.46
PAKU,1993-01-12 02:00,11.27
PAKU,1993-01-12 03:00,11.01
PAKU,1993-01-12 15:00,-11.22
PAKU,1993-01-12 16:00,-12.74
PAKU,1993-01-12 19:00,-15.44
PAKU,1993-01-12 20:00,-9.59
PAKU,1993-01-12 21:00,-6.48
PAKU,1993-01-12 22:00,0.27
PAKU,1993-01-13 00:00,6.78
PAKU,1993-01-13 01:00,5.08
PAKU,1993-01-13 02:00,8.05
PAKU,1993-01-13 03:00,11.34
PAKU,1993-01-13 06:00,13.07
PAKU,1993-01-13 16:00,8.04
PAKU,1993-01-13 19:00,10.69
PAKU,1993-01-13 20:00,10.69
PAKU,1993-01-13 21:00,10.88
PAKU,1993-01-14 00:00,-8.94
PAKU,1993-01-14 01:00,-12.24
PAKU,1993-01-14 02:00,-8.24
PAKU,1993-01-14 03:00,2.84
PAKU,1993-01-14 15:00,-18.78
PAKU,1993-01-14 16:00,-20.15
PAKU,1993-01-14 18:00,-23.32
PAKU,1993-01-14 19:00,-30.60
PAKU,1993-01-14 20:00,-33.24
PAKU,1993-01-14 21:00,-33.09
PAKU,1993-01-14 22:00,-34.68
PAKU,1993-01-15 00:00,-32.40
PAKU,1993-01-15 01:00,-35.10
PAKU,1993-01-15 02:00,-36.28
PAKU,1993-01-15 03:00,-33.10
PAKU,1993-01-15 15:00,-52.08
PAKU,1993-01-15 17:00,-50.78
PAKU,1993-01-15 18:00,-50.78
PAKU,1993-01-15 19:00,-49.36
PAKU,1993-01-15 20:00,-51.97
PAKU,1993-01-16 00:00,-48.79
PAKU,1993-01-16 02:00,-46.66
PAKU,1993-01-16 15:00,-39.02
PAKU,1993-01-16 16:00,-37.74
PAKU,1993-01-16 17:00,-40.30
PAKU,1993-01-16 18:00,-39.51
PAKU,1993-01-16 19:00,-40.30
PAKU,1993-01-17 00:00,-38.86
PAKU,1993-01-17 01:00,-35.12
PAKU,1993-01-17 03:00,-40.77
PAKU,1993-01-17 15:00,-47.61
PAKU,1993-01-17 16:00,-47.14
PAKU,1993-01-18 01:00,-49.71
PAKU,1993-01-18 02:00,-49.71
PAKU,1993-01-18 03:00,-56.15
PAKU,1993-01-18 15:00,M
PAKU,1993-01-18 16:00,M
PAKU,1993-01-18 17:00,M
PAKU,1993-01-18 18:00,M
PAKU,1993-01-18 19:00,M
PAKU,1993-01-19 00:00,M
PAKU,1993-01-19 01:00,M
PAKU,1993-01-19 02:00,M
PAKU,1993-01-19 03:00,M
PAKU,1993-01-19 15:00,M
PAKU,1993-01-19 16:00,M
PAKU,1993-01-19 17:00,M
PAKU,1993-01-19 18:00,M
PAKU,1993-01-19 19:00,M
PAKU,1993-01-19 20:00,M
PAKU,1993-01-19 23:00,M
PAKU,1993-01-20 00:00,M
PAKU,1993-01-20 01:00,M
PAKU,1993-01-20 02:00,M
PAKU,1993-01-20 03:00,M
PAKU,1993-01-20 15:00,M
PAKU,1993-01-20 16:00,M
PAKU,1993-01-20 18:00,M
PAKU,1993-01-20 19:00,M
PAKU,1993-01-20 20:00,M
PAKU,1993-01-20 21:00,M
PAKU,1993-01-20 22:00,M
PAKU,1993-01-20 23:00,M
PAKU,1993-01-21 00:00,M
PAKU,1993-01-21 01:00,M
PAKU,1993-01-21 02:00,M
PAKU,1993-01-21 03:00,M
PAKU,1993-01-21 04:00,M
PAKU,1993-01-21 16:00,-59.39
PAKU,1993-01-21 17:00,-57.42
PAKU,1993-01-21 18:00,-56.10
PAKU,1993-01-21 19:00,-54.23
PAKU,1993-01-21 20:00,-54.23
PAKU,1993-01-21 21:00,-49.26
PAKU,1993-01-21 22:00,-52.11
PAKU,1993-01-21 23:00,-54.76
PAKU,1993-01-22 00:00,-52.11
PAKU,1993-01-22 01:00,-50.69
PAKU,1993-01-22 02:00,-50.69
PAKU,1993-01-22 03:00,-50.70
PAKU,1993-01-22 05:00,-49.26
PAKU,1993-01-22 06:00,-47.36
PAKU,1993-01-22 07:00,-47.52
PAKU,1993-01-22 15:00,-36.08
PAKU,1993-01-22 16:00,-36.84
PAKU,1993-01-22 17:00,-39.63
PAKU,1993-01-22 18:00,-38.85
PAKU,1993-01-22 19:00,-39.01
PAKU,1993-01-22 20:00,-38.26
PAKU,1993-01-23 00:00,-40.84
PAKU,1993-01-23 01:00,-40.09
PAKU,1993-01-23 02:00,-42.90
PAKU,1993-01-23 03:00,-42.90
PAKU,1993-01-23 15:00,-45.77
PAKU,1993-01-23 16:00,-46.46
PAKU,1993-01-23 19:00,-44.64
PAKU,1993-01-23 23:00,-44.21
PAKU,1993-01-24 00:00,-40.77
PAKU,1993-01-24 01:00,-41.39
PAKU,1993-01-24 03:00,-40.77
PAKU,1993-01-24 15:00,-42.11
PAKU,1993-01-24 16:00,-44.49
PAKU,1993-01-25 01:00,-44.57
PAKU,1993-01-25 02:00,-33.16
PAKU,1993-01-25 03:00,-32.08
PAKU,1993-01-25 15:00,M
PAKU,1993-01-25 16:00,M
PAKU,1993-01-25 17:00,M
PAKU,1993-01-25 18:00,-33.16
PAKU,1993-01-25 19:00,-33.16
PAKU,1993-01-25 20:00,-33.16
PAKU,1993-01-25 21:00,-48.06
PAKU,1993-01-25 23:00,M
