station,valid,feel
PALJ,1993-01-01 00:00,22.59
PALJ,1993-01-01 03:00,27.86
PALJ,1993-01-01 16:00,18.80
PALJ,1993-01-01 17:00,17.98
PALJ,1993-01-01 18:00,18.80
PALJ,1993-01-01 19:00,18.80
PALJ,1993-01-01 20:00,22.15
PALJ,1993-01-01 23:00,20.49
PALJ,1993-01-02 05:00,23.51
PALJ,1993-01-02 17:00,4.13
PALJ,1993-01-02 18:00,6.09
PALJ,1993-01-02 20:00,1.94
PALJ,1993-01-02 21:00,6.09
PALJ,1993-01-02 23:00,3.74
PALJ,1993-01-03 03:00,-1.13
PALJ,1993-01-03 05:00,5.02
PALJ,1993-01-03 17:00,-7.68
PALJ,1993-01-03 18:00,-13.06
PALJ,1993-01-03 19:00,-5.67
PALJ,1993-01-03 20:00,6.98
PALJ,1993-01-03 21:00,-2.25
PALJ,1993-01-03 23:00,13.81
PALJ,1993-01-04 00:00,8.62
PALJ,1993-01-04 01:00,8.44
PALJ,1993-01-04 03:00,6.40
PALJ,1993-01-04 04:00,10.94
PALJ,1993-01-04 16:00,22.00
PALJ,1993-01-04 17:00,25.91
PALJ,1993-01-04 18:00,26.15
PALJ,1993-01-04 19:00,25.86
PALJ,1993-01-04 21:00,33.10
PALJ,1993-01-05 00:00,35.82
PALJ,1993-01-05 01:00,30.20
PALJ,1993-01-05 03:00,31.05
PALJ,1993-01-05 16:00,27.08
PALJ,1993-01-05 17:00,27.04
PALJ,1993-01-05 19:00,24.13
PALJ,1993-01-05 21:00,25.67
PALJ,1993-01-05 23:00,23.68
PALJ,1993-01-06 00:00,26.27
PALJ,1993-01-06 01:00,32.04
PALJ,1993-01-06 03:00,27.43
PALJ,1993-01-06 16:00,24.17
PALJ,1993-01-06 18:00,28.44
PALJ,1993-01-06 20:00,22.95
PALJ,1993-01-06 21:00,18.33
PALJ,1993-01-06 23:00,25.91
PALJ,1993-01-07 00:00,27.04
PALJ,1993-01-07 01:00,27.93
PALJ,1993-01-07 03:00,27.66
PALJ,1993-01-07 16:00,27.86
PALJ,1993-01-07 17:00,20.27
PALJ,1993-01-07 18:00,14.16
PALJ,1993-01-07 19:00,19.13
PALJ,1993-01-07 21:00,23.71
PALJ,1993-01-07 23:00,28.75
PALJ,1993-01-08 00:00,26.40
PALJ,1993-01-08 01:00,32.00
PALJ,1993-01-08 03:00,27.86
PALJ,1993-01-08 16:00,33.98
PALJ,1993-01-08 17:00,33.98
PALJ,1993-01-08 19:00,34.88
PALJ,1993-01-08 20:00,26.55
PALJ,1993-01-08 23:00,28.75
PALJ,1993-01-09 00:00,33.98
PALJ,1993-01-09 03:00,32.90
PALJ,1993-01-09 05:00,32.90
PALJ,1993-01-09 15:00,21.61
PALJ,1993-01-09 19:00,17.22
PALJ,1993-01-09 21:00,20.41
PALJ,1993-01-10 00:00,25.88
PALJ,1993-01-10 03:00,15.65
PALJ,1993-01-10 04:00,10.94
PALJ,1993-01-10 18:00,9.76
PALJ,1993-01-10 19:00,11.84
PALJ,1993-01-10 21:00,1.38
PALJ,1993-01-10 22:00,11.84
PALJ,1993-01-11 01:00,14.90
PALJ,1993-01-11 02:00,9.86
