station,valid,feel
PALR,1993-01-01 06:00,M
PALR,1993-01-03 06:00,-30.78
PALR,1993-01-05 01:00,-11.44
PALR,1993-01-11 16:00,-17.64
PALR,1993-01-11 19:00,M
PALR,1993-01-13 19:00,12.64
PALR,1993-01-15 19:00,-34.99
PALR,1993-01-20 01:00,-71.93
PALR,1993-01-25 21:00,-42.30
PALR,1993-02-02 19:00,M
PALR,1993-02-05 04:00,M
PALR,1993-02-05 15:00,-17.21
PALR,1993-02-05 16:00,M
PALR,1993-02-09 04:00,M
PALR,1993-02-09 06:00,M
PALR,1993-02-09 15:00,M
PALR,1993-02-09 19:00,M
PALR,1993-02-09 21:00,-7.94
PALR,1993-02-10 01:00,-7.94
PALR,1993-02-10 04:00,M
PALR,1993-02-10 06:00,-21.73
PALR,1993-02-10 17:00,-20.02
PALR,1993-02-10 21:00,M
PALR,1993-02-11 01:00,-13.70
PALR,1993-02-11 03:00,-15.16
PALR,1993-02-11 06:00,-15.16
PALR,1993-02-11 21:00,-25.22
PALR,1993-02-12 03:00,-20.02
PALR,1993-02-12 06:00,-20.02
PALR,1993-02-12 19:00,-33.98
PALR,1993-02-12 21:00,-29.61
PALR,1993-02-13 01:00,-23.63
PALR,1993-02-13 03:00,-19.46
PALR,1993-02-13 19:00,M
PALR,1993-02-14 04:00,-10.20
PALR,1993-02-14 16:00,-7.94
PALR,1993-02-15 03:00,-4.80
PALR,1993-02-15 19:00,3.38
PALR,1993-02-17 03:00,9.14
PALR,1993-02-17 15:00,-17.20
PALR,1993-02-17 17:00,-17.20
PALR,1993-02-18 01:00,-25.22
PALR,1993-02-18 04:00,M
PALR,1993-02-18 19:00,M
PALR,1993-02-19 03:00,-7.94
PALR,1993-02-19 04:00,-7.94
PALR,1993-02-20 03:00,-7.94
PALR,1993-02-21 01:00,-13.70
PALR,1993-02-21 03:00,-7.94
PALR,1993-02-21 19:00,-7.94
PALR,1993-02-22 03:00,M
PALR,1993-02-23 03:00,-7.94
PALR,1993-02-23 17:00,-7.94
PALR,1993-02-23 19:00,-7.94
PALR,1993-02-24 21:00,3.38
PALR,1993-02-25 01:00,3.38
PALR,1993-02-25 21:00,-21.73
PALR,1993-02-26 01:00,-21.73
PALR,1993-02-26 04:00,-21.73
PALR,1993-02-26 19:00,-4.80
PALR,1993-02-26 21:00,-4.80
PALR,1993-02-27 06:00,-11.66
PALR,1993-03-01 04:00,M
PALR,1993-03-02 01:00,12.64
PALR,1993-03-02 03:00,8.11
PALR,1993-03-02 21:00,-0.04
PALR,1993-03-03 01:00,M
PALR,1993-03-03 06:00,M
PALR,1993-03-04 01:00,12.64
PALR,1993-03-04 03:00,0.10
PALR,1993-03-04 06:00,-7.94
PALR,1993-03-04 19:00,-13.70
PALR,1993-03-04 21:00,-10.20
PALR,1993-03-05 04:00,-17.20
PALR,1993-03-05 06:00,-25.22
PALR,1993-03-05 19:00,-7.94
PALR,1993-03-05 21:00,-7.94
PALR,1993-03-06 06:00,M
PALR,1993-03-07 03:00,M
PALR,1993-03-08 03:00,12.64
PALR,1993-03-08 06:00,12.64
PALR,1993-03-08 21:00,12.64
PALR,1993-03-09 03:00,M
PALR,1993-03-09 06:00,M
PALR,1993-03-10 04:00,-7.94
PALR,1993-03-10 19:00,-7.94
PALR,1993-03-10 21:00,-7.94
PALR,1993-03-11 03:00,-7.94
PALR,1993-03-11 19:00,3.38
PALR,1993-03-12 03:00,3.38
PALR,1993-03-12 19:00,5.64
PALR,1993-03-13 01:00,5.64
PALR,1993-03-13 06:00,0.10
PALR,1993-03-13 17:00,-19.46
PALR,1993-03-13 19:00,-7.94
PALR,1993-03-13 21:00,3.38
PALR,1993-03-14 03:00,-5.68
PALR,1993-03-14 06:00,-5.68
PALR,1993-03-14 16:00,-19.46
PALR,1993-03-14 17:00,M
PALR,1993-03-14 19:00,-12.47
PALR,1993-03-15 03:00,-11.44
PALR,1993-03-15 06:00,-19.46
PALR,1993-03-15 21:00,M
PALR,1993-03-16 01:00,-19.46
PALR,1993-03-20 16:00,10.37
PALR,1993-03-21 06:00,9.14
PALR,1993-03-21 15:00,M
PALR,1993-03-21 17:00,-5.68
PALR,1993-03-21 19:00,M
PALR,1993-03-21 21:00,6.88
PALR,1993-03-22 01:00,9.14
PALR,1993-03-22 04:00,3.38
PALR,1993-03-22 06:00,M
PALR,1993-03-22 16:00,-13.70
PALR,1993-03-22 17:00,M
PALR,1993-03-22 21:00,9.14
PALR,1993-03-23 01:00,14.90
PALR,1993-03-23 03:00,9.14
PALR,1993-03-23 06:00,1.38
PALR,1993-03-23 16:00,14.90
PALR,1993-03-23 17:00,14.90
PALR,1993-03-23 19:00,16.57
PALR,1993-03-23 21:00,15.29
PALR,1993-03-24 01:00,M
PALR,1993-03-24 03:00,M
PALR,1993-03-24 04:00,M
PALR,1993-03-24 06:00,18.06
PALR,1993-03-24 15:00,-4.80
PALR,1993-03-25 01:00,-5.67
PALR,1993-03-25 04:00,-11.66
PALR,1993-03-25 06:00,-15.29
PALR,1993-03-25 15:00,-22.75
PALR,1993-03-25 17:00,M
PALR,1993-03-25 19:00,-19.46
PALR,1993-03-25 21:00,-13.70
PALR,1993-03-26 03:00,-11.44
PALR,1993-03-26 04:00,M
PALR,1993-03-26 06:00,-25.22
PALR,1993-03-26 17:00,M
PALR,1993-03-26 19:00,M
PALR,1993-03-26 21:00,M
PALR,1993-03-27 06:00,M
PALR,1993-03-27 16:00,-13.70
PALR,1993-03-27 21:00,-7.94
PALR,1993-03-28 01:00,8.11
PALR,1993-03-28 17:00,-5.68
PALR,1993-03-29 01:00,14.90
PALR,1993-03-29 16:00,-7.94
PALR,1993-03-29 19:00,5.64
PALR,1993-03-29 21:00,10.37
PALR,1993-03-31 06:00,3.38
PALR,1993-03-31 15:00,2.45
PALR,1993-03-31 16:00,2.45
PALR,1993-03-31 21:00,23.96
PALR,1993-04-01 04:00,21.48
PALR,1993-04-01 06:00,19.43
PALR,1993-04-01 16:00,3.38
PALR,1993-04-01 19:00,3.38
PALR,1993-04-02 04:00,19.13
PALR,1993-04-02 06:00,5.15
PALR,1993-04-02 19:00,12.85
PALR,1993-04-02 21:00,12.85
PALR,1993-04-03 01:00,M
PALR,1993-04-03 03:00,M
PALR,1993-04-03 15:00,M
PALR,1993-04-03 19:00,M
PALR,1993-04-03 21:00,20.66
PALR,1993-04-04 01:00,21.69
PALR,1993-04-04 20:00,15.93
PALR,1993-04-05 03:00,15.93
PALR,1993-04-05 16:00,0.09
PALR,1993-04-06 05:00,6.88
PALR,1993-04-06 16:00,-6.91
PALR,1993-04-06 18:00,-2.18
PALR,1993-04-07 00:00,26.22
PALR,1993-04-07 15:00,-7.94
PALR,1993-04-07 21:00,12.64
PALR,1993-04-08 00:00,22.93
PALR,1993-04-08 03:00,17.17
PALR,1993-04-08 06:00,17.17
PALR,1993-04-08 15:00,-7.94
PALR,1993-04-09 04:00,12.64
PALR,1993-04-09 18:00,12.81
PALR,1993-04-09 20:00,11.68
PALR,1993-04-10 03:00,17.90
PALR,1993-04-11 00:00,23.83
PALR,1993-04-11 18:00,4.61
PALR,1993-04-12 00:00,20.66
PALR,1993-04-12 03:00,20.66
PALR,1993-04-12 16:00,3.38
PALR,1993-04-13 02:00,28.69
PALR,1993-04-13 05:00,26.22
PALR,1993-04-13 14:00,11.40
PALR,1993-04-13 15:00,13.67
PALR,1993-04-13 18:00,20.66
PALR,1993-04-16 03:00,19.38
PALR,1993-04-16 05:00,14.16
PALR,1993-04-16 18:00,18.06
PALR,1993-04-16 20:00,36.51
PALR,1993-04-17 18:00,27.45
PALR,1993-04-18 05:00,33.45
PALR,1993-04-18 20:00,31.98
PALR,1993-04-19 03:00,M
PALR,1993-04-19 05:00,27.45
PALR,1993-04-19 14:00,20.66
PALR,1993-04-19 18:00,31.98
PALR,1993-04-19 20:00,31.98
PALR,1993-04-20 00:00,42.27
PALR,1993-04-20 05:00,31.98
PALR,1993-04-25 03:00,23.96
PALR,1993-04-25 05:00,19.43
PALR,1993-04-25 14:00,-7.94
PALR,1993-04-25 16:00,3.38
PALR,1993-04-25 18:00,14.90
PALR,1993-04-26 14:00,10.37
PALR,1993-04-26 15:00,12.64
PALR,1993-04-26 16:00,M
PALR,1993-04-26 20:00,12.64
PALR,1993-04-27 03:00,17.17
PALR,1993-04-27 20:00,10.33
PALR,1993-04-28 05:00,17.17
PALR,1993-04-28 16:00,7.37
PALR,1993-04-28 18:00,14.42
