station,valid,feel
PALV,1993-01-01 00:00,19.38
PALV,1993-01-01 01:00,19.75
PALV,1993-01-01 02:00,19.38
PALV,1993-01-01 06:00,26.16
PALV,1993-01-01 15:00,21.92
PALV,1993-01-01 16:00,23.90
PALV,1993-01-01 17:00,23.90
PALV,1993-01-01 19:00,23.90
PALV,1993-01-01 20:00,24.98
PALV,1993-01-01 21:00,24.98
PALV,1993-01-01 23:00,24.98
PALV,1993-01-02 00:00,20.66
PALV,1993-01-02 01:00,24.98
PALV,1993-01-02 02:00,24.98
PALV,1993-01-02 06:00,23.90
PALV,1993-01-02 15:00,14.90
PALV,1993-01-02 16:00,8.44
PALV,1993-01-02 17:00,20.26
PALV,1993-01-02 18:00,22.97
PALV,1993-01-02 19:00,21.61
PALV,1993-01-02 20:00,21.61
PALV,1993-01-02 21:00,20.26
PALV,1993-01-02 23:00,22.97
PALV,1993-01-03 00:00,21.61
PALV,1993-01-03 01:00,22.97
PALV,1993-01-03 02:00,21.61
PALV,1993-01-03 06:00,16.88
PALV,1993-01-03 15:00,14.00
PALV,1993-01-03 16:00,15.98
PALV,1993-01-03 17:00,12.92
PALV,1993-01-03 18:00,7.88
PALV,1993-01-03 19:00,9.86
PALV,1993-01-03 20:00,8.96
PALV,1993-01-03 21:00,9.86
PALV,1993-01-03 23:00,11.84
PALV,1993-01-04 00:00,9.86
PALV,1993-01-04 01:00,8.96
PALV,1993-01-04 02:00,9.86
PALV,1993-01-04 16:00,9.86
PALV,1993-01-04 17:00,9.86
PALV,1993-01-04 18:00,9.86
PALV,1993-01-05 00:00,17.96
PALV,1993-01-05 01:00,M
PALV,1993-01-05 02:00,18.86
PALV,1993-01-05 06:00,20.84
PALV,1993-01-05 17:00,19.94
PALV,1993-01-05 18:00,20.84
PALV,1993-01-05 19:00,20.84
PALV,1993-01-05 23:00,24.98
PALV,1993-01-06 00:00,24.98
PALV,1993-01-06 01:00,24.98
PALV,1993-01-06 06:00,26.96
PALV,1993-01-06 15:00,27.86
PALV,1993-01-06 16:00,22.93
PALV,1993-01-06 17:00,27.86
PALV,1993-01-06 18:00,24.98
PALV,1993-01-06 19:00,20.84
PALV,1993-01-06 20:00,M
PALV,1993-01-06 23:00,20.66
PALV,1993-01-07 00:00,24.98
PALV,1993-01-07 01:00,20.41
PALV,1993-01-07 02:00,23.00
PALV,1993-01-07 06:00,26.96
PALV,1993-01-07 15:00,17.17
PALV,1993-01-07 16:00,15.93
PALV,1993-01-07 19:00,15.93
PALV,1993-01-07 20:00,21.92
PALV,1993-01-07 21:00,20.84
PALV,1993-01-07 23:00,24.98
PALV,1993-01-08 01:00,24.98
PALV,1993-01-08 02:00,24.98
PALV,1993-01-08 06:00,24.98
PALV,1993-01-08 15:00,25.88
PALV,1993-01-08 17:00,26.96
