station,valid,feel
PAMB,2005-10-01 03:56,35.20
PAMB,2005-10-01 04:56,33.72
PAMB,2005-10-01 05:56,33.14
PAMB,2005-10-01 08:56,32.90
PAMB,2005-10-01 09:56,26.40
PAMB,2005-10-01 13:56,30.00
PAMB,2005-10-01 14:56,30.00
PAMB,2005-10-01 15:56,29.10
PAMB,2005-10-01 17:56,31.10
PAMB,2005-10-01 18:56,30.35
PAMB,2005-10-01 19:56,32.64
PAMB,2005-10-01 20:56,31.97
PAMB,2005-10-01 22:56,35.82
PAMB,2005-10-02 05:56,32.90
PAMB,2005-10-02 07:56,34.90
PAMB,2005-10-02 12:56,32.90
PAMB,2005-10-02 13:56,29.76
PAMB,2005-10-02 14:56,31.10
PAMB,2005-10-02 21:56,39.68
PAMB,2005-10-02 22:56,42.27
PAMB,2005-10-03 00:56,43.90
PAMB,2005-10-03 02:56,33.72
PAMB,2005-10-03 03:56,29.61
PAMB,2005-10-03 06:56,27.69
PAMB,2005-10-03 07:56,29.02
PAMB,2005-10-03 09:56,25.22
PAMB,2005-10-03 10:56,23.15
PAMB,2005-10-03 12:56,24.11
PAMB,2005-10-03 14:56,25.33
PAMB,2005-10-03 15:56,20.42
PAMB,2005-10-03 16:56,19.01
PAMB,2005-10-03 17:56,20.86
PAMB,2005-10-03 22:56,36.00
PAMB,2005-10-03 23:56,38.28
PAMB,2005-10-04 00:56,38.28
PAMB,2005-10-04 01:56,39.69
PAMB,2005-10-04 02:56,39.69
PAMB,2005-10-04 03:56,37.15
PAMB,2005-10-04 04:56,38.77
PAMB,2005-10-04 05:56,36.21
PAMB,2005-10-04 06:56,34.25
PAMB,2005-10-04 07:56,36.31
PAMB,2005-10-04 08:56,32.87
PAMB,2005-10-04 09:56,30.37
PAMB,2005-10-04 10:56,28.24
PAMB,2005-10-04 11:56,29.51
PAMB,2005-10-04 12:56,31.97
PAMB,2005-10-04 13:56,29.13
PAMB,2005-10-04 14:56,28.66
PAMB,2005-10-04 15:56,29.13
PAMB,2005-10-04 16:56,28.43
PAMB,2005-10-04 17:56,28.43
PAMB,2005-10-04 18:56,31.02
PAMB,2005-10-04 19:56,33.04
PAMB,2005-10-04 20:56,33.98
PAMB,2005-10-04 21:56,34.51
PAMB,2005-10-04 22:56,35.04
PAMB,2005-10-04 23:56,36.63
PAMB,2005-10-05 00:56,38.54
PAMB,2005-10-05 01:56,38.80
PAMB,2005-10-05 02:56,37.15
PAMB,2005-10-05 03:56,36.81
PAMB,2005-10-05 04:56,36.50
PAMB,2005-10-05 05:56,33.61
PAMB,2005-10-05 06:56,33.92
PAMB,2005-10-05 07:56,35.66
PAMB,2005-10-05 08:56,35.04
PAMB,2005-10-05 09:56,33.10
PAMB,2005-10-05 10:56,32.45
PAMB,2005-10-05 11:56,34.70
PAMB,2005-10-05 12:56,34.98
PAMB,2005-10-05 14:56,32.45
PAMB,2005-10-05 15:56,31.69
PAMB,2005-10-05 16:56,34.41
PAMB,2005-10-05 17:56,36.37
PAMB,2005-10-05 18:56,40.53
PAMB,2005-10-05 19:56,38.89
PAMB,2005-10-05 20:56,40.80
PAMB,2005-10-05 21:56,46.75
PAMB,2005-10-05 22:56,45.38
PAMB,2005-10-05 23:56,48.01
PAMB,2005-10-06 00:56,50.00
PAMB,2005-10-06 01:56,50.90
PAMB,2005-10-06 02:56,48.01
PAMB,2005-10-06 03:56,42.27
PAMB,2005-10-06 04:56,40.53
PAMB,2005-10-06 05:56,31.43
PAMB,2005-10-06 06:56,38.98
PAMB,2005-10-06 07:56,37.90
PAMB,2005-10-06 08:56,36.90
PAMB,2005-10-06 09:56,35.43
PAMB,2005-10-06 10:56,37.90
PAMB,2005-10-06 11:56,36.90
PAMB,2005-10-06 12:56,36.90
PAMB,2005-10-06 15:56,34.00
PAMB,2005-10-06 19:56,38.98
PAMB,2005-10-06 20:56,42.29
PAMB,2005-10-07 04:56,41.19
PAMB,2005-10-07 05:56,40.13
PAMB,2005-10-07 06:56,37.89
PAMB,2005-10-07 07:56,37.19
PAMB,2005-10-07 08:56,32.06
PAMB,2005-10-07 09:56,33.84
PAMB,2005-10-07 10:56,31.06
PAMB,2005-10-07 11:56,31.06
PAMB,2005-10-07 12:56,30.28
PAMB,2005-10-07 13:56,31.97
PAMB,2005-10-07 14:56,33.72
PAMB,2005-10-07 15:56,35.36
PAMB,2005-10-07 16:56,34.31
PAMB,2005-10-07 17:56,38.80
PAMB,2005-10-07 18:56,39.90
PAMB,2005-10-07 19:56,41.00
PAMB,2005-10-07 20:56,43.90
PAMB,2005-10-07 21:56,45.72
PAMB,2005-10-07 22:56,45.90
PAMB,2005-10-07 23:56,45.72
PAMB,2005-10-08 00:56,41.72
PAMB,2005-10-08 01:56,40.63
PAMB,2005-10-08 02:56,40.53
PAMB,2005-10-08 03:56,40.53
PAMB,2005-10-08 04:56,39.28
PAMB,2005-10-08 05:56,38.15
PAMB,2005-10-08 06:56,40.27
PAMB,2005-10-08 07:56,41.00
PAMB,2005-10-08 08:56,36.46
PAMB,2005-10-08 09:56,39.90
PAMB,2005-10-08 10:56,37.90
PAMB,2005-10-08 11:56,35.43
PAMB,2005-10-08 12:56,34.31
PAMB,2005-10-08 13:56,36.90
PAMB,2005-10-08 14:56,36.90
PAMB,2005-10-08 15:56,32.00
PAMB,2005-10-08 16:56,30.81
PAMB,2005-10-08 17:56,32.90
