station,valid,feel
PAML,1993-05-27 16:00,44.14
PAML,1993-05-27 18:00,47.77
PAML,1993-05-27 20:00,57.92
PAML,1993-05-27 23:00,62.96
PAML,1993-05-28 02:00,65.84
PAML,1993-05-28 16:00,44.96
PAML,1993-05-29 02:00,73.09
PAML,1993-05-29 16:00,61.88
PAML,1993-05-29 18:00,65.84
PAML,1993-05-29 20:00,69.98
PAML,1993-05-29 23:00,73.94
PAML,1993-05-30 02:00,77.00
PAML,1993-05-30 16:00,59.00
PAML,1993-05-30 18:00,64.94
PAML,1993-05-30 20:00,68.00
PAML,1993-05-30 23:00,72.86
PAML,1993-05-31 02:00,73.94
PAML,1993-05-31 16:00,59.00
PAML,1993-05-31 18:00,63.86
PAML,1993-05-31 20:00,69.98
PAML,1993-05-31 23:00,73.94
PAML,1993-06-01 02:00,77.00
PAML,1993-06-01 15:00,56.84
PAML,1993-06-01 18:00,65.84
PAML,1993-06-01 20:00,69.98
PAML,1993-06-01 23:00,74.84
PAML,1993-06-02 02:00,78.99
PAML,1993-06-02 16:00,55.94
PAML,1993-06-02 18:00,65.84
PAML,1993-06-02 20:00,73.94
PAML,1993-06-02 23:00,82.08
PAML,1993-06-03 02:00,86.20
PAML,1993-06-03 16:00,57.92
PAML,1993-06-03 18:00,68.90
PAML,1993-06-03 20:00,75.87
PAML,1993-06-03 23:00,91.88
PAML,1993-06-04 02:00,90.97
PAML,1993-06-04 16:00,59.00
PAML,1993-06-04 18:00,68.90
PAML,1993-06-04 20:00,78.37
PAML,1993-06-05 23:00,91.88
PAML,1993-06-06 16:00,57.92
PAML,1993-06-06 18:00,62.96
PAML,1993-06-06 20:00,60.98
PAML,1993-06-06 23:00,59.00
PAML,1993-06-07 02:00,62.96
PAML,1993-06-07 16:00,51.98
PAML,1993-06-07 18:00,59.00
PAML,1993-06-07 20:00,61.88
PAML,1993-06-07 23:00,63.86
PAML,1993-06-08 02:00,63.86
PAML,1993-06-08 16:00,45.92
PAML,1993-06-08 18:00,55.94
PAML,1993-06-08 20:00,62.96
PAML,1993-06-08 23:00,63.86
PAML,1993-06-09 02:00,66.92
PAML,1993-06-09 16:00,44.96
PAML,1993-06-09 18:00,54.86
PAML,1993-06-09 20:00,59.90
PAML,1993-06-09 23:00,63.86
PAML,1993-06-10 02:00,63.86
