station,valid,feel
PAMO,2005-09-30 23:56,29.13
PAMO,2005-10-01 01:56,29.11
PAMO,2005-10-01 03:56,31.15
PAMO,2005-10-01 04:56,27.22
PAMO,2005-10-01 05:56,25.48
PAMO,2005-10-01 06:56,22.72
PAMO,2005-10-01 07:56,24.10
PAMO,2005-10-01 08:56,25.53
PAMO,2005-10-01 09:56,24.11
PAMO,2005-10-01 10:56,22.04
PAMO,2005-10-01 11:56,21.24
PAMO,2005-10-01 12:56,23.00
PAMO,2005-10-01 13:56,24.02
PAMO,2005-10-01 14:56,23.00
PAMO,2005-10-01 15:56,23.68
PAMO,2005-10-01 16:56,23.68
PAMO,2005-10-01 17:56,23.51
PAMO,2005-10-01 18:56,25.53
PAMO,2005-10-01 19:56,24.63
PAMO,2005-10-01 20:56,26.00
PAMO,2005-10-01 21:56,28.31
PAMO,2005-10-01 22:56,26.58
PAMO,2005-10-01 23:56,27.48
PAMO,2005-10-02 00:56,27.85
PAMO,2005-10-02 01:56,29.11
PAMO,2005-10-02 02:56,30.15
PAMO,2005-10-02 03:56,27.12
PAMO,2005-10-02 04:56,25.53
PAMO,2005-10-02 05:56,26.40
PAMO,2005-10-02 06:56,26.61
PAMO,2005-10-02 07:56,25.53
PAMO,2005-10-02 08:56,25.53
PAMO,2005-10-02 09:56,26.37
PAMO,2005-10-02 10:56,31.10
PAMO,2005-10-02 11:56,31.10
PAMO,2005-10-02 13:56,32.00
PAMO,2005-10-02 14:56,31.10
PAMO,2005-10-02 15:56,20.58
PAMO,2005-10-02 16:56,20.58
PAMO,2005-10-02 17:56,21.70
PAMO,2005-10-02 18:56,19.90
PAMO,2005-10-02 19:56,24.02
PAMO,2005-10-02 20:56,24.11
PAMO,2005-10-02 21:56,27.94
PAMO,2005-10-02 22:56,27.69
PAMO,2005-10-02 23:56,30.15
PAMO,2005-10-03 00:56,30.37
PAMO,2005-10-03 01:56,31.97
PAMO,2005-10-03 02:56,31.97
PAMO,2005-10-03 03:56,27.69
PAMO,2005-10-03 04:56,27.22
PAMO,2005-10-03 05:56,23.51
PAMO,2005-10-03 06:56,21.84
PAMO,2005-10-03 07:56,18.80
PAMO,2005-10-03 08:56,16.91
PAMO,2005-10-03 09:56,17.41
PAMO,2005-10-03 10:56,M
PAMO,2005-10-03 11:56,16.82
PAMO,2005-10-03 12:56,19.90
PAMO,2005-10-03 13:56,16.18
PAMO,2005-10-03 14:56,17.42
PAMO,2005-10-03 15:56,15.57
PAMO,2005-10-03 16:56,15.57
PAMO,2005-10-03 17:56,18.54
PAMO,2005-10-03 18:56,18.58
PAMO,2005-10-03 20:56,20.42
PAMO,2005-10-03 22:56,25.63
PAMO,2005-10-03 23:56,28.24
PAMO,2005-10-04 00:56,27.52
PAMO,2005-10-04 01:56,24.90
PAMO,2005-10-04 02:56,26.13
PAMO,2005-10-04 03:56,23.60
PAMO,2005-10-04 04:56,24.63
PAMO,2005-10-04 05:56,23.51
PAMO,2005-10-04 06:56,22.39
PAMO,2005-10-04 07:56,24.11
PAMO,2005-10-04 08:56,21.84
PAMO,2005-10-04 09:56,19.33
PAMO,2005-10-04 10:56,20.54
PAMO,2005-10-04 11:56,19.33
PAMO,2005-10-04 12:56,19.19
PAMO,2005-10-04 13:56,17.95
PAMO,2005-10-04 14:56,17.42
PAMO,2005-10-04 15:56,17.95
PAMO,2005-10-04 16:56,16.91
PAMO,2005-10-04 17:56,16.91
PAMO,2005-10-04 18:56,19.01
PAMO,2005-10-04 19:56,22.32
PAMO,2005-10-04 20:56,24.90
PAMO,2005-10-04 21:56,29.13
PAMO,2005-10-04 22:56,30.28
PAMO,2005-10-04 23:56,32.76
PAMO,2005-10-05 00:56,34.25
PAMO,2005-10-05 01:56,33.32
PAMO,2005-10-05 02:56,32.45
PAMO,2005-10-05 03:56,30.15
PAMO,2005-10-05 04:56,24.99
PAMO,2005-10-05 05:56,21.16
PAMO,2005-10-05 06:56,19.25
PAMO,2005-10-05 07:56,21.57
PAMO,2005-10-05 08:56,21.16
PAMO,2005-10-05 09:56,22.72
PAMO,2005-10-05 10:56,23.03
PAMO,2005-10-05 11:56,22.97
PAMO,2005-10-05 12:56,22.47
PAMO,2005-10-05 14:56,23.15
PAMO,2005-10-05 15:56,16.85
PAMO,2005-10-05 16:56,19.94
PAMO,2005-10-05 17:56,21.65
PAMO,2005-10-05 18:56,23.15
PAMO,2005-10-05 19:56,27.09
