station,valid,feel
PAMX,1993-01-01 00:00,16.88
PAMX,1993-01-01 02:00,16.88
PAMX,1993-01-01 05:00,14.00
PAMX,1993-01-01 14:00,12.92
PAMX,1993-01-01 18:00,15.98
PAMX,1993-01-01 20:00,16.88
PAMX,1993-01-01 22:00,17.96
PAMX,1993-01-02 00:00,18.86
PAMX,1993-01-02 02:00,17.96
PAMX,1993-01-02 04:00,17.96
PAMX,1993-01-02 15:00,M
PAMX,1993-01-02 16:00,18.86
PAMX,1993-01-02 18:00,M
PAMX,1993-01-02 20:00,18.86
PAMX,1993-01-02 22:00,9.26
PAMX,1993-01-03 00:00,M
PAMX,1993-01-03 04:00,5.02
PAMX,1993-01-03 14:00,-17.14
PAMX,1993-01-03 16:00,-22.82
PAMX,1993-01-03 18:00,M
PAMX,1993-01-03 20:00,-17.14
PAMX,1993-01-03 22:00,-21.73
PAMX,1993-01-04 00:00,-16.06
PAMX,1993-01-04 02:00,-22.00
PAMX,1993-01-04 04:00,-25.06
PAMX,1993-01-04 14:00,-17.14
PAMX,1993-01-04 15:00,-16.06
PAMX,1993-01-04 16:00,-14.08
PAMX,1993-01-04 18:00,-10.12
PAMX,1993-01-04 22:00,-11.26
PAMX,1993-01-05 00:00,-6.63
PAMX,1993-01-05 02:00,-5.37
PAMX,1993-01-05 04:00,5.90
PAMX,1993-01-05 14:00,M
PAMX,1993-01-05 16:00,-6.16
PAMX,1993-01-05 18:00,-6.16
PAMX,1993-01-05 20:00,-2.02
PAMX,1993-01-05 22:00,0.86
PAMX,1993-01-06 00:00,1.94
PAMX,1993-01-06 02:00,3.92
PAMX,1993-01-06 04:00,0.86
PAMX,1993-01-06 16:00,5.00
PAMX,1993-01-06 18:00,5.90
PAMX,1993-01-07 00:00,9.14
PAMX,1993-01-07 04:00,15.98
PAMX,1993-01-07 14:00,6.98
PAMX,1993-01-07 16:00,5.90
PAMX,1993-01-07 18:00,9.86
PAMX,1993-01-07 20:00,14.00
PAMX,1993-01-07 22:00,14.00
PAMX,1993-01-08 00:00,8.96
PAMX,1993-01-08 02:00,-4.11
PAMX,1993-01-08 04:00,2.84
PAMX,1993-01-08 14:00,-9.04
PAMX,1993-01-08 16:00,-6.16
PAMX,1993-01-08 18:00,-10.12
PAMX,1993-01-08 21:00,-7.06
PAMX,1993-01-08 22:00,-3.10
PAMX,1993-01-09 00:00,-1.12
PAMX,1993-01-09 02:00,-8.14
PAMX,1993-01-09 04:00,-9.04
PAMX,1993-01-09 16:00,-2.02
PAMX,1993-01-09 18:00,3.92
PAMX,1993-01-09 20:00,0.09
PAMX,1993-01-10 00:00,9.86
PAMX,1993-01-10 02:00,9.86
PAMX,1993-01-10 04:00,-5.37
PAMX,1993-01-10 15:00,-21.73
PAMX,1993-01-10 16:00,-12.10
PAMX,1993-01-10 20:00,-22.82
PAMX,1993-01-10 22:00,-15.96
PAMX,1993-01-11 00:00,-12.10
PAMX,1993-01-11 02:00,-16.06
PAMX,1993-01-11 04:00,-20.02
PAMX,1993-01-11 15:00,-27.04
PAMX,1993-01-11 16:00,-27.04
PAMX,1993-01-11 18:00,-28.12
PAMX,1993-01-11 22:00,-16.06
PAMX,1993-01-12 00:00,-18.04
PAMX,1993-01-12 02:00,-23.08
PAMX,1993-01-12 04:00,-27.04
PAMX,1993-01-12 14:00,-17.20
PAMX,1993-01-12 15:00,-12.10
PAMX,1993-01-12 16:00,-16.06
PAMX,1993-01-12 18:00,-20.02
PAMX,1993-01-12 20:00,-17.14
PAMX,1993-01-12 22:00,-11.02
PAMX,1993-01-13 00:00,-14.08
PAMX,1993-01-13 02:00,-19.12
PAMX,1993-01-13 04:00,-21.10
PAMX,1993-01-13 14:00,M
PAMX,1993-01-13 15:00,-9.04
PAMX,1993-01-13 16:00,-7.06
PAMX,1993-01-13 18:00,-3.10
PAMX,1993-01-13 21:00,1.94
PAMX,1993-01-13 22:00,-1.15
PAMX,1993-01-14 00:00,-0.97
PAMX,1993-01-14 02:00,1.38
PAMX,1993-01-14 14:00,17.96
PAMX,1993-01-14 15:00,18.86
PAMX,1993-01-14 16:00,17.96
PAMX,1993-01-14 18:00,11.02
PAMX,1993-01-14 20:00,20.84
PAMX,1993-01-14 22:00,25.88
PAMX,1993-01-15 00:00,19.94
PAMX,1993-01-15 02:00,21.53
PAMX,1993-01-15 04:00,17.08
PAMX,1993-01-15 14:00,-8.14
PAMX,1993-01-15 15:00,-8.14
PAMX,1993-01-15 16:00,-10.12
PAMX,1993-01-15 18:00,-21.73
PAMX,1993-01-15 22:00,-22.75
PAMX,1993-01-16 00:00,-7.06
PAMX,1993-01-16 04:00,-5.08
PAMX,1993-01-16 14:00,-0.97
PAMX,1993-01-16 15:00,-2.22
PAMX,1993-01-16 16:00,0.52
PAMX,1993-01-16 18:00,1.38
PAMX,1993-01-16 20:00,15.98
PAMX,1993-01-17 00:00,23.90
PAMX,1993-01-17 02:00,19.22
PAMX,1993-01-17 04:00,17.96
PAMX,1993-01-17 14:00,27.46
PAMX,1993-01-17 16:00,28.47
PAMX,1993-01-17 18:00,28.47
PAMX,1993-01-18 02:00,27.45
PAMX,1993-01-18 04:00,28.94
PAMX,1993-01-18 16:00,20.84
PAMX,1993-01-18 18:00,14.00
PAMX,1993-01-18 20:00,11.84
PAMX,1993-01-18 22:00,15.98
PAMX,1993-01-19 00:00,16.88
PAMX,1993-01-19 02:00,15.98
PAMX,1993-01-19 04:00,17.96
PAMX,1993-01-19 14:00,9.86
PAMX,1993-01-19 15:00,6.98
PAMX,1993-01-19 16:00,6.98
PAMX,1993-01-19 18:00,-5.67
PAMX,1993-01-19 20:00,8.96
