station,valid,feel
PAMY,1993-01-01 00:00,13.60
PAMY,1993-01-01 01:00,16.57
PAMY,1993-01-01 02:00,15.29
PAMY,1993-01-01 03:00,16.65
PAMY,1993-01-01 04:00,17.23
PAMY,1993-01-01 05:00,16.26
PAMY,1993-01-01 06:00,16.81
PAMY,1993-01-01 07:00,14.77
PAMY,1993-01-01 08:00,15.07
PAMY,1993-01-01 09:00,15.72
PAMY,1993-01-01 10:00,18.38
PAMY,1993-01-01 11:00,20.34
PAMY,1993-01-01 12:00,20.34
PAMY,1993-01-01 13:00,16.43
PAMY,1993-01-01 14:00,13.42
PAMY,1993-01-01 15:00,13.42
PAMY,1993-01-01 16:00,14.40
PAMY,1993-01-01 17:00,12.71
PAMY,1993-01-01 18:00,12.47
PAMY,1993-01-01 19:00,10.38
PAMY,1993-01-01 20:00,10.38
PAMY,1993-01-01 21:00,12.06
PAMY,1993-01-01 22:00,12.06
PAMY,1993-01-01 23:00,11.69
PAMY,1993-01-02 00:00,12.11
PAMY,1993-01-02 01:00,11.68
PAMY,1993-01-02 02:00,12.57
PAMY,1993-01-02 03:00,9.26
PAMY,1993-01-02 04:00,12.09
PAMY,1993-01-02 05:00,9.70
PAMY,1993-01-02 06:00,6.82
PAMY,1993-01-02 07:00,8.97
PAMY,1993-01-02 08:00,7.27
PAMY,1993-01-02 09:00,6.65
PAMY,1993-01-02 10:00,8.36
PAMY,1993-01-02 11:00,5.49
PAMY,1993-01-02 12:00,11.68
PAMY,1993-01-02 13:00,4.71
PAMY,1993-01-02 14:00,2.55
PAMY,1993-01-02 15:00,1.94
PAMY,1993-01-02 16:00,1.13
PAMY,1993-01-02 17:00,-0.72
PAMY,1993-01-02 18:00,-0.72
PAMY,1993-01-02 19:00,-0.72
PAMY,1993-01-02 20:00,5.14
PAMY,1993-01-02 21:00,6.88
PAMY,1993-01-02 22:00,7.32
PAMY,1993-01-02 23:00,12.64
PAMY,1993-01-03 00:00,7.18
PAMY,1993-01-03 01:00,4.38
PAMY,1993-01-03 02:00,6.49
PAMY,1993-01-03 03:00,4.72
PAMY,1993-01-03 04:00,2.88
PAMY,1993-01-03 05:00,2.84
PAMY,1993-01-03 06:00,-1.87
PAMY,1993-01-03 07:00,-0.94
PAMY,1993-01-03 08:00,1.69
PAMY,1993-01-03 09:00,2.70
PAMY,1993-01-03 10:00,7.13
PAMY,1993-01-03 11:00,9.81
PAMY,1993-01-03 12:00,11.01
PAMY,1993-01-03 13:00,11.54
PAMY,1993-01-03 14:00,11.83
PAMY,1993-01-03 15:00,11.26
PAMY,1993-01-03 16:00,10.73
PAMY,1993-01-03 17:00,12.44
PAMY,1993-01-03 18:00,13.11
PAMY,1993-01-03 19:00,13.47
PAMY,1993-01-03 20:00,12.47
PAMY,1993-01-03 21:00,12.75
PAMY,1993-01-03 22:00,13.93
PAMY,1993-01-03 23:00,13.93
PAMY,1993-01-04 00:00,14.89
PAMY,1993-01-04 01:00,15.15
PAMY,1993-01-04 02:00,15.41
PAMY,1993-01-04 03:00,15.15
PAMY,1993-01-04 04:00,14.64
PAMY,1993-01-04 05:00,15.87
PAMY,1993-01-04 06:00,15.64
PAMY,1993-01-04 07:00,15.42
PAMY,1993-01-04 08:00,15.21
PAMY,1993-01-04 09:00,17.16
PAMY,1993-01-04 10:00,17.16
PAMY,1993-01-04 11:00,16.63
PAMY,1993-01-04 12:00,19.03
PAMY,1993-01-04 13:00,18.84
PAMY,1993-01-04 14:00,19.22
PAMY,1993-01-04 15:00,20.27
PAMY,1993-01-04 16:00,20.09
PAMY,1993-01-04 17:00,20.27
PAMY,1993-01-04 18:00,20.66
PAMY,1993-01-04 19:00,21.06
PAMY,1993-01-04 20:00,20.73
PAMY,1993-01-04 21:00,20.98
PAMY,1993-01-04 22:00,20.98
PAMY,1993-01-04 23:00,20.98
PAMY,1993-01-05 00:00,20.98
PAMY,1993-01-05 01:00,20.73
PAMY,1993-01-05 02:00,21.49
PAMY,1993-01-05 03:00,21.49
PAMY,1993-01-05 04:00,20.26
PAMY,1993-01-05 05:00,20.49
PAMY,1993-01-05 06:00,19.83
PAMY,1993-01-05 07:00,20.04
PAMY,1993-01-05 08:00,20.49
PAMY,1993-01-05 09:00,20.73
PAMY,1993-01-05 10:00,21.49
PAMY,1993-01-05 11:00,21.59
PAMY,1993-01-05 12:00,22.36
PAMY,1993-01-05 13:00,23.00
PAMY,1993-01-05 14:00,26.55
PAMY,1993-01-05 15:00,25.22
PAMY,1993-01-05 16:00,25.53
PAMY,1993-01-05 17:00,23.15
PAMY,1993-01-05 18:00,22.47
PAMY,1993-01-05 19:00,22.97
PAMY,1993-01-05 20:00,21.57
PAMY,1993-01-05 21:00,22.97
PAMY,1993-01-05 22:00,20.08
PAMY,1993-01-05 23:00,19.44
PAMY,1993-01-06 00:00,22.97
PAMY,1993-01-06 01:00,24.10
PAMY,1993-01-06 02:00,22.72
PAMY,1993-01-06 03:00,23.60
PAMY,1993-01-06 04:00,21.25
PAMY,1993-01-06 05:00,19.03
PAMY,1993-01-06 06:00,18.01
PAMY,1993-01-06 07:00,18.31
PAMY,1993-01-06 08:00,18.06
PAMY,1993-01-06 09:00,17.81
PAMY,1993-01-06 10:00,16.49
PAMY,1993-01-06 11:00,17.34
PAMY,1993-01-06 12:00,17.73
PAMY,1993-01-06 13:00,18.80
PAMY,1993-01-06 14:00,17.12
PAMY,1993-01-06 15:00,17.34
PAMY,1993-01-06 16:00,16.49
PAMY,1993-01-06 17:00,16.91
PAMY,1993-01-06 18:00,16.58
PAMY,1993-01-06 19:00,17.22
PAMY,1993-01-06 20:00,18.80
PAMY,1993-01-06 21:00,18.80
PAMY,1993-01-06 22:00,19.77
PAMY,1993-01-06 23:00,20.78
PAMY,1993-01-07 00:00,20.63
PAMY,1993-01-07 01:00,19.14
PAMY,1993-01-07 02:00,19.03
PAMY,1993-01-07 03:00,17.34
PAMY,1993-01-07 04:00,16.69
PAMY,1993-01-07 05:00,18.14
PAMY,1993-01-07 06:00,17.93
PAMY,1993-01-07 07:00,19.83
PAMY,1993-01-07 08:00,20.49
PAMY,1993-01-07 09:00,19.42
PAMY,1993-01-07 10:00,20.46
PAMY,1993-01-07 11:00,19.22
PAMY,1993-01-07 12:00,19.62
PAMY,1993-01-07 13:00,20.04
PAMY,1993-01-07 14:00,20.73
PAMY,1993-01-07 15:00,21.23
PAMY,1993-01-07 16:00,21.77
PAMY,1993-01-07 17:00,21.77
PAMY,1993-01-07 18:00,21.77
PAMY,1993-01-07 19:00,22.06
PAMY,1993-01-07 20:00,20.93
PAMY,1993-01-07 21:00,21.25
PAMY,1993-01-07 22:00,22.72
PAMY,1993-01-07 23:00,23.60
PAMY,1993-01-08 00:00,25.53
PAMY,1993-01-08 01:00,22.47
PAMY,1993-01-08 02:00,21.45
PAMY,1993-01-08 03:00,25.11
PAMY,1993-01-08 04:00,23.83
PAMY,1993-01-08 05:00,22.93
PAMY,1993-01-08 06:00,24.90
PAMY,1993-01-08 07:00,23.83
PAMY,1993-01-08 08:00,24.90
PAMY,1993-01-08 09:00,22.93
PAMY,1993-01-08 10:00,21.45
