station,valid,feel
PAPC,1994-08-30 15:00,M
PAPC,1994-08-31 16:00,M
PAPC,1994-09-01 15:00,M
PAPC,1994-09-05 16:00,M
PAPC,1994-09-06 16:00,M
PAPC,1994-09-07 15:00,M
PAPC,1994-09-08 15:00,M
PAPC,1994-09-13 15:00,M
PAPC,1994-09-15 17:00,M
PAPC,1994-09-19 15:00,M
PAPC,1994-09-20 16:00,M
PAPC,1994-09-24 17:00,M
PAPC,1994-09-28 16:00,M
PAPC,1994-09-29 16:00,M
PAPC,1994-09-30 16:00,M
PAPC,1994-09-30 20:00,M
PAPC,1994-10-04 16:00,M
PAPC,1994-10-07 16:00,M
PAPC,1994-10-08 17:00,M
PAPC,1994-10-09 17:00,M
PAPC,1994-10-10 17:00,M
PAPC,1994-10-13 18:00,M
PAPC,1994-10-14 16:00,M
PAPC,1994-10-15 16:00,M
PAPC,1994-10-20 15:00,M
PAPC,1994-10-21 16:00,M
PAPC,1994-10-24 14:00,M
PAPC,1994-10-26 16:00,M
PAPC,1994-10-27 15:00,M
PAPC,1994-10-29 15:00,M
PAPC,1994-10-30 17:00,M
PAPC,1994-11-01 17:00,M
PAPC,1994-11-02 16:00,M
PAPC,1994-11-03 16:00,M
PAPC,1994-11-04 17:00,M
PAPC,1994-11-05 18:00,M
PAPC,1994-11-06 17:00,M
PAPC,1994-11-07 16:00,M
PAPC,1994-11-14 16:00,M
PAPC,1994-11-15 18:00,M
PAPC,1994-11-16 17:00,M
PAPC,1994-11-18 16:00,M
PAPC,1994-11-20 21:00,M
PAPC,1994-11-21 16:00,M
PAPC,1994-11-22 16:00,M
PAPC,1994-11-23 17:00,M
PAPC,1994-11-24 18:00,M
PAPC,1994-11-26 18:00,M
PAPC,1994-11-27 17:00,M
PAPC,1994-11-28 16:00,M
PAPC,1994-11-30 16:00,M
PAPC,1994-12-01 17:00,M
PAPC,1994-12-04 17:00,M
PAPC,1994-12-05 17:00,M
PAPC,1994-12-06 17:00,M
PAPC,1994-12-08 17:00,M
PAPC,1994-12-16 17:00,M
PAPC,1994-12-17 18:00,M
PAPC,1994-12-20 17:00,M
PAPC,1994-12-21 17:00,M
PAPC,1994-12-29 17:00,M
PAPC,1994-12-30 16:00,M
PAPC,1995-01-02 17:00,M
PAPC,1995-01-20 17:00,M
PAPC,1995-01-24 16:00,M
PAPC,1995-01-27 16:00,M
PAPC,1995-02-03 16:00,M
PAPC,1995-02-06 16:00,M
PAPC,1995-02-07 16:00,M
PAPC,1995-02-08 15:00,M
PAPC,1995-02-10 16:00,M
PAPC,1995-02-13 16:00,M
PAPC,1995-02-15 19:00,M
PAPC,1995-02-23 17:00,M
PAPC,1995-02-25 18:00,M
PAPC,1995-02-26 21:00,M
PAPC,1995-03-06 16:00,M
