station,valid,feel
PAPR,1993-01-01 15:00,16.91
PAPR,1993-01-01 16:00,13.39
PAPR,1993-01-01 17:00,7.66
PAPR,1993-01-01 18:00,0.52
PAPR,1993-01-01 19:00,9.35
PAPR,1993-01-01 20:00,9.35
PAPR,1993-01-01 21:00,-12.31
PAPR,1993-01-01 22:00,-16.36
PAPR,1993-01-01 23:00,-17.83
PAPR,1993-01-02 00:00,-16.36
PAPR,1993-01-02 01:00,-17.83
PAPR,1993-01-02 02:00,-9.30
PAPR,1993-01-02 03:00,-9.37
PAPR,1993-01-02 04:00,-8.02
PAPR,1993-01-02 05:00,-12.96
PAPR,1993-01-02 06:00,-12.92
PAPR,1993-01-02 15:00,0.52
PAPR,1993-01-02 16:00,10.04
PAPR,1993-01-02 17:00,6.98
PAPR,1993-01-02 18:00,6.08
PAPR,1993-01-02 19:00,6.08
PAPR,1993-01-02 20:00,6.08
PAPR,1993-01-02 21:00,6.08
PAPR,1993-01-02 22:00,-2.85
PAPR,1993-01-02 23:00,-2.85
PAPR,1993-01-03 00:00,-5.67
PAPR,1993-01-03 01:00,-6.99
PAPR,1993-01-03 02:00,-10.20
PAPR,1993-01-03 03:00,-17.83
PAPR,1993-01-03 04:00,-21.52
PAPR,1993-01-03 05:00,-22.83
PAPR,1993-01-03 06:00,-21.51
PAPR,1993-01-03 15:00,-27.37
PAPR,1993-01-03 16:00,-27.05
PAPR,1993-01-03 17:00,-19.24
PAPR,1993-01-03 18:00,-22.83
PAPR,1993-01-03 19:00,-20.21
PAPR,1993-01-03 20:00,-22.67
PAPR,1993-01-03 21:00,-21.52
PAPR,1993-01-03 22:00,-20.21
PAPR,1993-01-03 23:00,-20.42
PAPR,1993-01-04 00:00,-21.56
PAPR,1993-01-04 01:00,-21.51
PAPR,1993-01-04 02:00,-18.71
PAPR,1993-01-04 03:00,-21.56
PAPR,1993-01-04 04:00,-20.42
PAPR,1993-01-04 05:00,-22.67
PAPR,1993-01-04 06:00,-24.00
PAPR,1993-01-04 16:00,-17.79
PAPR,1993-01-04 17:00,-15.08
PAPR,1993-01-04 18:00,-12.72
PAPR,1993-01-04 19:00,-12.72
PAPR,1993-01-04 20:00,-15.37
PAPR,1993-01-04 21:00,-12.96
PAPR,1993-01-04 22:00,-11.59
PAPR,1993-01-04 23:00,-12.92
PAPR,1993-01-05 00:00,-9.45
PAPR,1993-01-05 01:00,-5.67
PAPR,1993-01-05 02:00,-6.99
PAPR,1993-01-05 03:00,-5.67
PAPR,1993-01-05 04:00,-6.71
PAPR,1993-01-05 05:00,-4.40
PAPR,1993-01-05 06:00,-5.38
PAPR,1993-01-05 09:00,6.09
PAPR,1993-01-05 11:00,14.90
