station,valid,feel
PARD,2000-02-15 23:00,15.80
PARD,2001-01-04 00:00,-28.49
PARD,2001-01-05 00:00,-15.66
PARD,2001-01-05 18:00,-21.81
PARD,2001-01-05 20:00,-12.52
PARD,2001-01-06 01:00,-23.56
PARD,2001-01-06 22:00,-34.16
PARD,2001-01-07 18:00,-32.93
PARD,2001-01-07 20:00,-30.55
PARD,2001-01-08 18:00,-12.52
PARD,2001-01-09 19:00,-8.63
PARD,2001-01-09 23:00,-2.18
PARD,2001-01-10 18:00,-23.49
PARD,2001-01-10 22:00,-16.77
PARD,2001-01-10 23:00,-20.60
PARD,2001-01-11 00:00,-12.30
PARD,2001-01-11 18:00,5.00
PARD,2001-01-12 00:00,-9.15
PARD,2001-01-12 23:00,-11.36
PARD,2001-01-14 20:00,14.05
PARD,2001-01-15 18:00,19.68
PARD,2001-01-17 18:00,-2.65
PARD,2001-01-17 20:00,0.64
PARD,2001-01-18 17:00,-2.56
PARD,2001-01-18 20:00,-4.12
PARD,2001-01-25 18:00,11.88
PARD,2001-01-25 21:00,15.24
PARD,2001-01-26 20:00,14.68
PARD,2001-01-26 22:00,15.01
PARD,2001-01-27 21:00,13.94
PARD,2001-01-30 21:00,-13.15
PARD,2001-01-31 01:00,-9.15
PARD,2001-01-31 18:00,-19.23
PARD,2001-02-01 18:00,-15.80
PARD,2001-02-01 20:00,-12.52
PARD,2001-02-01 21:00,-19.23
PARD,2001-02-02 18:00,-16.72
PARD,2001-02-02 20:00,-7.60
PARD,2001-02-02 22:00,-9.40
PARD,2001-02-03 18:00,-7.81
PARD,2001-02-03 19:00,-17.83
PARD,2001-02-03 21:00,1.40
PARD,2001-02-03 22:00,-10.33
PARD,2001-02-04 19:00,-7.78
PARD,2001-02-04 21:00,-3.34
PARD,2001-02-06 18:00,11.68
PARD,2001-02-06 19:00,11.68
PARD,2001-02-06 20:00,14.56
PARD,2001-02-06 21:00,5.08
PARD,2001-02-07 01:00,7.54
PARD,2001-02-08 20:00,-1.62
PARD,2001-02-09 18:00,-0.35
PARD,2001-02-11 19:00,13.38
PARD,2001-02-11 20:00,10.24
PARD,2001-02-11 21:00,8.64
PARD,2001-02-12 18:00,-3.11
PARD,2001-02-12 21:00,2.65
PARD,2001-02-13 23:00,-0.11
PARD,2001-02-14 18:00,5.43
PARD,2001-02-14 23:00,2.77
PARD,2001-02-16 17:00,-3.63
PARD,2001-02-18 18:00,23.36
PARD,2001-02-19 19:00,17.60
PARD,2001-02-19 21:00,19.40
PARD,2001-02-20 17:00,-9.38
