station,valid,feel
PARL,2000-05-11 23:45,45.63
PARL,2000-05-12 01:45,41.03
PARL,2000-05-12 15:45,32.81
PARL,2000-05-12 17:45,34.20
PARL,2000-05-13 17:45,27.99
PARL,2000-05-13 19:45,32.81
PARL,2000-05-13 23:45,30.76
PARL,2000-05-14 01:45,26.58
PARL,2000-05-14 17:45,16.80
PARL,2000-05-14 19:45,24.78
PARL,2000-05-14 23:45,33.56
PARL,2000-05-15 01:45,35.20
PARL,2000-05-15 17:45,26.33
PARL,2000-05-18 01:45,60.80
PARL,2000-05-18 23:45,57.20
PARL,2000-05-20 01:45,62.60
PARL,2000-05-20 17:45,48.20
PARL,2000-05-20 23:45,42.62
PARL,2000-05-21 15:45,40.14
PARL,2000-05-21 17:45,42.33
PARL,2000-05-21 19:45,51.80
PARL,2000-05-21 23:45,59.00
PARL,2000-05-22 01:45,53.60
PARL,2000-05-22 15:45,31.62
PARL,2000-05-22 17:45,34.95
PARL,2000-05-22 23:45,51.80
PARL,2000-05-23 15:45,44.60
PARL,2000-05-23 17:45,46.34
PARL,2000-05-23 19:45,51.80
PARL,2000-05-23 23:45,51.80
PARL,2000-05-24 01:45,53.60
PARL,2000-05-24 15:45,39.22
PARL,2000-05-24 17:45,46.40
PARL,2000-05-24 19:45,48.44
PARL,2000-05-24 23:45,44.07
PARL,2000-05-25 15:45,37.08
PARL,2000-05-25 19:45,45.63
PARL,2000-05-25 21:45,47.77
PARL,2000-05-26 15:45,40.71
PARL,2000-05-26 17:45,41.42
PARL,2000-05-26 21:45,46.29
PARL,2000-05-27 01:45,51.80
PARL,2000-05-27 21:45,46.72
PARL,2000-05-28 15:45,42.80
PARL,2000-05-28 17:45,46.34
PARL,2000-05-28 23:45,57.20
PARL,2000-05-29 01:45,51.80
PARL,2000-05-29 15:45,44.60
PARL,2000-05-29 17:45,53.60
PARL,2000-05-29 19:45,51.80
PARL,2000-05-30 23:45,62.60
PARL,2000-05-31 01:45,60.80
PARL,2000-05-31 15:45,48.44
PARL,2000-05-31 19:45,53.60
PARL,2000-05-31 23:45,55.40
PARL,2000-06-01 01:45,55.40
PARL,2000-06-01 15:45,51.80
PARL,2000-06-01 17:45,57.20
PARL,2000-06-01 19:45,59.00
PARL,2000-06-02 01:45,53.60
PARL,2000-06-02 15:45,51.80
PARL,2000-06-02 23:45,60.80
PARL,2000-06-03 23:45,59.00
PARL,2000-06-04 01:45,60.80
PARL,2000-06-04 15:45,46.40
PARL,2000-06-04 23:45,69.80
PARL,2000-06-05 01:45,64.40
PARL,2000-06-08 23:45,80.50
PARL,2000-06-09 01:45,77.78
PARL,2000-06-09 15:45,57.20
PARL,2000-06-09 17:45,66.20
PARL,2000-06-09 19:45,71.60
PARL,2000-06-10 17:45,62.60
PARL,2000-06-10 23:45,62.60
PARL,2000-06-11 01:45,75.20
PARL,2000-06-11 15:45,57.20
PARL,2000-06-11 19:45,69.80
PARL,2000-06-11 23:45,70.50
PARL,2000-06-12 01:45,60.80
PARL,2000-06-12 15:45,55.40
PARL,2000-06-12 17:45,66.20
PARL,2000-06-12 19:45,71.60
PARL,2000-06-12 23:45,75.20
PARL,2000-06-13 21:45,64.40
PARL,2000-06-13 23:45,69.80
PARL,2000-06-14 01:45,66.20
PARL,2000-06-14 15:45,60.80
PARL,2000-06-14 19:45,69.80
PARL,2000-06-16 01:45,59.00
PARL,2000-06-16 15:45,53.60
PARL,2000-06-16 17:45,55.40
