station,valid,feel
PATW,1993-01-01 00:00,11.84
PATW,1993-01-01 01:00,-3.32
PATW,1993-01-01 04:00,9.86
PATW,1993-01-01 05:00,7.88
PATW,1993-01-01 16:00,10.94
PATW,1993-01-01 17:00,10.94
PATW,1993-01-01 18:00,-0.72
PATW,1993-01-01 19:00,14.00
PATW,1993-01-02 00:00,14.90
PATW,1993-01-02 01:00,12.92
PATW,1993-01-02 04:00,12.92
PATW,1993-01-02 05:00,5.14
PATW,1993-01-02 16:00,4.38
PATW,1993-01-02 17:00,4.01
PATW,1993-01-02 18:00,2.25
PATW,1993-01-02 19:00,-5.86
PATW,1993-01-12 16:00,-20.02
PATW,1993-01-12 17:00,-20.02
PATW,1993-01-12 18:00,-22.00
PATW,1993-01-12 19:00,-20.02
PATW,1993-01-12 22:00,-21.28
PATW,1993-01-12 23:00,-5.08
PATW,1993-01-13 00:00,-0.04
PATW,1993-01-13 01:00,-10.59
PATW,1993-01-13 04:00,M
PATW,1993-01-13 05:00,-16.36
PATW,1993-01-13 16:00,9.86
PATW,1993-01-13 17:00,9.86
PATW,1993-01-13 18:00,10.94
PATW,1993-01-13 19:00,10.94
PATW,1993-01-13 22:00,14.90
PATW,1993-01-13 23:00,6.35
PATW,1993-01-14 00:00,9.76
PATW,1993-01-14 01:00,12.07
PATW,1993-01-14 04:00,10.08
PATW,1993-01-14 05:00,9.26
PATW,1993-01-14 16:00,11.70
PATW,1993-01-14 17:00,13.34
PATW,1993-01-14 18:00,8.76
PATW,1993-01-14 19:00,5.14
PATW,1993-01-14 22:00,10.94
PATW,1993-01-15 00:00,9.86
PATW,1993-01-15 04:00,5.90
PATW,1993-01-15 05:00,-1.80
PATW,1993-01-15 16:00,0.86
PATW,1993-01-15 17:00,-1.12
PATW,1993-01-15 18:00,-17.14
PATW,1993-01-15 19:00,-4.00
PATW,1993-01-15 22:00,-4.00
PATW,1993-01-15 23:00,-2.02
PATW,1993-01-16 00:00,-1.12
PATW,1993-01-16 01:00,-14.62
PATW,1993-01-16 04:00,-3.10
PATW,1993-01-16 05:00,-14.62
PATW,1993-01-16 16:00,-2.33
PATW,1993-01-16 17:00,-2.76
PATW,1993-01-16 18:00,-2.14
PATW,1993-01-16 19:00,4.01
PATW,1993-01-16 22:00,8.44
PATW,1993-01-16 23:00,14.90
PATW,1993-01-17 00:00,14.90
PATW,1993-01-17 01:00,14.00
PATW,1993-01-17 04:00,15.98
PATW,1993-01-17 05:00,15.98
PATW,1993-01-17 16:00,22.76
PATW,1993-01-17 17:00,26.96
