station,valid,feel
PAUT,2014-05-15 17:55,30.87
PAUT,2014-05-15 19:55,33.13
PAUT,2014-05-16 13:55,28.42
PAUT,2014-05-16 14:55,27.78
PAUT,2014-05-16 15:55,27.43
PAUT,2014-05-16 16:55,28.03
PAUT,2014-05-16 17:55,27.69
PAUT,2014-05-16 18:55,29.98
PAUT,2014-05-16 19:55,31.28
PAUT,2014-05-16 20:55,31.16
PAUT,2014-05-16 21:55,32.54
PAUT,2014-05-16 22:55,32.31
PAUT,2014-05-16 23:55,32.29
PAUT,2014-05-17 00:55,33.26
PAUT,2014-05-17 01:55,32.39
PAUT,2014-05-17 02:55,32.77
PAUT,2014-05-17 03:55,33.01
PAUT,2014-05-17 04:55,30.86
PAUT,2014-05-17 05:55,29.42
PAUT,2014-05-17 06:55,29.51
PAUT,2014-05-17 07:55,32.00
PAUT,2014-05-17 08:55,31.80
PAUT,2014-05-17 09:55,28.80
PAUT,2014-05-17 10:55,31.09
PAUT,2014-05-17 11:55,27.57
PAUT,2014-05-17 12:55,30.19
PAUT,2014-05-17 13:55,27.09
PAUT,2014-05-17 14:55,30.90
PAUT,2014-05-17 15:55,28.59
PAUT,2014-05-17 16:55,29.87
PAUT,2014-05-17 17:55,28.33
PAUT,2014-05-17 18:55,27.75
PAUT,2014-05-17 19:55,29.66
PAUT,2014-05-17 20:55,31.57
PAUT,2014-05-17 21:55,33.96
PAUT,2014-05-17 22:55,32.06
PAUT,2014-05-17 23:55,34.50
PAUT,2014-05-18 00:55,35.43
PAUT,2014-05-18 01:55,34.91
PAUT,2014-05-18 02:55,33.01
PAUT,2014-05-18 03:55,31.33
PAUT,2014-05-18 04:55,30.38
PAUT,2014-05-18 05:55,28.94
PAUT,2014-05-18 06:55,29.04
PAUT,2014-05-18 07:55,32.32
PAUT,2014-05-18 08:55,30.44
PAUT,2014-05-18 09:55,33.34
PAUT,2014-05-18 10:55,34.85
PAUT,2014-05-18 11:55,31.57
PAUT,2014-05-18 12:55,29.28
PAUT,2014-05-18 13:55,31.77
PAUT,2014-05-18 14:55,27.80
PAUT,2014-05-18 15:55,27.62
PAUT,2014-05-18 16:55,33.35
PAUT,2014-05-18 17:55,32.31
PAUT,2014-05-18 18:55,32.64
PAUT,2014-05-18 19:55,31.95
PAUT,2014-05-18 20:55,32.10
PAUT,2014-05-18 21:55,33.38
PAUT,2014-05-18 22:55,32.77
PAUT,2014-05-18 23:55,34.91
PAUT,2014-05-19 00:55,34.22
PAUT,2014-05-19 01:55,32.81
PAUT,2014-05-19 02:55,32.10
PAUT,2014-05-19 03:55,31.10
PAUT,2014-05-19 04:55,30.41
PAUT,2014-05-19 05:55,31.12
PAUT,2014-05-19 06:55,31.28
PAUT,2014-05-19 07:55,31.05
PAUT,2014-05-19 08:55,29.74
PAUT,2014-05-19 09:55,30.79
PAUT,2014-05-19 10:55,31.11
PAUT,2014-05-19 11:55,32.32
PAUT,2014-05-19 12:55,30.71
PAUT,2014-05-19 13:55,29.87
PAUT,2014-05-19 14:55,30.33
PAUT,2014-05-19 15:55,30.44
PAUT,2014-05-19 16:55,29.80
PAUT,2014-05-19 17:55,33.33
PAUT,2014-05-19 18:55,30.65
PAUT,2014-05-19 19:55,30.89
PAUT,2014-05-19 20:55,31.87
PAUT,2014-05-19 21:55,34.50
PAUT,2014-05-19 22:55,41.45
PAUT,2014-05-19 23:55,35.20
PAUT,2014-05-20 00:55,37.48
PAUT,2014-05-20 01:55,35.15
PAUT,2014-05-20 02:55,33.28
PAUT,2014-05-20 03:55,33.32
PAUT,2014-05-20 04:55,32.30
PAUT,2014-05-20 05:55,30.27
PAUT,2014-05-20 06:55,27.74
PAUT,2014-05-20 07:55,28.04
PAUT,2014-05-20 08:55,29.28
PAUT,2014-05-20 09:55,27.62
PAUT,2014-05-20 10:55,27.15
PAUT,2014-05-20 11:55,27.93
PAUT,2014-05-20 12:55,29.28
PAUT,2014-05-20 13:55,29.64
PAUT,2014-05-20 14:55,30.10
PAUT,2014-05-20 15:55,31.25
PAUT,2014-05-20 16:55,30.92
PAUT,2014-05-20 17:55,33.61
PAUT,2014-05-20 18:55,35.32
PAUT,2014-05-20 19:55,36.10
PAUT,2014-05-20 20:55,38.80
PAUT,2014-05-20 21:55,39.53
PAUT,2014-05-20 22:55,41.03
PAUT,2014-05-20 23:55,39.98
PAUT,2014-05-21 00:55,41.19
PAUT,2014-05-21 01:55,38.99
PAUT,2014-05-21 02:55,35.15
PAUT,2014-05-21 03:55,35.17
PAUT,2014-05-21 04:55,35.08
PAUT,2014-05-21 05:55,31.81
PAUT,2014-05-21 06:55,36.31
PAUT,2014-05-21 07:55,32.93
PAUT,2014-05-21 08:55,33.13
PAUT,2014-05-21 09:55,32.25
PAUT,2014-05-21 10:55,32.67
PAUT,2014-05-21 11:55,31.51
PAUT,2014-05-21 12:55,29.42
PAUT,2014-05-21 13:55,30.92
PAUT,2014-05-21 14:55,32.31
PAUT,2014-05-21 15:55,34.70
PAUT,2014-05-21 16:55,35.75
PAUT,2014-05-21 17:55,35.64
PAUT,2014-05-21 18:55,29.70
PAUT,2014-05-21 19:55,29.67
PAUT,2014-05-21 20:55,29.90
PAUT,2014-05-21 21:55,30.17
PAUT,2014-05-21 22:55,31.59
PAUT,2014-05-21 23:55,29.80
PAUT,2014-05-22 00:55,28.70
PAUT,2014-05-22 01:55,29.91
PAUT,2014-05-22 02:55,28.02
PAUT,2014-05-22 03:55,29.23
PAUT,2014-05-22 04:55,29.70
PAUT,2014-05-22 05:55,30.69
PAUT,2014-05-22 06:55,31.28
PAUT,2014-05-22 07:55,30.92
PAUT,2014-05-22 08:55,29.42
PAUT,2014-05-22 09:55,30.74
PAUT,2014-05-22 10:55,31.60
PAUT,2014-05-22 11:55,28.94
PAUT,2014-05-22 12:55,29.42
PAUT,2014-05-22 13:55,30.98
PAUT,2014-05-22 14:55,31.75
PAUT,2014-05-22 15:55,31.87
PAUT,2014-05-22 16:55,30.69
PAUT,2014-05-22 17:55,32.68
PAUT,2014-05-22 18:55,34.28
PAUT,2014-05-22 19:55,33.71
PAUT,2014-05-22 20:55,33.50
PAUT,2014-05-22 21:55,34.78
PAUT,2014-05-22 22:55,32.31
PAUT,2014-05-22 23:55,33.01
PAUT,2014-05-23 00:55,32.45
PAUT,2014-05-23 01:55,30.89
PAUT,2014-05-23 02:55,30.90
PAUT,2014-05-23 03:55,30.39
PAUT,2014-05-23 04:55,28.96
PAUT,2014-05-23 05:55,27.75
PAUT,2014-05-23 06:55,27.53
PAUT,2014-05-23 07:55,27.57
PAUT,2014-05-23 08:55,27.29
PAUT,2014-05-23 09:55,26.79
PAUT,2014-05-23 10:55,26.30
PAUT,2014-05-23 11:55,27.62
PAUT,2014-05-23 12:55,26.34
PAUT,2014-05-23 13:55,26.38
PAUT,2014-05-23 14:55,25.86
PAUT,2014-05-23 15:55,25.39
PAUT,2014-05-23 16:55,25.63
PAUT,2014-05-23 17:55,26.34
PAUT,2014-05-23 18:55,26.79
PAUT,2014-05-23 19:55,28.33
PAUT,2014-05-23 20:55,28.52
PAUT,2014-05-23 21:55,30.15
PAUT,2014-05-23 22:55,29.42
PAUT,2014-05-23 23:55,31.10
PAUT,2014-05-24 00:55,31.28
PAUT,2014-05-24 01:55,30.41
PAUT,2014-05-24 02:55,30.62
PAUT,2014-05-24 03:55,28.22
PAUT,2014-05-24 04:55,28.01
PAUT,2014-05-24 05:55,27.86
PAUT,2014-05-24 06:55,26.86
PAUT,2014-05-24 07:55,25.67
PAUT,2014-05-24 08:55,25.39
PAUT,2014-05-24 09:55,25.97
PAUT,2014-05-24 10:55,25.81
PAUT,2014-05-24 11:55,26.15
PAUT,2014-05-24 12:55,26.41
PAUT,2014-05-24 13:55,25.26
PAUT,2014-05-24 14:55,27.04
PAUT,2014-05-24 15:55,27.93
PAUT,2014-05-24 16:55,27.93
PAUT,2014-05-24 17:55,28.84
PAUT,2014-05-24 18:55,30.23
PAUT,2014-05-24 19:55,31.12
PAUT,2014-05-24 20:55,32.48
PAUT,2014-05-24 21:55,34.48
PAUT,2014-05-24 22:55,35.38
PAUT,2014-05-24 23:55,35.15
PAUT,2014-05-25 00:55,34.93
PAUT,2014-05-25 01:55,35.94
PAUT,2014-05-25 02:55,36.05
PAUT,2014-05-25 03:55,34.03
PAUT,2014-05-25 04:55,33.59
PAUT,2014-05-25 05:55,39.20
PAUT,2014-05-25 06:55,39.20
PAUT,2014-05-25 07:55,39.20
PAUT,2014-05-25 08:55,34.64
PAUT,2014-05-25 09:55,34.95
PAUT,2014-05-25 10:55,33.43
PAUT,2014-05-25 11:55,34.09
PAUT,2014-05-25 12:55,32.31
PAUT,2014-05-25 13:55,32.48
PAUT,2014-05-25 14:55,31.79
PAUT,2014-05-25 15:55,34.09
PAUT,2014-05-25 16:55,33.81
PAUT,2014-05-25 17:55,33.80
PAUT,2014-05-25 18:55,34.93
PAUT,2014-05-25 19:55,33.32
PAUT,2014-05-25 20:55,35.25
PAUT,2014-05-25 21:55,38.00
PAUT,2014-05-25 22:55,38.03
PAUT,2014-05-25 23:55,37.28
PAUT,2014-05-26 00:55,37.08
PAUT,2014-05-26 01:55,36.24
PAUT,2014-05-26 02:55,34.46
PAUT,2014-05-26 03:55,35.01
PAUT,2014-05-26 04:55,34.46
PAUT,2014-05-26 05:55,33.99
PAUT,2014-05-26 06:55,33.52
PAUT,2014-05-26 07:55,33.01
PAUT,2014-05-26 08:55,33.48
PAUT,2014-05-26 09:55,34.43
PAUT,2014-05-26 10:55,35.95
PAUT,2014-05-26 11:55,35.95
