station,valid,feel
PAVA,2009-02-10 21:57,-40.94
PAVA,2009-02-10 22:57,-37.44
PAVA,2009-02-11 09:57,-25.79
PAVA,2009-02-11 11:56,-23.41
PAVA,2009-02-11 12:57,-19.41
PAVA,2009-02-11 13:57,-16.99
PAVA,2009-02-11 14:57,-10.50
PAVA,2009-02-11 15:57,-8.05
PAVA,2009-02-11 16:57,-13.91
PAVA,2009-02-11 18:57,-12.96
PAVA,2009-02-11 19:57,-9.35
PAVA,2009-02-11 21:57,-8.31
PAVA,2009-02-11 22:57,-11.43
PAVA,2009-02-12 01:57,-13.15
PAVA,2009-02-12 03:57,-16.22
PAVA,2009-02-12 04:57,-17.12
PAVA,2009-02-12 06:57,-15.06
PAVA,2009-02-12 07:57,-10.96
PAVA,2009-02-12 09:57,-4.05
PAVA,2009-02-12 10:57,2.25
PAVA,2009-02-12 13:57,5.09
PAVA,2009-02-12 14:57,2.64
PAVA,2009-02-12 16:57,8.35
PAVA,2009-02-13 03:57,11.10
PAVA,2009-02-13 06:57,14.86
PAVA,2009-02-13 09:57,16.10
PAVA,2009-02-13 14:57,20.89
PAVA,2009-02-13 15:57,20.08
PAVA,2009-02-13 16:57,19.35
PAVA,2009-02-13 17:57,18.19
PAVA,2009-02-13 18:57,15.59
PAVA,2009-02-13 19:57,13.17
PAVA,2009-02-13 20:57,13.78
PAVA,2009-02-13 21:57,15.59
PAVA,2009-02-13 22:57,18.55
PAVA,2009-02-14 00:57,20.46
PAVA,2009-02-14 01:57,18.55
PAVA,2009-02-14 02:57,13.09
PAVA,2009-02-14 03:57,12.60
PAVA,2009-02-14 04:57,16.01
PAVA,2009-02-14 05:57,17.60
PAVA,2009-02-14 07:57,-6.56
PAVA,2009-02-14 13:57,-16.66
PAVA,2009-02-14 16:57,-16.21
PAVA,2009-02-14 18:57,-6.98
PAVA,2009-02-14 19:57,-6.98
PAVA,2009-02-14 21:57,-4.11
PAVA,2009-02-14 22:57,-0.49
PAVA,2009-02-15 00:57,-11.65
PAVA,2009-02-15 01:57,-11.65
PAVA,2009-02-15 03:57,-10.96
PAVA,2009-02-15 04:57,-12.80
PAVA,2009-02-15 06:57,-14.81
PAVA,2009-02-15 08:57,-11.51
PAVA,2009-02-15 10:57,-17.00
PAVA,2009-02-16 20:57,-29.57
PAVA,2009-02-16 21:57,-34.19
PAVA,2009-02-16 22:57,-29.35
PAVA,2009-02-17 00:57,-26.39
PAVA,2009-02-17 01:57,-34.16
PAVA,2009-02-17 02:57,-37.43
PAVA,2009-02-17 03:57,-36.84
PAVA,2009-02-17 06:57,-38.98
PAVA,2009-02-17 07:57,-40.15
PAVA,2009-02-17 08:57,-30.73
PAVA,2009-02-17 09:57,-41.50
PAVA,2009-02-17 10:57,-39.42
PAVA,2009-02-17 11:57,-40.84
PAVA,2009-02-17 12:57,-42.72
PAVA,2009-02-17 13:57,-35.14
PAVA,2009-02-17 14:57,-40.05
PAVA,2009-02-17 15:57,-42.00
PAVA,2009-02-17 16:57,-40.36
PAVA,2009-02-17 18:57,-39.46
PAVA,2009-02-17 19:57,-42.00
PAVA,2009-02-17 20:57,-34.95
PAVA,2009-02-17 21:57,-36.84
PAVA,2009-02-17 22:57,-37.44
PAVA,2009-02-17 23:57,-38.04
PAVA,2009-02-18 00:57,-40.63
PAVA,2009-02-18 01:57,-37.44
PAVA,2009-02-18 02:57,-36.86
PAVA,2009-02-18 03:57,-35.97
PAVA,2009-02-18 11:56,-25.72
PAVA,2009-02-18 11:57,-25.72
PAVA,2009-02-18 15:57,-10.54
PAVA,2009-02-18 16:57,1.06
PAVA,2009-02-18 18:57,12.68
PAVA,2009-02-18 23:56,19.14
PAVA,2009-02-19 00:57,20.08
PAVA,2009-02-19 01:57,19.44
PAVA,2009-02-19 10:57,14.72
PAVA,2009-02-19 15:57,10.53
PAVA,2009-02-19 16:57,7.90
PAVA,2009-02-19 17:57,6.08
PAVA,2009-02-19 18:57,6.45
PAVA,2009-02-19 19:57,6.08
PAVA,2009-02-19 20:57,9.35
PAVA,2009-02-19 21:57,11.29
PAVA,2009-02-19 22:57,12.73
PAVA,2009-02-19 23:57,14.72
PAVA,2009-02-20 00:57,12.35
PAVA,2009-02-20 01:57,10.90
PAVA,2009-02-20 02:57,8.28
PAVA,2009-02-20 03:57,6.52
PAVA,2009-02-20 04:57,3.63
PAVA,2009-02-20 05:57,2.48
PAVA,2009-02-20 06:57,1.11
PAVA,2009-02-20 07:57,-0.91
PAVA,2009-02-20 08:57,-2.90
PAVA,2009-02-20 09:57,-2.90
PAVA,2009-02-20 10:57,-2.31
PAVA,2009-02-20 11:57,-6.00
PAVA,2009-02-20 12:57,-4.05
PAVA,2009-02-20 15:57,-1.86
PAVA,2009-02-20 16:57,0.40
PAVA,2009-02-20 18:57,8.10
PAVA,2009-02-20 19:57,-5.69
PAVA,2009-02-20 21:57,4.57
PAVA,2009-02-20 22:57,4.57
PAVA,2009-02-20 23:56,15.80
PAVA,2009-02-20 23:57,15.10
PAVA,2009-02-21 00:57,21.00
PAVA,2009-02-21 01:57,4.00
PAVA,2009-02-21 02:57,-0.12
PAVA,2009-02-21 03:57,-9.35
PAVA,2009-02-21 04:57,-11.61
PAVA,2009-02-21 06:57,-4.46
PAVA,2009-02-21 07:57,-9.13
PAVA,2009-02-21 09:57,-6.60
PAVA,2009-02-21 10:57,-8.47
PAVA,2009-02-21 12:57,-7.00
PAVA,2009-02-21 13:57,-4.77
PAVA,2009-02-21 16:57,-4.74
PAVA,2009-02-22 21:57,19.79
PAVA,2009-02-23 03:57,M
PAVA,2009-02-23 04:57,M
PAVA,2009-02-23 06:57,M
PAVA,2009-02-23 07:57,19.54
PAVA,2009-02-23 09:57,20.60
PAVA,2009-02-23 10:57,21.20
PAVA,2009-02-23 11:57,21.20
PAVA,2009-02-23 12:57,20.32
PAVA,2009-02-23 13:57,20.08
PAVA,2009-02-23 14:57,20.08
PAVA,2009-02-23 15:57,20.08
PAVA,2009-02-23 16:57,20.42
PAVA,2009-02-23 18:57,17.41
PAVA,2009-02-23 19:57,16.15
PAVA,2009-02-23 20:57,16.15
PAVA,2009-02-23 21:57,18.55
PAVA,2009-02-23 22:57,19.08
PAVA,2009-02-23 23:57,19.94
PAVA,2009-02-24 00:57,19.08
PAVA,2009-02-24 01:57,17.41
PAVA,2009-02-24 02:57,16.18
PAVA,2009-02-24 03:57,12.48
PAVA,2009-02-24 04:57,11.09
PAVA,2009-02-24 05:57,9.70
