station,valid,feel
PAXK,1993-01-01 01:00,2.55
PAXK,1993-01-01 03:00,2.55
PAXK,1993-01-01 05:00,-10.67
PAXK,1993-01-01 17:00,-1.12
PAXK,1993-01-01 18:00,M
PAXK,1993-01-01 19:00,-6.71
PAXK,1993-01-01 22:00,10.94
PAXK,1993-01-01 23:00,11.84
PAXK,1993-01-02 03:00,15.98
PAXK,1993-01-02 05:00,11.40
PAXK,1993-01-02 16:00,8.96
PAXK,1993-01-02 17:00,1.52
PAXK,1993-01-03 16:00,-28.98
PAXK,1993-01-03 17:00,-30.07
PAXK,1993-01-03 18:00,-32.71
PAXK,1993-01-03 19:00,-32.65
PAXK,1993-01-03 23:00,-30.78
PAXK,1993-01-04 03:00,-25.06
PAXK,1993-01-04 05:00,-23.08
PAXK,1993-01-04 16:00,-22.34
PAXK,1993-01-04 17:00,-18.23
PAXK,1993-01-04 18:00,-7.06
PAXK,1993-01-04 19:00,-5.08
PAXK,1993-01-04 22:00,-2.18
PAXK,1993-01-04 23:00,5.90
PAXK,1993-01-05 01:00,9.86
PAXK,1993-01-05 03:00,-1.13
PAXK,1993-01-05 16:00,1.94
PAXK,1993-01-05 17:00,3.92
PAXK,1993-01-05 18:00,0.09
PAXK,1993-01-05 22:00,12.92
PAXK,1993-01-05 23:00,8.11
PAXK,1993-01-06 01:00,-1.13
PAXK,1993-01-06 03:00,-0.97
PAXK,1993-01-06 05:00,0.10
PAXK,1993-01-06 16:00,13.34
PAXK,1993-01-06 17:00,13.14
PAXK,1993-01-06 18:00,14.42
PAXK,1993-01-06 19:00,13.39
PAXK,1993-01-06 22:00,17.96
PAXK,1993-01-06 23:00,14.91
PAXK,1993-01-07 01:00,23.90
PAXK,1993-01-07 05:00,21.92
PAXK,1993-01-07 16:00,-6.95
PAXK,1993-01-07 17:00,-6.99
PAXK,1993-01-07 22:00,-3.10
PAXK,1993-01-07 23:00,-11.44
PAXK,1993-01-08 03:00,-6.95
PAXK,1993-01-08 05:00,5.00
PAXK,1993-01-08 16:00,-7.68
PAXK,1993-01-08 17:00,5.00
PAXK,1993-01-08 18:00,-9.30
PAXK,1993-01-08 19:00,-6.91
PAXK,1993-01-08 22:00,1.12
PAXK,1993-01-08 23:00,8.96
PAXK,1993-01-09 03:00,9.86
PAXK,1993-01-09 05:00,10.94
PAXK,1993-01-09 16:00,16.88
PAXK,1993-01-09 17:00,16.88
PAXK,1993-01-09 18:00,16.88
PAXK,1993-01-09 19:00,16.88
PAXK,1993-01-09 22:00,4.38
PAXK,1993-01-10 03:00,7.32
PAXK,1993-01-10 05:00,5.02
PAXK,1993-01-10 16:00,-12.92
PAXK,1993-01-10 17:00,-9.30
PAXK,1993-01-10 18:00,-17.79
PAXK,1993-01-11 01:00,-23.63
PAXK,1993-01-11 03:00,-26.44
PAXK,1993-01-11 16:00,-21.73
PAXK,1993-01-11 17:00,-19.12
PAXK,1993-01-12 05:00,-7.06
PAXK,1993-01-12 16:00,-21.77
PAXK,1993-01-12 17:00,-24.70
PAXK,1993-01-12 18:00,-27.77
PAXK,1993-01-12 19:00,-27.77
PAXK,1993-01-12 22:00,-7.06
PAXK,1993-01-12 23:00,-21.73
PAXK,1993-01-13 01:00,-17.14
PAXK,1993-01-13 03:00,-13.00
PAXK,1993-01-13 05:00,-29.61
PAXK,1993-01-13 16:00,2.84
PAXK,1993-01-13 17:00,3.92
PAXK,1993-01-13 18:00,5.90
PAXK,1993-01-13 19:00,6.98
PAXK,1993-01-13 22:00,8.96
PAXK,1993-01-13 23:00,8.96
PAXK,1993-01-14 01:00,9.86
PAXK,1993-01-14 03:00,4.61
PAXK,1993-01-14 16:00,14.21
PAXK,1993-01-14 17:00,15.47
PAXK,1993-01-14 18:00,12.11
PAXK,1993-01-14 23:00,1.69
PAXK,1993-01-15 03:00,-3.32
PAXK,1993-01-15 05:00,-8.94
PAXK,1993-01-15 16:00,-21.28
PAXK,1993-01-15 17:00,-18.23
PAXK,1993-01-15 18:00,-19.69
PAXK,1993-01-15 19:00,-1.12
PAXK,1993-01-15 22:00,1.94
PAXK,1993-01-15 23:00,-22.83
PAXK,1993-01-16 01:00,-8.24
PAXK,1993-01-16 03:00,-19.13
PAXK,1993-01-16 05:00,-17.83
PAXK,1993-01-16 16:00,5.64
PAXK,1993-01-16 17:00,2.45
PAXK,1993-01-18 05:00,17.96
PAXK,1993-01-18 16:00,16.88
PAXK,1993-01-18 17:00,17.96
PAXK,1993-01-18 18:00,11.02
PAXK,1993-01-18 19:00,7.45
PAXK,1993-01-19 03:00,-16.08
PAXK,1993-01-19 05:00,-21.05
PAXK,1993-01-19 16:00,-21.89
PAXK,1993-01-19 17:00,-22.18
PAXK,1993-01-19 18:00,-22.67
PAXK,1993-01-19 19:00,-22.18
PAXK,1993-01-19 22:00,-18.56
PAXK,1993-01-19 23:00,-17.79
PAXK,1993-01-20 03:00,-13.70
PAXK,1993-01-20 05:00,-26.57
PAXK,1993-01-20 16:00,-25.20
PAXK,1993-01-20 18:00,-27.05
PAXK,1993-01-20 19:00,-28.98
PAXK,1993-01-20 22:00,-28.98
PAXK,1993-01-21 01:00,-31.32
PAXK,1993-01-21 03:00,-30.21
PAXK,1993-01-21 05:00,-34.82
PAXK,1993-01-21 16:00,-37.12
PAXK,1993-01-21 17:00,-41.30
PAXK,1993-01-21 18:00,-42.41
PAXK,1993-01-21 19:00,-38.42
PAXK,1993-01-21 22:00,M
PAXK,1993-01-21 23:00,-45.58
PAXK,1993-01-22 03:00,-38.86
PAXK,1993-01-22 05:00,-35.09
PAXK,1993-01-22 16:00,-17.14
PAXK,1993-01-22 17:00,-36.04
PAXK,1993-01-22 18:00,-40.54
PAXK,1993-01-22 19:00,-37.53
PAXK,1993-01-22 22:00,-43.62
PAXK,1993-01-23 01:00,-42.41
PAXK,1993-01-23 03:00,-44.75
PAXK,1993-01-23 05:00,-37.78
PAXK,1993-01-23 18:00,M
PAXK,1993-01-23 19:00,M
PAXK,1993-01-23 22:00,-29.02
PAXK,1993-01-23 23:00,-25.06
PAXK,1993-01-24 03:00,M
PAXK,1993-01-24 05:00,M
PAXK,1993-01-24 16:00,M
PAXK,1993-01-24 17:00,M
PAXK,1993-01-24 18:00,M
PAXK,1993-01-24 19:00,M
PAXK,1993-01-24 22:00,-32.08
PAXK,1993-01-24 23:00,-26.14
PAXK,1993-01-25 01:00,-29.02
PAXK,1993-01-25 03:00,-34.06
PAXK,1993-01-25 16:00,M
PAXK,1993-01-26 05:00,-47.96
PAXK,1993-01-26 16:00,-20.02
PAXK,1993-01-26 17:00,-24.16
PAXK,1993-01-26 18:00,-27.04
PAXK,1993-01-26 19:00,-28.12
PAXK,1993-01-26 22:00,-26.25
PAXK,1993-01-26 23:00,-28.33
PAXK,1993-01-27 01:00,-9.04
PAXK,1993-01-27 03:00,-12.10
PAXK,1993-01-27 05:00,-8.14
PAXK,1993-01-27 16:00,0.10
PAXK,1993-01-27 17:00,2.45
PAXK,1993-01-27 18:00,2.55
PAXK,1993-01-27 19:00,1.52
PAXK,1993-01-27 22:00,10.37
PAXK,1993-01-27 23:00,7.45
PAXK,1993-01-28 01:00,3.05
PAXK,1993-01-28 03:00,1.52
PAXK,1993-01-28 05:00,2.55
PAXK,1993-01-28 16:00,9.14
PAXK,1993-01-28 18:00,9.14
PAXK,1993-01-28 19:00,10.37
PAXK,1993-01-28 22:00,13.39
PAXK,1993-01-28 23:00,19.22
PAXK,1993-01-29 01:00,15.47
PAXK,1993-01-29 03:00,9.72
PAXK,1993-01-29 16:00,-4.80
PAXK,1993-01-29 17:00,-2.21
PAXK,1993-01-29 18:00,-5.60
PAXK,1993-01-29 19:00,-9.45
PAXK,1993-01-29 22:00,-15.03
PAXK,1993-01-29 23:00,-15.62
PAXK,1993-01-30 03:00,-13.64
PAXK,1993-01-30 15:00,-17.67
PAXK,1993-01-30 17:00,-27.29
PAXK,1993-01-30 18:00,-22.89
PAXK,1993-01-30 19:00,-21.74
PAXK,1993-01-31 01:00,-26.44
PAXK,1993-01-31 03:00,-24.08
PAXK,1993-01-31 05:00,-26.44
PAXK,1993-01-31 16:00,-29.09
PAXK,1993-01-31 17:00,-31.01
PAXK,1993-01-31 18:00,-23.53
PAXK,1993-01-31 22:00,-17.20
PAXK,1993-01-31 23:00,-27.52
PAXK,1993-02-01 01:00,-30.21
PAXK,1993-02-01 03:00,-34.82
PAXK,1993-02-01 05:00,-37.59
PAXK,1993-02-01 16:00,-42.51
PAXK,1993-02-01 17:00,-43.62
PAXK,1993-02-01 18:00,-42.41
PAXK,1993-02-01 22:00,-49.94
PAXK,1993-02-02 03:00,-57.15
PAXK,1993-02-02 05:00,-56.15
PAXK,1993-02-02 16:00,M
PAXK,1993-02-02 17:00,M
PAXK,1993-02-02 18:00,M
PAXK,1993-02-02 19:00,M
PAXK,1993-02-02 22:00,M
PAXK,1993-02-02 23:00,-22.00
PAXK,1993-02-03 01:00,-28.12
PAXK,1993-02-03 03:00,-52.06
PAXK,1993-02-03 05:00,-33.16
PAXK,1993-02-03 16:00,-36.67
PAXK,1993-02-03 17:00,-41.37
PAXK,1993-02-03 18:00,-49.60
PAXK,1993-02-03 19:00,-52.38
PAXK,1993-02-03 22:00,-39.97
PAXK,1993-02-03 23:00,-17.14
PAXK,1993-02-04 01:00,-33.03
PAXK,1993-02-04 05:00,-34.82
PAXK,1993-02-04 17:00,-25.06
PAXK,1993-02-04 18:00,-37.12
PAXK,1993-02-04 19:00,-38.86
PAXK,1993-02-04 22:00,-36.25
PAXK,1993-02-04 23:00,-36.17
PAXK,1993-02-05 01:00,-35.09
PAXK,1993-02-05 03:00,-26.25
PAXK,1993-02-07 05:00,2.55
PAXK,1993-02-07 16:00,-23.63
PAXK,1993-02-07 17:00,-30.98
PAXK,1993-02-07 18:00,-26.56
PAXK,1993-02-07 19:00,-24.70
PAXK,1993-02-08 03:00,-17.64
PAXK,1993-02-08 05:00,-12.47
PAXK,1993-02-08 16:00,-30.07
PAXK,1993-02-08 17:00,-27.05
PAXK,1993-02-08 18:00,-19.46
PAXK,1993-02-08 19:00,-23.63
PAXK,1993-02-08 22:00,-16.36
PAXK,1993-02-08 23:00,-3.10
PAXK,1993-02-09 03:00,M
PAXK,1993-02-09 05:00,-18.19
PAXK,1993-02-09 16:00,-18.19
PAXK,1993-02-09 17:00,-22.89
PAXK,1993-02-09 19:00,-17.14
PAXK,1993-02-09 22:00,9.86
PAXK,1993-02-09 23:00,4.61
PAXK,1993-02-10 03:00,12.92
PAXK,1993-02-10 05:00,6.88
PAXK,1993-02-10 16:00,15.98
PAXK,1993-02-10 17:00,15.98
PAXK,1993-02-10 18:00,15.98
PAXK,1993-02-10 19:00,12.64
PAXK,1993-02-10 22:00,19.43
PAXK,1993-02-10 23:00,23.90
PAXK,1993-02-11 01:00,19.43
PAXK,1993-02-11 03:00,23.00
PAXK,1993-02-11 05:00,M
PAXK,1993-02-11 16:00,23.00
PAXK,1993-02-11 17:00,15.77
PAXK,1993-02-11 18:00,17.08
PAXK,1993-02-11 19:00,24.98
PAXK,1993-02-11 23:00,29.84
PAXK,1993-02-12 03:00,19.43
PAXK,1993-02-12 16:00,21.48
PAXK,1993-02-12 18:00,19.46
PAXK,1993-02-12 19:00,18.16
PAXK,1993-02-12 22:00,20.83
PAXK,1993-02-15 16:00,33.45
PAXK,1993-02-15 17:00,33.45
PAXK,1993-02-15 18:00,32.68
PAXK,1993-02-15 19:00,32.17
PAXK,1993-02-15 22:00,36.51
PAXK,1993-02-15 23:00,38.98
PAXK,1993-02-16 01:00,32.90
PAXK,1993-02-16 03:00,33.45
