station,valid,feel
PFEL,2013-06-06 14:58,37.67
PFEL,2013-06-06 15:58,38.75
PFEL,2013-06-06 16:58,39.19
PFEL,2013-06-06 17:58,36.74
PFEL,2013-06-06 18:58,35.64
PFEL,2013-06-06 19:58,35.64
PFEL,2013-06-06 20:58,35.64
PFEL,2013-06-06 21:58,35.01
PFEL,2013-06-06 22:58,37.02
PFEL,2013-06-06 23:58,35.32
PFEL,2013-06-07 00:58,35.98
PFEL,2013-06-07 01:58,37.71
PFEL,2013-06-07 02:58,40.97
PFEL,2013-06-07 03:58,42.99
PFEL,2013-06-07 04:58,42.09
PFEL,2013-06-07 05:58,43.43
PFEL,2013-06-07 06:58,39.48
PFEL,2013-06-07 07:58,40.58
PFEL,2013-06-07 08:58,41.14
PFEL,2013-06-07 09:58,36.53
PFEL,2013-06-07 10:58,41.14
PFEL,2013-06-07 11:58,38.97
PFEL,2013-06-07 12:58,37.67
PFEL,2013-06-07 13:58,35.61
PFEL,2013-06-07 14:58,35.61
PFEL,2013-06-07 15:58,39.48
PFEL,2013-06-07 16:58,42.44
PFEL,2013-06-07 17:58,35.61
PFEL,2013-06-07 18:58,38.51
PFEL,2013-06-07 19:58,36.71
PFEL,2013-06-07 20:58,37.58
PFEL,2013-06-07 21:58,32.48
PFEL,2013-06-07 22:58,33.10
PFEL,2013-06-07 23:58,34.83
PFEL,2013-06-08 00:58,33.10
PFEL,2013-06-08 01:58,43.07
PFEL,2013-06-08 02:58,41.89
PFEL,2013-06-08 03:58,40.97
PFEL,2013-06-08 04:58,38.84
PFEL,2013-06-08 05:58,37.64
PFEL,2013-06-08 06:58,38.75
PFEL,2013-06-08 07:58,37.04
PFEL,2013-06-08 08:58,37.94
PFEL,2013-06-08 09:58,37.04
PFEL,2013-06-08 10:58,29.22
PFEL,2013-06-08 11:58,30.95
PFEL,2013-06-08 12:58,35.06
PFEL,2013-06-08 13:58,35.06
PFEL,2013-06-08 14:58,32.19
PFEL,2013-06-08 15:58,30.99
PFEL,2013-06-08 16:58,28.99
PFEL,2013-06-08 17:58,28.03
PFEL,2013-06-08 18:58,27.32
PFEL,2013-06-08 19:58,28.44
PFEL,2013-06-08 21:58,29.29
PFEL,2013-06-08 22:58,28.42
PFEL,2013-06-08 23:56,28.87
PFEL,2013-06-08 23:58,29.97
PFEL,2013-06-09 00:58,30.32
PFEL,2013-06-09 01:58,29.18
PFEL,2013-06-09 02:58,31.34
PFEL,2013-06-09 03:58,31.34
PFEL,2013-06-09 04:58,34.25
PFEL,2013-06-09 05:58,33.36
PFEL,2013-06-09 06:58,30.42
PFEL,2013-06-09 07:58,35.62
PFEL,2013-06-09 08:58,32.02
PFEL,2013-06-09 09:58,27.47
PFEL,2013-06-09 10:58,27.93
PFEL,2013-06-09 11:58,26.81
PFEL,2013-06-09 12:58,27.32
PFEL,2013-06-09 13:58,27.32
PFEL,2013-06-09 14:58,24.97
PFEL,2013-06-09 15:58,25.45
PFEL,2013-06-09 16:56,26.58
PFEL,2013-06-09 16:58,25.90
PFEL,2013-06-09 17:58,28.51
PFEL,2013-06-09 18:58,29.29
PFEL,2013-06-09 19:58,27.93
PFEL,2013-06-09 20:58,26.81
PFEL,2013-06-09 21:58,28.99
PFEL,2013-06-09 22:58,28.44
PFEL,2013-06-10 00:58,27.04
PFEL,2013-06-10 01:58,25.90
PFEL,2013-06-10 02:58,29.29
PFEL,2013-06-10 03:58,29.29
PFEL,2013-06-10 04:58,29.29
PFEL,2013-06-10 05:58,29.78
PFEL,2013-06-10 06:58,29.78
PFEL,2013-06-10 07:58,27.04
PFEL,2013-06-10 08:58,32.68
PFEL,2013-06-10 09:58,32.38
PFEL,2013-06-10 10:58,33.98
PFEL,2013-06-10 11:58,31.43
PFEL,2013-06-10 12:58,32.76
PFEL,2013-06-10 13:58,32.76
PFEL,2013-06-10 14:58,34.43
PFEL,2013-06-10 15:58,30.90
PFEL,2013-06-10 16:58,32.24
PFEL,2013-06-10 17:58,35.75
PFEL,2013-06-10 18:58,35.07
PFEL,2013-06-10 19:58,26.81
PFEL,2013-06-10 20:58,29.56
PFEL,2013-06-10 21:58,30.90
PFEL,2013-06-10 22:58,30.56
PFEL,2013-06-10 23:58,29.27
PFEL,2013-06-11 00:58,32.48
PFEL,2013-06-11 01:58,33.84
PFEL,2013-06-11 02:58,42.52
PFEL,2013-06-11 03:58,37.17
PFEL,2013-06-11 04:58,37.74
PFEL,2013-06-11 05:58,38.37
PFEL,2013-06-11 06:58,35.07
PFEL,2013-06-11 07:58,32.68
PFEL,2013-06-11 08:56,30.67
PFEL,2013-06-11 08:58,29.22
PFEL,2013-06-11 09:58,29.22
PFEL,2013-06-11 10:58,27.91
PFEL,2013-06-11 12:58,28.68
PFEL,2013-06-11 13:56,29.52
PFEL,2013-06-11 13:58,27.68
PFEL,2013-06-11 14:58,29.92
PFEL,2013-06-11 15:58,29.73
PFEL,2013-06-11 17:58,31.10
PFEL,2013-06-11 18:58,35.96
PFEL,2013-06-11 19:58,32.38
PFEL,2013-06-11 20:58,32.38
PFEL,2013-06-11 21:58,32.68
PFEL,2013-06-11 22:58,32.68
PFEL,2013-06-11 23:58,32.68
PFEL,2013-06-12 00:58,33.87
PFEL,2013-06-12 01:58,33.87
PFEL,2013-06-12 02:58,43.50
PFEL,2013-06-12 03:58,37.94
PFEL,2013-06-12 04:58,41.00
PFEL,2013-06-12 05:58,42.08
PFEL,2013-06-12 06:58,39.92
PFEL,2013-06-12 07:58,42.98
PFEL,2013-06-12 08:58,44.74
PFEL,2013-06-12 09:58,42.98
PFEL,2013-06-12 10:58,38.16
PFEL,2013-06-12 11:58,35.61
PFEL,2013-06-12 12:58,42.98
PFEL,2013-06-12 13:58,40.21
PFEL,2013-06-12 14:58,41.24
PFEL,2013-06-12 15:58,45.40
PFEL,2013-06-12 16:58,53.96
PFEL,2013-06-12 17:58,57.92
PFEL,2013-06-12 18:58,64.04
PFEL,2013-06-12 19:58,64.94
PFEL,2013-06-12 20:58,66.02
PFEL,2013-06-12 21:58,68.00
PFEL,2013-06-12 22:58,69.98
PFEL,2013-06-12 23:58,70.33
PFEL,2013-06-13 00:58,70.27
PFEL,2013-06-13 01:58,71.36
PFEL,2013-06-13 02:58,72.31
PFEL,2013-06-13 03:58,73.45
PFEL,2013-06-13 04:58,72.41
PFEL,2013-06-13 05:58,71.52
PFEL,2013-06-13 06:58,68.00
PFEL,2013-06-13 07:58,64.94
PFEL,2013-06-13 08:58,62.96
PFEL,2013-06-13 09:58,64.04
PFEL,2013-06-13 10:58,64.04
PFEL,2013-06-13 11:58,64.04
PFEL,2013-06-13 12:58,64.04
PFEL,2013-06-13 13:58,64.04
PFEL,2013-06-13 14:58,64.94
PFEL,2013-06-13 15:58,66.02
PFEL,2013-06-13 16:58,68.00
PFEL,2013-06-13 17:58,66.92
PFEL,2013-06-13 18:58,68.00
PFEL,2013-06-13 19:58,69.98
PFEL,2013-06-13 20:58,69.98
PFEL,2013-06-13 21:58,71.21
PFEL,2013-06-13 22:58,70.02
PFEL,2013-06-13 23:58,70.07
PFEL,2013-06-14 00:58,71.21
PFEL,2013-06-14 01:58,71.21
PFEL,2013-06-14 02:58,72.17
PFEL,2013-06-14 03:58,71.21
PFEL,2013-06-14 04:58,72.00
