station,valid,feel
PFKW,2014-05-15 15:56,38.16
PFKW,2014-05-15 16:56,41.89
PFKW,2014-05-15 17:56,47.21
PFKW,2014-05-15 18:56,55.94
PFKW,2014-05-15 19:56,59.00
PFKW,2014-05-15 20:56,62.06
PFKW,2014-05-15 21:56,64.94
PFKW,2014-05-15 22:56,66.02
PFKW,2014-05-15 23:56,68.00
PFKW,2014-05-16 00:56,68.00
PFKW,2014-05-16 01:56,66.92
PFKW,2014-05-16 02:56,66.02
PFKW,2014-05-16 03:56,64.94
PFKW,2014-05-16 04:56,62.96
PFKW,2014-05-16 05:56,60.98
PFKW,2014-05-16 06:56,57.02
PFKW,2014-05-16 07:56,51.98
PFKW,2014-05-16 08:56,44.96
PFKW,2014-05-16 09:56,43.52
PFKW,2014-05-16 10:56,41.14
PFKW,2014-05-16 11:56,39.44
PFKW,2014-05-16 12:56,42.08
PFKW,2014-05-16 13:56,37.08
PFKW,2014-05-16 14:56,38.98
PFKW,2014-05-16 15:56,40.24
PFKW,2014-05-16 16:56,41.79
PFKW,2014-05-16 17:56,51.08
PFKW,2014-05-16 18:56,51.98
PFKW,2014-05-16 19:56,55.04
PFKW,2014-05-16 20:56,57.02
PFKW,2014-05-16 21:56,57.92
PFKW,2014-05-16 22:56,60.98
PFKW,2014-05-16 23:56,62.06
PFKW,2014-05-17 00:56,64.04
PFKW,2014-05-17 01:56,64.04
PFKW,2014-05-17 02:56,64.94
PFKW,2014-05-17 03:56,64.04
PFKW,2014-05-17 04:56,62.96
PFKW,2014-05-17 05:56,60.98
PFKW,2014-05-17 06:56,57.02
PFKW,2014-05-17 07:56,53.06
PFKW,2014-05-17 08:56,51.08
PFKW,2014-05-17 09:56,43.85
PFKW,2014-05-17 10:56,42.44
PFKW,2014-05-17 11:56,40.72
PFKW,2014-05-17 12:56,40.24
PFKW,2014-05-17 13:56,40.72
PFKW,2014-05-17 14:56,39.48
PFKW,2014-05-17 15:56,36.53
PFKW,2014-05-17 16:56,38.16
PFKW,2014-05-17 17:56,37.07
PFKW,2014-05-17 18:56,36.53
PFKW,2014-05-17 19:56,38.97
PFKW,2014-05-17 20:56,42.39
PFKW,2014-05-17 21:56,41.35
PFKW,2014-05-17 22:56,43.54
PFKW,2014-05-17 23:56,44.55
PFKW,2014-05-18 00:56,44.55
PFKW,2014-05-18 01:56,51.08
PFKW,2014-05-18 02:56,51.98
PFKW,2014-05-18 03:56,51.08
PFKW,2014-05-18 04:56,51.08
PFKW,2014-05-18 05:56,43.06
PFKW,2014-05-18 06:56,41.70
PFKW,2014-05-18 07:56,41.89
PFKW,2014-05-18 08:56,39.48
PFKW,2014-05-18 09:56,34.70
PFKW,2014-05-18 10:56,35.07
PFKW,2014-05-18 11:56,31.77
PFKW,2014-05-18 12:56,31.60
PFKW,2014-05-18 13:56,30.99
PFKW,2014-05-18 14:56,31.10
PFKW,2014-05-18 15:56,30.32
PFKW,2014-05-18 16:56,29.78
PFKW,2014-05-18 17:56,32.76
PFKW,2014-05-18 18:56,35.20
PFKW,2014-05-18 19:56,35.98
PFKW,2014-05-18 20:56,37.64
PFKW,2014-05-18 21:56,38.50
PFKW,2014-05-18 22:56,38.17
PFKW,2014-05-18 23:56,39.87
PFKW,2014-05-19 00:56,38.17
PFKW,2014-05-19 01:56,39.87
PFKW,2014-05-19 02:56,38.84
PFKW,2014-05-19 03:56,42.71
PFKW,2014-05-19 04:56,37.02
PFKW,2014-05-19 05:56,34.83
PFKW,2014-05-19 06:56,33.46
PFKW,2014-05-19 07:56,31.34
PFKW,2014-05-19 08:56,31.43
