station,valid,feel
PFNO,2011-05-26 18:12,38.98
PFNO,2011-06-07 10:58,41.50
PFNO,2011-06-07 12:58,M
PFNO,2011-08-18 16:58,45.54
PFNO,2011-08-18 17:58,53.06
PFNO,2011-08-18 18:58,57.02
PFNO,2011-08-18 19:58,60.08
PFNO,2011-08-18 20:58,62.96
PFNO,2011-08-18 21:58,64.04
PFNO,2011-08-18 22:58,66.92
PFNO,2011-08-18 23:58,66.92
PFNO,2011-08-19 00:58,68.00
PFNO,2011-08-19 01:58,68.00
PFNO,2011-08-19 02:58,66.92
PFNO,2011-08-19 03:58,68.00
PFNO,2011-08-19 04:58,66.92
PFNO,2011-08-19 05:58,64.04
PFNO,2011-08-19 06:58,59.00
PFNO,2011-08-19 07:58,55.94
PFNO,2011-08-19 08:58,51.98
PFNO,2011-08-19 09:58,51.08
PFNO,2011-08-19 10:58,43.06
PFNO,2011-08-19 11:58,41.70
PFNO,2011-08-19 12:58,40.21
PFNO,2011-08-19 13:58,40.42
PFNO,2011-08-19 14:58,41.02
PFNO,2011-08-19 15:58,40.15
PFNO,2011-08-19 16:58,43.85
PFNO,2011-08-19 17:58,53.96
PFNO,2011-08-19 18:58,57.02
PFNO,2011-08-19 19:58,59.00
PFNO,2011-08-19 20:58,62.96
PFNO,2011-08-19 21:58,64.04
PFNO,2011-08-19 22:58,66.02
PFNO,2011-08-19 23:58,66.92
PFNO,2011-08-20 00:58,68.00
PFNO,2011-08-20 01:58,68.00
PFNO,2011-08-20 02:58,68.00
PFNO,2011-08-20 03:58,68.00
PFNO,2011-08-20 04:58,66.02
PFNO,2011-08-20 05:58,64.04
PFNO,2011-08-20 06:58,60.98
PFNO,2011-08-20 07:58,57.02
PFNO,2011-08-20 08:58,51.98
PFNO,2011-08-20 09:58,51.98
PFNO,2011-08-20 10:58,45.40
PFNO,2011-08-20 11:58,45.90
PFNO,2011-08-20 12:58,42.99
PFNO,2011-08-20 13:58,40.97
PFNO,2011-08-20 14:58,42.55
PFNO,2011-08-20 15:58,42.44
PFNO,2011-08-20 16:58,48.44
PFNO,2011-08-20 17:58,53.06
PFNO,2011-08-20 18:58,57.02
PFNO,2011-08-20 19:58,62.06
PFNO,2011-08-20 20:58,66.02
PFNO,2011-08-20 21:58,66.92
PFNO,2011-08-20 22:58,69.08
PFNO,2011-08-20 23:58,68.00
PFNO,2011-08-21 00:58,68.00
PFNO,2011-08-21 01:58,66.02
PFNO,2011-08-21 02:58,64.94
PFNO,2011-08-21 03:58,60.08
PFNO,2011-08-21 04:58,57.92
PFNO,2011-08-21 05:58,57.02
PFNO,2011-08-21 06:58,55.94
PFNO,2011-08-21 07:58,53.06
PFNO,2011-08-21 08:58,51.08
PFNO,2011-08-21 09:58,44.91
PFNO,2011-08-21 10:58,43.85
PFNO,2011-08-21 11:58,42.71
PFNO,2011-08-21 12:58,42.52
PFNO,2011-08-21 13:58,42.71
PFNO,2011-08-21 14:58,41.70
PFNO,2011-08-21 15:58,42.99
PFNO,2011-08-21 16:58,42.09
PFNO,2011-08-21 17:58,41.70
PFNO,2011-08-21 18:58,42.09
PFNO,2011-08-21 19:58,44.19
PFNO,2011-08-21 20:58,43.54
PFNO,2011-08-21 21:58,45.90
PFNO,2011-08-21 22:58,44.63
PFNO,2011-08-21 23:58,51.08
PFNO,2011-08-22 00:58,42.97
PFNO,2011-08-22 01:58,45.21
PFNO,2011-08-22 02:58,44.63
PFNO,2011-08-22 03:58,44.19
PFNO,2011-08-22 04:58,42.52
