station,valid,feel
PFNU,2018-07-02 00:35,29.17
PFNU,2018-07-02 00:55,29.17
PFNU,2018-07-02 01:35,28.55
PFNU,2018-07-02 01:55,28.55
PFNU,2018-07-02 02:35,28.55
PFNU,2018-07-02 02:55,27.99
PFNU,2018-07-02 03:35,27.99
PFNU,2018-07-02 03:55,27.48
PFNU,2018-07-02 04:35,27.02
PFNU,2018-07-02 04:55,27.48
PFNU,2018-07-02 05:35,25.75
PFNU,2018-07-02 05:55,22.97
PFNU,2018-09-26 17:35,26.40
PFNU,2018-09-26 17:55,20.39
PFNU,2018-09-26 18:35,22.12
PFNU,2018-09-26 18:55,24.26
PFNU,2018-09-26 19:35,23.22
PFNU,2018-09-26 19:55,22.12
PFNU,2018-09-26 20:35,21.19
PFNU,2018-09-26 20:55,23.36
PFNU,2018-09-26 21:35,23.36
PFNU,2018-09-26 21:55,21.19
PFNU,2018-09-26 22:35,19.68
PFNU,2018-09-26 22:55,20.39
PFNU,2018-09-26 23:35,23.36
PFNU,2018-09-26 23:55,22.59
PFNU,2018-09-27 00:35,22.59
PFNU,2018-09-27 00:55,20.39
PFNU,2018-09-27 01:35,20.39
PFNU,2018-09-27 01:55,19.04
PFNU,2018-09-27 02:35,19.68
PFNU,2018-09-27 02:55,20.39
PFNU,2018-09-27 03:35,19.68
PFNU,2018-09-27 03:55,22.12
PFNU,2018-09-27 04:35,22.12
PFNU,2018-09-27 04:55,22.12
PFNU,2018-09-27 05:35,22.12
PFNU,2018-09-27 05:55,22.12
PFNU,2018-09-27 06:35,22.12
PFNU,2018-09-27 06:55,22.12
PFNU,2018-09-27 07:35,23.22
PFNU,2018-09-27 07:55,21.11
PFNU,2018-09-27 08:35,19.03
PFNU,2018-09-27 08:55,18.20
PFNU,2018-09-27 09:35,18.20
PFNU,2018-09-27 09:55,19.03
PFNU,2018-09-27 10:35,19.03
PFNU,2018-09-27 10:55,19.98
PFNU,2018-09-27 11:35,19.03
PFNU,2018-09-27 11:55,19.03
PFNU,2018-09-27 12:35,19.03
PFNU,2018-09-27 12:55,22.12
PFNU,2018-09-27 13:35,23.22
PFNU,2018-09-27 13:55,23.22
PFNU,2018-09-27 14:35,24.57
PFNU,2018-09-27 14:55,23.22
PFNU,2018-09-27 15:35,23.22
PFNU,2018-09-27 15:55,24.57
PFNU,2018-09-27 16:35,28.40
PFNU,2018-09-27 16:55,23.36
PFNU,2018-09-27 17:35,22.59
PFNU,2018-09-27 17:55,24.78
PFNU,2018-09-27 18:35,24.11
PFNU,2018-09-27 19:35,26.40
PFNU,2018-09-27 19:55,22.97
PFNU,2018-09-27 20:35,27.70
PFNU,2018-09-27 20:55,31.62
PFNU,2018-09-27 21:35,28.55
PFNU,2018-09-27 21:55,29.17
PFNU,2018-09-27 22:35,29.17
PFNU,2018-09-27 22:55,29.87
PFNU,2018-10-31 00:35,-9.95
PFNU,2018-10-31 00:55,-9.16
PFNU,2018-10-31 01:35,-8.13
PFNU,2018-10-31 01:55,-4.82
PFNU,2018-10-31 02:35,-4.82
PFNU,2018-10-31 02:55,-5.94
PFNU,2018-10-31 03:35,-4.82
PFNU,2018-10-31 03:55,-2.65
PFNU,2018-10-31 04:35,0.09
PFNU,2018-10-31 04:55,0.74
PFNU,2018-10-31 05:35,-2.65
PFNU,2018-10-31 05:55,-3.74
PFNU,2018-10-31 06:35,-2.49
PFNU,2018-10-31 06:55,-2.49
PFNU,2018-10-31 07:35,1.13
PFNU,2018-10-31 07:55,1.94
PFNU,2018-10-31 08:35,-1.86
PFNU,2018-10-31 08:55,-0.28
PFNU,2018-10-31 09:35,1.13
PFNU,2018-10-31 09:55,1.94
PFNU,2018-10-31 10:35,2.84
PFNU,2018-10-31 10:55,0.74
PFNU,2018-10-31 11:35,-4.11
PFNU,2018-10-31 11:55,-2.18
PFNU,2018-10-31 12:35,5.00
PFNU,2018-10-31 12:55,-2.18
PFNU,2018-10-31 13:35,-2.65
PFNU,2018-10-31 13:55,-3.34
PFNU,2018-10-31 14:35,1.13
PFNU,2018-10-31 14:55,-0.28
PFNU,2018-10-31 15:35,1.13
PFNU,2018-10-31 15:55,2.84
PFNU,2018-10-31 16:35,1.68
PFNU,2018-10-31 16:55,2.88
PFNU,2018-10-31 17:35,-0.28
PFNU,2018-10-31 17:55,-0.48
PFNU,2018-10-31 18:35,-1.55
PFNU,2018-10-31 18:55,0.74
PFNU,2018-10-31 19:35,0.64
PFNU,2018-10-31 19:55,-2.49
PFNU,2018-10-31 20:35,-10.33
PFNU,2018-10-31 20:55,-10.42
PFNU,2018-10-31 21:35,-22.16
PFNU,2018-10-31 21:55,-26.88
PFNU,2018-10-31 22:35,-31.32
PFNU,2018-10-31 22:55,-30.07
PFNU,2018-10-31 23:35,-20.70
PFNU,2018-10-31 23:55,-20.92
PFNU,2018-11-01 00:35,-24.33
PFNU,2018-11-01 00:55,-22.16
PFNU,2018-11-01 01:35,-22.16
PFNU,2018-11-01 01:55,-22.16
PFNU,2018-11-01 02:35,-23.49
PFNU,2018-11-01 02:55,-23.49
PFNU,2018-11-01 03:35,-16.36
PFNU,2018-11-01 03:55,-17.83
PFNU,2018-11-01 04:35,-19.10
PFNU,2018-11-01 04:55,-17.83
PFNU,2018-11-01 05:35,-18.02
PFNU,2018-11-01 05:55,-15.80
PFNU,2018-11-01 06:35,-13.58
PFNU,2018-11-01 06:55,-9.15
PFNU,2018-11-01 07:35,-2.65
PFNU,2018-11-01 07:55,-1.55
PFNU,2018-11-01 08:35,5.02
PFNU,2018-11-01 08:55,2.65
PFNU,2018-11-01 09:35,5.43
PFNU,2018-11-01 09:55,7.24
PFNU,2018-11-01 10:35,9.56
PFNU,2018-11-01 10:55,10.64
PFNU,2018-11-01 11:35,7.54
PFNU,2018-11-01 11:55,9.92
PFNU,2018-11-01 12:35,10.64
PFNU,2018-11-02 12:35,16.20
PFNU,2018-11-02 12:55,16.80
PFNU,2018-11-02 13:35,17.46
PFNU,2018-11-02 13:55,18.20
PFNU,2018-11-02 14:35,16.20
PFNU,2018-11-02 14:55,16.20
PFNU,2018-11-02 15:35,16.20
PFNU,2018-11-02 15:55,16.20
PFNU,2018-11-02 16:35,17.46
PFNU,2018-11-02 16:55,15.24
PFNU,2018-11-02 17:35,15.24
PFNU,2018-11-02 17:55,16.00
PFNU,2018-11-02 18:35,15.24
PFNU,2018-11-02 18:55,14.56
PFNU,2018-11-02 19:35,12.32
PFNU,2018-11-02 19:55,12.32
PFNU,2018-11-02 20:35,10.08
PFNU,2018-11-02 20:55,8.59
PFNU,2018-11-02 21:35,10.81
PFNU,2018-11-02 21:55,10.81
PFNU,2018-11-02 22:35,13.81
PFNU,2018-11-02 22:55,14.69
PFNU,2018-11-02 23:35,13.81
PFNU,2018-11-02 23:55,15.71
PFNU,2018-11-03 00:35,15.71
PFNU,2018-11-03 00:55,16.91
PFNU,2018-11-03 01:35,19.01
PFNU,2018-11-03 01:55,20.46
PFNU,2018-11-03 02:35,19.03
PFNU,2018-11-03 02:55,18.20
PFNU,2018-11-03 03:35,16.20
PFNU,2018-11-03 03:55,15.13
PFNU,2018-11-03 04:35,14.20
PFNU,2018-11-03 04:55,14.65
PFNU,2018-11-03 05:35,15.13
PFNU,2018-11-03 05:55,14.20
PFNU,2018-11-03 06:35,14.20
PFNU,2018-11-03 06:55,14.20
PFNU,2018-11-03 07:35,14.20
PFNU,2018-11-03 07:55,13.00
PFNU,2018-11-03 08:35,14.20
PFNU,2018-11-03 08:55,13.00
PFNU,2018-11-03 09:35,12.30
PFNU,2018-11-03 09:55,13.00
PFNU,2018-11-03 10:35,13.38
PFNU,2018-11-03 10:55,13.00
PFNU,2018-11-03 11:35,14.20
PFNU,2018-11-03 11:55,11.45
PFNU,2018-11-03 12:35,11.03
PFNU,2018-11-03 12:55,11.03
PFNU,2018-11-03 13:35,10.64
PFNU,2018-11-03 13:55,10.64
PFNU,2018-11-03 14:35,10.27
PFNU,2018-11-03 14:55,10.64
PFNU,2018-11-03 15:35,13.94
PFNU,2018-11-03 15:55,10.55
PFNU,2018-11-03 16:35,10.55
PFNU,2018-11-03 16:55,10.04
PFNU,2018-11-03 17:35,8.28
PFNU,2018-11-03 17:55,7.54
PFNU,2018-11-03 18:35,8.69
PFNU,2018-11-03 18:55,8.28
PFNU,2018-11-03 19:35,7.19
PFNU,2018-11-03 19:55,8.28
PFNU,2018-11-03 20:35,7.90
PFNU,2018-11-04 20:35,-7.22
PFNU,2018-11-04 20:55,-8.22
PFNU,2018-11-04 21:35,-8.22
PFNU,2018-11-04 21:55,-7.22
PFNU,2018-11-04 22:35,-7.74
PFNU,2018-11-04 22:55,-8.22
PFNU,2018-11-04 23:35,-9.13
PFNU,2018-11-04 23:55,-12.36
PFNU,2018-11-05 00:35,-11.05
PFNU,2018-11-05 00:55,-10.58
PFNU,2018-11-05 01:35,-10.58
PFNU,2018-11-05 01:55,-11.51
PFNU,2018-11-05 02:35,-10.35
PFNU,2018-11-05 02:55,-9.13
PFNU,2018-11-05 03:35,-9.96
PFNU,2018-11-05 03:55,-5.86
PFNU,2018-11-05 04:35,-7.55
PFNU,2018-11-05 04:55,-10.35
PFNU,2018-11-05 05:35,-8.69
PFNU,2018-11-05 05:55,-7.93
PFNU,2018-11-05 06:35,-6.22
PFNU,2018-11-05 06:55,-8.99
PFNU,2018-11-05 07:35,-8.65
PFNU,2018-11-05 07:55,-8.30
