station,valid,feel
PPNU,2018-04-19 05:55,-19.23
PPNU,2018-04-19 06:55,-20.75
PPNU,2018-04-19 07:55,-19.92
PPNU,2018-04-19 08:55,-19.01
PPNU,2018-04-19 09:55,-18.02
PPNU,2018-04-19 10:55,-19.10
PPNU,2018-04-19 11:55,-16.36
PPNU,2018-04-19 12:55,-18.50
PPNU,2018-04-19 13:55,-21.30
PPNU,2018-04-19 14:55,-17.83
PPNU,2018-04-19 15:55,-15.66
PPNU,2018-04-19 16:55,-13.49
PPNU,2018-04-19 17:55,-13.49
PPNU,2018-04-19 18:55,-15.40
PPNU,2018-04-19 19:55,-13.15
PPNU,2018-04-19 20:55,-13.64
PPNU,2018-04-19 21:55,-13.64
PPNU,2018-04-19 22:55,-11.32
PPNU,2018-04-19 23:55,-7.78
PPNU,2018-04-20 00:55,-3.34
PPNU,2018-04-20 01:55,-0.48
PPNU,2018-04-20 02:55,0.74
PPNU,2018-04-20 03:55,-7.78
PPNU,2018-04-20 04:55,-12.94
PPNU,2018-04-20 05:55,-13.64
PPNU,2018-04-20 06:55,-17.65
PPNU,2018-04-20 07:55,-20.60
PPNU,2018-04-20 08:55,-24.55
PPNU,2018-04-20 09:55,-29.88
PPNU,2018-04-20 10:55,-30.69
PPNU,2018-04-20 11:55,-32.98
PPNU,2018-04-20 12:55,-33.78
PPNU,2018-04-20 13:55,M
PPNU,2018-04-20 14:55,-35.27
PPNU,2018-04-20 15:55,-32.98
PPNU,2018-04-20 16:55,-31.47
PPNU,2018-04-20 17:55,-28.95
PPNU,2018-04-20 18:55,-27.58
PPNU,2018-04-20 19:55,-24.43
PPNU,2018-04-20 20:55,-23.82
PPNU,2018-04-20 21:55,-21.25
PPNU,2018-04-20 22:55,-19.01
PPNU,2018-04-20 23:55,-19.01
PPNU,2018-04-21 00:55,-16.91
PPNU,2018-04-21 01:55,-16.91
PPNU,2018-04-21 02:55,-15.66
PPNU,2018-04-21 03:55,-17.83
PPNU,2018-04-21 04:55,-20.63
PPNU,2018-04-21 05:55,-20.63
PPNU,2018-04-21 06:55,-20.63
PPNU,2018-04-21 07:55,-20.63
PPNU,2018-04-21 08:55,-13.00
PPNU,2018-04-21 09:55,-22.75
PPNU,2018-04-21 10:55,-31.32
PPNU,2018-04-21 11:55,-33.00
PPNU,2018-04-21 12:55,-35.17
PPNU,2018-04-21 13:55,-33.46
PPNU,2018-04-21 14:55,-35.17
PPNU,2018-04-21 15:55,-34.46
PPNU,2018-04-21 16:55,-33.00
PPNU,2018-04-21 17:55,-25.13
PPNU,2018-04-21 18:55,-26.50
PPNU,2018-04-21 19:55,-24.33
PPNU,2018-04-21 20:55,-23.49
PPNU,2018-04-21 21:55,-19.10
PPNU,2018-04-21 22:55,-20.23
PPNU,2018-04-21 23:55,-16.91
PPNU,2018-04-22 00:55,-19.01
PPNU,2018-04-22 01:55,-13.49
PPNU,2018-04-22 02:55,-15.66
PPNU,2018-04-22 03:55,-16.91
PPNU,2018-04-22 04:55,-19.10
PPNU,2018-04-22 05:55,-24.67
PPNU,2018-04-22 06:55,-23.49
PPNU,2018-04-22 07:55,-27.88
PPNU,2018-04-22 08:55,-27.88
PPNU,2018-04-22 09:55,-24.91
PPNU,2018-04-22 10:55,-23.03
PPNU,2018-04-22 11:55,-23.03
PPNU,2018-04-22 12:55,-25.13
PPNU,2018-04-22 13:55,-27.23
PPNU,2018-04-22 14:55,-11.20
PPNU,2018-04-22 15:55,-9.40
PPNU,2018-04-22 16:55,-7.60
PPNU,2018-04-22 17:55,-14.52
PPNU,2018-04-22 18:55,-4.00
PPNU,2018-04-22 19:55,-12.47
PPNU,2018-04-22 20:55,-12.52
PPNU,2018-04-22 21:55,-10.42
PPNU,2018-04-22 22:55,-12.08
PPNU,2018-04-22 23:55,-11.32
PPNU,2018-04-23 00:55,-12.52
PPNU,2018-04-23 01:55,-12.52
PPNU,2018-04-23 02:55,-13.58
PPNU,2018-04-23 03:55,-17.66
PPNU,2018-04-23 04:55,-17.66
PPNU,2018-04-23 05:55,-20.75
PPNU,2018-04-23 06:55,-26.11
PPNU,2018-04-23 07:55,-24.55
PPNU,2018-04-23 08:55,-28.40
PPNU,2018-04-23 09:55,-28.40
PPNU,2018-04-23 10:55,-30.69
PPNU,2018-04-23 11:55,-31.47
PPNU,2018-04-23 12:55,-31.47
PPNU,2018-04-23 13:55,-32.20
PPNU,2018-04-23 14:55,-29.16
