station,valid,feel,p01m
X26,2020-09-23 11:55,77.20,0.00
X26,2020-09-23 12:55,82.00,0.00
X26,2020-09-23 13:55,84.12,0.00
X26,2020-09-23 14:55,85.00,0.00
X26,2020-09-23 15:55,86.07,0.00
X26,2020-09-23 16:55,86.41,0.00
X26,2020-09-23 17:55,87.04,0.00
X26,2020-09-23 18:55,86.96,0.00
X26,2020-09-23 19:55,84.72,0.00
X26,2020-09-23 20:55,85.83,0.00
X26,2020-09-23 21:55,84.31,0.00
X26,2020-09-23 22:55,79.90,0.00
X26,2020-09-23 23:55,78.30,0.00
X26,2020-09-24 00:55,78.10,0.00
X26,2020-09-24 01:55,79.20,0.00
X26,2020-09-24 02:55,79.30,0.00
X26,2020-09-24 03:55,78.60,0.00
X26,2020-09-24 04:55,77.50,0.00
X26,2020-09-24 05:55,77.00,0.00
X26,2020-09-24 06:55,76.80,0.00
X26,2020-09-24 07:55,73.80,0.00
X26,2020-09-24 08:55,75.20,0.00
X26,2020-09-24 09:55,75.40,0.00
X26,2020-09-24 10:55,77.50,0.00
X26,2020-09-24 11:55,77.70,0.00
X26,2020-09-24 12:55,79.90,0.00
X26,2020-09-24 13:55,86.22,0.00
X26,2020-09-24 14:55,87.06,0.00
X26,2020-09-24 15:55,90.48,0.00
X26,2020-09-24 16:55,91.77,0.00
X26,2020-09-24 17:55,93.40,0.00
X26,2020-09-24 18:55,90.93,0.00
X26,2020-09-24 19:55,90.67,0.00
X26,2020-09-24 20:55,89.56,0.00
X26,2020-09-24 21:55,88.56,0.00
X26,2020-09-24 22:55,86.93,0.00
X26,2020-09-24 23:55,86.50,0.00
X26,2020-09-25 00:55,87.10,0.00
X26,2020-09-25 01:55,79.70,0.00
X26,2020-09-25 02:55,77.40,0.25
X26,2020-09-25 03:55,77.50,0.00
X26,2020-09-25 04:55,78.60,0.00
X26,2020-09-25 05:55,77.70,0.00
X26,2020-09-25 06:55,76.30,0.00
X26,2020-09-25 07:55,75.20,0.00
X26,2020-09-25 08:55,75.00,0.00
X26,2020-09-25 09:55,74.80,0.00
X26,2020-09-25 10:55,74.50,0.00
X26,2020-09-25 11:55,75.70,0.00
X26,2020-09-25 12:55,87.83,0.00
X26,2020-09-25 13:55,92.73,0.00
X26,2020-09-25 14:55,95.37,0.00
X26,2020-09-25 15:55,96.06,0.00
X26,2020-09-25 16:55,93.61,0.00
X26,2020-09-25 17:55,79.00,1.27
X26,2020-09-25 18:55,76.50,0.51
X26,2020-09-25 19:55,77.70,1.52
X26,2020-09-25 20:55,77.00,2.54
X26,2020-09-25 21:55,77.50,2.54
X26,2020-09-25 22:55,77.70,2.03
X26,2020-09-25 23:55,77.40,1.78
X26,2020-09-26 00:55,77.20,1.78
X26,2020-09-26 01:55,75.90,2.03
X26,2020-09-26 02:55,75.00,2.03
X26,2020-09-26 03:55,74.50,1.78
X26,2020-09-26 04:55,74.10,1.78
X26,2020-09-26 05:55,73.80,1.78
X26,2020-09-26 06:55,73.40,1.52
X26,2020-09-26 07:55,72.70,1.27
X26,2020-09-26 08:55,72.50,1.27
X26,2020-09-26 09:55,72.30,0.76
X26,2020-09-26 10:55,72.00,0.76
X26,2020-09-26 11:55,72.90,0.76
X26,2020-09-26 12:55,76.80,0.51
X26,2020-09-26 13:55,86.00,0.51
X26,2020-09-26 14:55,91.00,0.51
X26,2020-09-26 15:55,96.27,1.02
X26,2020-09-26 16:55,96.27,1.02
X26,2020-09-26 17:55,99.62,1.02
X26,2020-09-26 18:55,98.76,0.76
X26,2020-09-26 19:55,94.94,1.02
X26,2020-09-26 20:55,97.24,1.02
X26,2020-09-26 21:55,92.45,0.76
X26,2020-09-26 22:55,90.55,1.02
X26,2020-09-26 23:55,88.44,1.02
X26,2020-09-27 00:55,89.10,0.76
X26,2020-09-27 01:55,88.29,0.76
X26,2020-09-27 02:55,87.41,0.76
X26,2020-09-27 03:55,77.90,0.51
X26,2020-09-27 04:55,77.20,0.51
X26,2020-09-27 05:55,76.60,0.51
X26,2020-09-27 06:55,75.40,0.51
X26,2020-09-27 07:55,75.40,0.25
X26,2020-09-27 08:55,74.70,0.25
X26,2020-09-27 09:55,73.90,0.25
X26,2020-09-27 10:55,74.70,0.51
X26,2020-09-27 11:55,76.50,0.25
X26,2020-09-27 12:55,88.43,0.25
X26,2020-09-27 13:55,93.46,0.00
X26,2020-09-27 14:55,96.82,0.25
X26,2020-09-27 15:55,99.97,0.00
X26,2020-09-27 16:55,95.52,0.25
X26,2020-09-27 17:55,97.77,0.00
X26,2020-09-27 18:55,95.92,0.00
X26,2020-09-27 19:55,97.72,0.00
X26,2020-09-27 20:55,94.34,0.00
X26,2020-09-27 21:55,92.58,0.00
X26,2020-09-27 22:55,90.49,0.00
X26,2020-09-27 23:55,89.62,0.00
X26,2020-09-28 00:55,89.33,0.00
X26,2020-09-28 01:55,89.62,0.00
X26,2020-09-28 02:55,88.69,0.00
X26,2020-09-28 03:55,88.46,0.00
X26,2020-09-28 04:55,88.69,0.00
X26,2020-09-28 05:55,87.38,0.00
X26,2020-09-28 06:55,87.38,0.00
X26,2020-09-28 07:55,87.27,0.00
X26,2020-09-28 08:55,86.55,0.00
X26,2020-09-28 09:55,86.26,0.00
X26,2020-09-28 10:55,78.60,0.00
X26,2020-09-28 11:55,78.80,0.00
X26,2020-09-28 12:55,88.30,0.00
X26,2020-09-28 13:55,92.62,0.00
X26,2020-09-28 14:55,94.62,0.00
X26,2020-09-28 15:55,97.54,0.00
X26,2020-09-28 16:55,96.76,0.00
X26,2020-09-28 17:55,97.39,0.00
X26,2020-09-28 18:55,94.30,0.00
X26,2020-09-28 19:55,90.32,0.25
X26,2020-09-28 20:55,93.65,0.00
X26,2020-09-28 21:55,91.99,0.00
X26,2020-09-28 22:55,79.00,0.00
X26,2020-09-28 23:55,77.20,0.00
X26,2020-09-29 00:55,75.60,0.00
X26,2020-09-29 01:55,76.80,0.00
X26,2020-09-29 02:55,77.20,0.00
X26,2020-09-29 03:55,78.30,0.00
X26,2020-09-29 04:55,77.40,0.00
X26,2020-09-29 05:55,76.60,0.00
