station,valid,feel,p01m
XNO,2017-11-02 11:56,55.90,0.00
XNO,2017-11-02 12:56,59.00,0.00
XNO,2017-11-02 13:56,63.70,0.00
XNO,2017-11-02 14:56,71.80,0.00
XNO,2017-11-02 15:56,75.70,0.00
XNO,2017-11-02 16:56,75.70,0.00
XNO,2017-11-02 17:56,77.70,0.00
XNO,2017-11-02 18:56,75.90,0.00
XNO,2017-11-02 19:56,78.60,0.00
XNO,2017-11-02 20:56,78.30,0.00
XNO,2017-11-02 21:56,75.90,0.00
XNO,2017-11-02 22:56,68.70,0.00
XNO,2017-11-02 23:56,65.10,0.00
XNO,2017-11-03 00:56,62.80,0.00
XNO,2017-11-03 01:56,59.90,0.00
XNO,2017-11-03 02:56,58.80,0.00
XNO,2017-11-03 03:56,56.70,0.00
XNO,2017-11-03 04:56,55.60,0.00
XNO,2017-11-03 05:56,54.50,0.00
XNO,2017-11-03 06:56,53.60,0.00
XNO,2017-11-03 07:56,51.80,0.00
XNO,2017-11-03 08:56,52.20,0.00
XNO,2017-11-03 09:56,51.80,0.00
XNO,2017-11-03 10:56,52.00,0.00
XNO,2017-11-03 11:56,51.60,0.00
XNO,2017-11-03 12:56,55.20,0.00
XNO,2017-11-03 13:56,66.20,0.00
XNO,2017-11-03 14:56,73.00,0.00
XNO,2017-11-03 15:56,76.80,0.00
XNO,2017-11-03 16:56,79.90,0.00
XNO,2017-11-03 17:56,81.30,0.00
XNO,2017-11-03 18:56,81.90,0.00
XNO,2017-11-03 19:56,81.59,0.00
XNO,2017-11-03 20:56,82.40,0.00
XNO,2017-11-03 21:56,80.25,0.00
XNO,2017-11-03 22:56,72.10,0.00
XNO,2017-11-03 23:56,69.60,0.00
XNO,2017-11-04 00:56,66.70,0.00
XNO,2017-11-04 01:56,64.40,0.00
XNO,2017-11-04 02:56,62.60,0.00
XNO,2017-11-04 03:56,61.30,0.00
XNO,2017-11-04 04:56,59.70,0.00
XNO,2017-11-04 05:56,58.80,0.00
XNO,2017-11-04 06:56,58.30,0.00
XNO,2017-11-04 07:56,57.70,0.00
XNO,2017-11-04 08:56,56.70,0.00
XNO,2017-11-04 09:56,56.30,0.00
XNO,2017-11-04 10:56,55.90,0.00
XNO,2017-11-04 11:56,55.00,0.00
XNO,2017-11-04 12:56,59.70,0.00
XNO,2017-11-04 13:56,67.60,0.00
XNO,2017-11-04 14:56,75.60,0.00
XNO,2017-11-04 15:56,79.90,0.00
XNO,2017-11-04 16:56,81.53,0.00
XNO,2017-11-04 17:56,82.40,0.00
XNO,2017-11-04 18:56,82.90,0.00
XNO,2017-11-04 19:56,82.40,0.00
XNO,2017-11-04 20:56,81.90,0.00
XNO,2017-11-04 21:56,77.70,0.00
XNO,2017-11-04 22:56,74.50,0.00
XNO,2017-11-04 23:56,74.70,0.00
XNO,2017-11-05 00:56,71.60,0.00
XNO,2017-11-05 01:56,67.80,0.00
XNO,2017-11-05 02:56,65.80,0.00
XNO,2017-11-05 03:56,63.90,0.00
XNO,2017-11-05 04:56,62.40,0.00
XNO,2017-11-05 05:56,61.90,0.00
XNO,2017-11-05 06:56,64.20,0.00
XNO,2017-11-05 07:56,64.80,0.00
XNO,2017-11-05 08:56,64.80,0.00
XNO,2017-11-05 09:56,63.50,0.00
XNO,2017-11-05 10:56,63.50,0.00
XNO,2017-11-05 11:56,63.50,0.00
XNO,2017-11-05 12:56,63.50,0.00
XNO,2017-11-05 13:56,63.10,0.00
XNO,2017-11-05 14:56,63.90,0.00
XNO,2017-11-05 15:56,64.20,0.00
XNO,2017-11-05 16:56,65.80,0.00
XNO,2017-11-05 17:56,67.10,0.00
XNO,2017-11-05 18:56,70.00,0.00
XNO,2017-11-05 19:56,71.80,0.00
XNO,2017-11-05 20:56,72.10,0.00
XNO,2017-11-05 21:56,70.90,0.00
XNO,2017-11-05 22:56,63.50,0.00
XNO,2017-11-05 23:56,63.70,0.00
XNO,2017-11-06 00:56,63.50,0.00
XNO,2017-11-06 01:56,57.60,0.00
XNO,2017-11-06 02:56,58.10,0.00
XNO,2017-11-06 03:56,56.10,0.00
XNO,2017-11-06 04:56,54.90,0.00
XNO,2017-11-06 05:56,53.20,0.00
XNO,2017-11-06 06:56,53.40,0.00
XNO,2017-11-06 07:56,52.00,0.00
XNO,2017-11-06 08:56,52.20,0.00
XNO,2017-11-06 09:56,51.80,0.00
XNO,2017-11-06 10:56,52.70,0.00
XNO,2017-11-06 11:56,53.10,0.00
XNO,2017-11-06 12:56,54.10,0.00
XNO,2017-11-06 13:56,57.20,0.00
XNO,2017-11-06 15:56,64.20,0.00
XNO,2017-11-06 16:56,72.90,0.00
XNO,2017-11-06 17:56,76.10,0.00
XNO,2017-11-06 18:56,78.10,0.00
XNO,2017-11-06 19:56,78.10,0.00
XNO,2017-11-06 20:56,80.40,0.00
XNO,2017-11-06 21:56,77.90,0.00
XNO,2017-11-06 22:56,71.20,0.00
XNO,2017-11-06 23:56,66.90,0.00
XNO,2017-11-07 00:56,66.40,0.00
XNO,2017-11-07 01:56,64.60,0.00
XNO,2017-11-07 02:56,64.20,0.00
XNO,2017-11-07 03:56,64.40,0.00
XNO,2017-11-07 04:56,64.40,0.00
XNO,2017-11-07 05:56,62.80,0.00
XNO,2017-11-07 06:56,62.60,0.00
XNO,2017-11-07 07:56,61.50,0.00
XNO,2017-11-07 08:56,60.10,0.00
XNO,2017-11-07 09:56,59.70,0.00
XNO,2017-11-07 10:56,60.30,0.00
XNO,2017-11-07 11:56,58.30,0.00
XNO,2017-11-07 12:56,61.00,0.00
XNO,2017-11-07 13:56,64.60,0.00
XNO,2017-11-07 14:56,73.00,0.00
XNO,2017-11-07 15:56,79.20,0.00
XNO,2017-11-07 16:56,80.99,0.00
XNO,2017-11-07 17:56,80.53,0.00
XNO,2017-11-07 18:56,81.78,0.00
XNO,2017-11-07 19:56,81.33,0.00
XNO,2017-11-07 21:56,80.25,0.00
XNO,2017-11-07 22:56,76.60,0.00
XNO,2017-11-07 23:56,73.40,0.00
XNO,2017-11-08 00:56,72.10,0.00
XNO,2017-11-08 01:56,70.30,0.00
XNO,2017-11-08 02:56,69.30,0.00
XNO,2017-11-08 03:56,67.10,0.00
XNO,2017-11-08 04:56,69.40,0.00
XNO,2017-11-08 05:56,66.00,0.00
XNO,2017-11-08 06:56,65.10,0.00
XNO,2017-11-08 07:56,67.60,0.00
XNO,2017-11-08 08:56,67.30,0.00
XNO,2017-11-08 09:56,65.10,0.00
XNO,2017-11-08 10:56,65.50,0.00
XNO,2017-11-08 11:56,58.80,0.00
XNO,2017-11-08 12:56,55.00,0.00
