station,valid,feel,p01m
XWA,2019-10-13 02:52,26.97,0.00
XWA,2019-10-13 03:52,23.51,0.00
XWA,2019-10-13 09:52,13.94,0.00
XWA,2019-10-13 10:52,13.94,0.00
XWA,2019-10-13 11:52,13.94,0.00
XWA,2019-10-13 12:52,13.94,0.00
XWA,2019-10-13 13:52,13.94,0.00
XWA,2019-10-13 14:52,16.00,0.00
XWA,2019-10-13 15:52,21.90,0.00
XWA,2019-10-13 16:52,30.23,0.00
XWA,2019-10-13 17:52,30.23,0.00
XWA,2019-10-13 20:52,44.24,0.00
XWA,2019-10-13 21:52,46.34,0.00
XWA,2019-10-13 22:52,45.04,0.00
XWA,2019-10-13 23:52,42.13,0.00
XWA,2019-10-14 00:52,41.03,0.00
XWA,2019-10-14 01:52,39.22,0.00
XWA,2019-10-14 02:52,38.54,0.00
XWA,2019-10-14 03:52,41.03,0.00
XWA,2019-10-14 10:52,25.75,0.00
XWA,2019-10-14 12:52,30.67,0.00
XWA,2019-10-14 13:52,29.87,0.00
XWA,2019-10-14 15:52,32.98,0.00
XWA,2019-10-14 16:52,32.98,0.00
XWA,2019-10-14 17:52,37.42,0.00
XWA,2019-10-14 18:52,40.71,0.00
XWA,2019-10-14 19:52,41.42,0.00
XWA,2019-10-14 20:52,51.80,0.00
XWA,2019-10-14 21:52,51.80,0.00
XWA,2019-10-14 22:52,53.60,0.00
XWA,2019-10-14 23:52,M,0.00
XWA,2019-10-15 09:52,20.08,0.00
XWA,2019-10-15 10:52,22.12,0.00
XWA,2019-10-15 11:52,22.43,0.00
XWA,2019-10-15 12:52,22.43,0.00
XWA,2019-10-15 13:52,22.43,0.00
XWA,2019-10-15 14:52,25.11,0.00
XWA,2019-10-15 15:52,24.20,0.00
XWA,2019-10-15 16:52,25.11,0.00
XWA,2019-10-15 17:52,28.12,0.00
XWA,2019-10-15 18:52,28.49,0.00
XWA,2019-10-15 19:52,36.11,0.00
XWA,2019-10-15 20:52,36.94,0.00
XWA,2019-10-15 21:52,37.94,0.00
XWA,2019-10-15 22:52,38.54,0.00
XWA,2019-10-15 23:52,37.93,0.00
XWA,2019-10-16 00:52,32.03,0.00
XWA,2019-10-16 01:52,30.67,0.00
XWA,2019-10-16 02:52,29.52,0.00
XWA,2019-10-16 03:52,27.70,0.00
XWA,2019-10-16 09:52,24.74,0.00
XWA,2019-10-16 10:52,24.74,0.00
