station,valid,feel,p01m
ZPH,2012-08-14 05:55,74.86,0.00
ZPH,2012-08-14 06:55,74.86,0.00
ZPH,2012-08-14 07:55,74.86,0.00
ZPH,2012-08-14 08:55,74.86,0.00
ZPH,2012-08-14 09:55,74.86,0.00
ZPH,2012-08-14 10:55,72.88,0.00
ZPH,2012-08-14 11:55,74.86,0.00
ZPH,2012-08-14 12:55,82.38,0.00
ZPH,2012-08-14 13:55,89.60,0.00
ZPH,2012-08-14 14:55,92.71,0.00
ZPH,2012-08-14 15:55,94.85,0.00
ZPH,2012-08-14 16:55,93.47,0.00
ZPH,2012-08-14 17:55,94.29,0.00
ZPH,2012-08-14 18:55,92.27,0.00
ZPH,2012-08-14 19:55,76.34,0.00
ZPH,2012-08-14 20:55,77.00,0.00
ZPH,2012-08-14 21:55,81.39,0.00
ZPH,2012-08-14 22:55,83.90,0.00
ZPH,2012-08-14 23:55,81.39,0.00
ZPH,2012-08-15 00:55,76.34,0.00
ZPH,2012-08-15 01:55,74.60,0.00
ZPH,2012-08-15 02:55,74.60,0.00
ZPH,2012-08-15 03:55,72.88,0.00
ZPH,2012-08-15 04:55,72.88,0.00
ZPH,2012-08-15 05:55,72.88,0.00
ZPH,2012-08-15 06:55,72.88,0.00
ZPH,2012-08-15 07:55,72.88,0.00
ZPH,2012-08-15 08:55,69.80,0.00
ZPH,2012-08-15 09:55,69.80,0.00
ZPH,2012-08-15 10:55,69.80,0.00
ZPH,2012-08-15 11:55,72.88,0.00
ZPH,2012-08-15 12:55,78.57,0.00
ZPH,2012-08-15 13:55,87.18,0.00
ZPH,2012-08-15 14:55,90.58,0.00
ZPH,2012-08-15 15:55,92.71,0.00
ZPH,2012-08-15 16:55,93.47,0.00
ZPH,2012-08-15 17:55,95.55,0.00
ZPH,2012-08-15 18:55,95.55,0.00
ZPH,2012-08-15 19:55,95.55,0.00
ZPH,2012-08-15 20:55,93.47,0.00
ZPH,2012-08-15 21:55,93.47,0.00
ZPH,2012-08-15 22:55,76.34,2.79
ZPH,2012-08-15 23:55,81.39,0.51
ZPH,2012-08-16 00:55,76.58,0.00
ZPH,2012-08-16 01:55,76.58,0.00
ZPH,2012-08-16 02:55,74.86,0.00
ZPH,2012-08-16 03:55,74.86,0.00
ZPH,2012-08-16 04:55,74.86,0.00
ZPH,2012-08-16 05:55,74.86,0.00
ZPH,2012-08-16 06:55,74.86,0.00
ZPH,2012-08-16 07:55,73.16,0.00
ZPH,2012-08-16 08:55,72.88,0.00
ZPH,2012-08-16 09:55,72.88,0.00
